Gaia16bbg
#Date,JD,averagemag.
2014-10-30 16:38:18,2456961.193,18.5
2014-12-03 08:25:22,2456994.851,null
2014-12-03 10:11:56,2456994.925,null
2015-02-15 08:08:54,2457068.840,18.44
2015-02-15 09:55:28,2457068.914,18.37
2015-02-15 14:09:08,2457069.090,18.41
2015-03-09 22:03:19,2457091.419,18.34
2015-03-10 02:17:00,2457091.595,18.54
2015-03-10 04:03:34,2457091.669,18.39
2015-04-15 01:55:46,2457127.580,18.86
2015-05-20 19:19:30,2457163.305,18.63
2015-05-20 21:06:14,2457163.379,null
2015-06-09 19:21:41,2457183.307,18.87
2015-06-09 21:08:36,2457183.381,null
2015-07-25 05:57:39,2457228.748,null
2015-07-25 07:44:24,2457228.823,null
2015-08-03 19:50:31,2457238.327,null
2015-08-04 00:04:16,2457238.503,null
2015-08-04 01:51:01,2457238.577,null
2015-09-17 04:39:54,2457282.694,null
2015-09-17 06:26:39,2457282.769,null
2015-10-08 12:22:31,2457304.016,null
2015-11-11 03:59:18,2457337.666,null
2015-11-11 05:46:02,2457337.740,null
2015-12-18 21:30:29,2457375.396,null
2015-12-18 23:17:13,2457375.470,null
2015-12-19 03:30:58,2457375.647,null
2016-01-08 09:38:34,2457395.902,null
2016-01-08 11:25:19,2457395.976,null
2016-01-08 15:39:04,2457396.152,null
2016-01-08 17:25:48,2457396.226,null
2016-02-27 17:06:58,2457446.213,null
2016-02-27 21:20:44,2457446.389,null
2016-03-24 09:22:42,2457471.891,null
2016-03-24 11:09:27,2457471.965,null
2016-04-25 15:04:51,2457504.128,null
2016-04-25 16:51:36,2457504.203,null
2016-06-02 20:17:56,2457542.346,null
2016-06-02 22:04:41,2457542.420,null
2016-06-19 20:23:12,2457559.349,null
2016-06-19 22:09:58,2457559.424,null
2016-08-04 18:52:54,2457605.287,null
2016-08-04 20:39:39,2457605.361,null
2016-08-15 14:45:37,2457616.115,20.19
2016-08-15 18:59:16,2457616.291,20.1
2016-09-27 05:42:18,2457658.738,19.23
2016-09-27 07:28:52,2457658.812,null
2016-10-21 11:32:32,2457682.981,null
2016-11-21 17:06:54,2457714.213,19.55
2016-11-21 18:53:28,2457714.287,19.39
2017-01-03 00:25:44,2457756.518,19.11
2017-01-03 04:39:24,2457756.694,19.18
2017-01-03 06:25:58,2457756.768,19.37
2017-01-03 10:39:37,2457756.944,19.01
2017-01-20 22:49:59,2457774.451,19.08
2017-01-21 00:36:33,2457774.525,19.44
2017-01-21 04:50:13,2457774.702,19.04
2017-01-21 06:36:47,2457774.776,18.93
2017-03-10 19:40:08,2457823.320,null
2017-03-10 23:53:49,2457823.496,19.3
2017-04-08 05:47:54,2457851.742,19.23
2017-04-08 07:34:29,2457851.816,19.02
2017-05-07 05:35:11,2457880.733,19.02
2017-06-16 16:37:47,2457921.193,18.72
2017-06-30 18:30:57,2457935.271,18.53
2017-06-30 22:44:37,2457935.448,18.52
2017-08-15 21:11:33,2457981.383,null
2017-08-15 22:57:43,2457981.457,null
2017-08-28 21:17:00,2457994.387,18.64
2017-08-28 23:03:34,2457994.461,18.5
2017-10-08 08:08:49,2458034.839,18.65
2017-10-08 09:55:23,2458034.913,18.85
2017-11-04 13:53:15,2458062.079,null
2017-12-03 07:37:55,2458090.818,18.44
2017-12-03 09:24:29,2458090.892,18.67
2018-01-19 03:00:10,2458137.625,18.5
2018-01-19 07:13:50,2458137.801,18.13
2018-01-19 09:00:24,2458137.875,18.12
2018-01-19 13:14:04,2458138.051,18.19
2018-02-05 13:25:10,2458155.059,18.63
2018-02-05 15:11:45,2458155.133,18.6
2018-02-05 19:25:25,2458155.309,18.46
2018-02-05 21:12:15,2458155.384,null
2018-03-22 19:04:23,2458200.295,18.31
2018-04-22 18:49:27,2458231.284,null
2018-05-18 14:28:20,2458257.103,18.0
2018-06-29 23:34:20,2458299.482,18.32
2018-06-30 01:20:54,2458299.556,18.19
2018-07-11 19:28:04,2458311.311,18.24
2018-07-11 23:41:44,2458311.487,18.28
2018-08-26 16:08:20,2458357.172,18.58
2018-08-26 17:54:54,2458357.246,18.57
2018-09-11 10:12:30,2458372.925,18.95
2018-10-19 15:14:08,2458411.135,18.67
2018-10-19 17:00:42,2458411.209,18.8

