Gaia16bfn
#Date,JD(TCB),averagemag
2014-11-15 14:29:28,2456977.10380,null
2015-01-15 06:58:27,2457037.79059,null
2015-01-15 11:12:12,2457037.96681,null
2015-01-25 17:18:13,2457048.22098,null
2015-01-25 19:04:58,2457048.29512,null
2015-03-08 05:46:34,2457089.74067,null
2015-05-02 21:30:10,2457145.39595,null
2015-05-02 23:16:55,2457145.47008,null
2015-06-12 15:09:26,2457186.13155,null
2015-06-12 16:55:36,2457186.20528,null
2015-07-04 15:20:18,2457208.13910,null
2015-07-04 17:07:03,2457208.21323,null
2015-07-04 21:20:48,2457208.38944,null
2015-08-25 03:01:30,2457259.62604,null
2015-08-25 04:47:40,2457259.69977,null
2015-09-21 16:44:10,2457287.19734,null
2015-11-28 19:38:53,2457355.31867,null
2015-11-28 21:25:02,2457355.39238,null
2015-12-14 13:41:30,2457371.07049,null
2015-12-14 15:27:40,2457371.14421,null
2016-01-26 01:54:08,2457413.57926,null
2016-01-26 06:07:53,2457413.75547,null
2016-02-06 18:13:42,2457425.25951,null
2016-02-06 20:00:27,2457425.33365,null
2016-03-18 05:04:18,2457465.71132,null
2016-05-14 00:27:02,2457522.51877,null
2016-05-14 04:40:48,2457522.69500,null
2016-06-28 16:21:01,2457568.18126,null
2016-06-28 18:07:11,2457568.25499,null
2016-07-18 18:19:23,2457588.26346,null
2016-07-18 22:33:08,2457588.43968,null
2016-07-19 00:19:53,2457588.51381,null
2016-07-19 04:33:38,2457588.69002,null
2016-09-05 16:10:45,2457637.17413,18.90
2016-09-05 17:57:19,2457637.24814,18.87
2016-10-05 09:57:26,2457666.91488,18.58
2016-10-05 11:43:59,2457666.98888,18.56
2016-11-01 23:27:22,2457694.47734,null
2016-12-10 16:20:05,2457733.18061,20.48
2016-12-23 22:24:46,2457746.43387,null
2017-02-04 19:04:24,2457789.29472,null
2017-02-18 14:32:35,2457803.10596,null
2017-03-29 07:32:51,2457841.81448,null
2017-03-29 09:19:37,2457841.88862,null
2017-04-26 19:20:36,2457870.30597,null
2017-04-26 21:07:21,2457870.38010,null
2017-05-26 09:00:23,2457899.87527,null
2017-05-26 13:14:09,2457900.05149,null
2017-07-15 00:55:53,2457949.53881,null
2017-07-15 02:42:38,2457949.61294,null
2017-07-15 06:56:23,2457949.78916,null
2017-07-15 08:43:08,2457949.86329,null
2017-08-04 08:54:16,2457969.87102,null
2017-08-04 13:08:00,2457970.04722,null
2017-08-04 14:54:10,2457970.12095,null
2017-09-18 00:42:29,2458014.52950,null
2017-10-19 14:04:57,2458046.08677,null
2017-11-13 00:07:23,2458070.50513,null
2017-11-13 01:54:08,2458070.57926,null
2017-12-23 04:51:33,2458110.70247,null
2017-12-23 06:37:43,2458110.77619,null
2018-01-03 10:56:51,2458121.95615,null
2018-01-03 12:43:36,2458122.03028,null
2018-02-15 05:11:53,2458164.71659,null
2018-04-09 16:27:04,2458218.18546,null
2018-05-11 20:23:34,2458250.34970,null
2018-06-08 02:25:02,2458277.60072,null
2018-06-08 04:11:47,2458277.67485,null
2018-07-29 20:08:04,2458329.33894,null
2018-07-29 21:54:49,2458329.41307,null
2018-07-30 02:08:33,2458329.58927,null
2018-07-30 03:55:18,2458329.66340,null
2018-08-21 08:17:15,2458351.84531,null
2018-08-21 10:04:00,2458351.91944,null
2018-08-21 14:17:44,2458352.09565,null
2018-09-29 19:50:47,2458391.32693,null
2018-09-29 21:36:57,2458391.40066,null
2018-11-02 09:01:52,2458424.87630,null
2018-11-02 13:15:36,2458425.05250,null
2018-11-23 19:10:21,2458446.29885,null
2018-11-23 20:56:31,2458446.37258,null
2019-01-04 01:32:41,2458487.56436,null
2019-01-04 05:45:51,2458487.74017,null
2019-01-14 11:52:16,2458497.99463,null
2019-01-14 13:38:26,2458498.06836,null
2019-02-25 18:12:12,2458540.25847,null
2019-03-16 22:27:23,2458559.43568,null
2019-03-17 00:13:33,2458559.50941,null
2019-04-21 09:49:25,2458594.90932,null
2019-05-27 09:29:09,2458630.89524,null
2019-05-27 11:15:55,2458630.96939,null
2019-06-21 03:36:45,2458655.65052,null
2019-06-21 05:23:30,2458655.72465,null
2019-06-21 09:37:16,2458655.90088,null
2019-07-17 16:57:37,2458682.20668,null
2019-07-17 18:43:47,2458682.28041,null
2019-08-31 07:45:37,2458726.82334,null
2019-08-31 09:31:46,2458726.89706,null
2019-09-20 04:08:06,2458746.67229,null

