Gaia16bmx
#Date,JD,averagemag.
2014-08-29 16:48:26,2456899.200,null
2014-11-16 18:12:38,2456978.259,null
2014-11-16 19:59:27,2456978.333,null
2014-11-17 00:12:51,2456978.509,null
2014-11-25 06:17:41,2456986.762,null
2014-11-25 08:04:31,2456986.836,null
2014-11-25 12:18:15,2456987.013,null
2014-11-25 14:04:29,2456987.086,null
2015-01-07 00:33:16,2457029.523,null
2015-01-07 04:47:01,2457029.699,null
2015-01-26 10:45:11,2457048.948,null
2015-01-26 12:31:38,2457049.022,null
2015-03-01 05:54:17,2457082.746,null
2015-03-01 10:07:47,2457082.922,null
2015-04-07 09:45:19,2457119.906,null
2015-04-07 11:32:04,2457119.981,null
2015-04-29 05:42:45,2457141.738,null
2015-04-29 09:56:12,2457141.914,null
2015-04-29 11:42:55,2457141.988,null
2015-07-17 23:38:21,2457221.485,null
2015-08-21 15:30:50,2457256.146,null
2015-09-27 16:27:59,2457293.186,null
2015-09-27 20:41:50,2457293.362,null
2015-10-15 02:42:49,2457310.613,null
2015-10-15 04:29:39,2457310.687,null
2015-11-27 20:52:12,2457354.370,null
2015-11-28 01:06:06,2457354.546,null
2015-11-28 02:52:24,2457354.620,null
2015-12-07 01:11:02,2457363.549,null
2015-12-07 02:58:05,2457363.624,null
2015-12-07 07:11:46,2457363.800,null
2015-12-07 08:58:08,2457363.874,null
2016-02-08 23:42:42,2457427.488,null
2016-03-11 19:03:10,2457459.294,null
2016-04-23 04:56:08,2457501.706,null
2016-04-23 06:42:53,2457501.780,null
2016-05-11 23:09:52,2457520.465,null
2016-05-12 00:56:03,2457520.539,null
2016-05-12 05:09:49,2457520.715,null
2016-05-12 06:56:34,2457520.789,null
2016-05-12 11:10:21,2457520.966,null
2016-07-04 04:57:37,2457573.707,null
2016-07-04 06:44:22,2457573.781,null
2016-08-01 12:41:35,2457602.029,null
2016-08-01 16:55:20,2457602.205,null
2016-09-01 04:37:30,2457632.693,null
2016-09-01 06:24:15,2457632.767,null
2016-10-10 05:16:30,2457671.720,17.93
2016-10-10 09:30:10,2457671.896,17.9

