Gaia16brb
#Date,JD(TCB),averagemag
2015-02-25 17:24:00,2457079.22500,null
2015-03-30 15:16:08,2457112.13620,null
2015-04-17 05:11:20,2457129.71620,null
2015-04-17 09:25:06,2457129.89243,null
2015-04-17 11:11:51,2457129.96656,null
2015-08-29 15:46:05,2457264.15700,null
2015-10-03 15:07:35,2457299.13027,null
2015-10-18 21:11:16,2457314.38282,null
2015-10-18 22:58:00,2457314.45694,null
2016-01-19 23:17:59,2457407.47082,null
2016-01-20 01:04:09,2457407.54455,null
2016-01-31 01:12:10,2457418.55012,null
2016-01-31 05:25:56,2457418.72634,null
2016-01-31 07:12:07,2457418.80008,null
2016-03-07 10:48:17,2457454.95020,null
2016-04-17 10:22:50,2457495.93252,null
2016-04-17 16:23:21,2457496.18288,null
2016-04-17 18:09:32,2457496.25662,null
2016-04-17 22:23:18,2457496.43285,null
2016-04-18 00:10:03,2457496.50698,null
2016-04-18 04:23:49,2457496.68321,null
2016-04-18 06:10:35,2457496.75735,null
2016-04-18 10:23:46,2457496.93317,null
2016-04-18 12:10:31,2457497.00730,null
2016-04-18 16:24:17,2457497.18353,null
2016-04-18 18:11:03,2457497.25767,null
2016-04-19 00:10:59,2457497.50763,null
2016-04-19 06:11:31,2457497.75800,null
2016-04-20 06:12:27,2457498.75865,null
2016-04-20 12:12:23,2457499.00860,null
2016-04-20 18:12:55,2457499.25897,null
2016-04-20 22:26:41,2457499.43520,null
2016-04-21 00:13:26,2457499.50933,null
2016-04-21 04:26:37,2457499.68515,null
2016-04-21 06:13:22,2457499.75928,null
2016-04-21 10:27:08,2457499.93551,null
2016-04-21 12:13:54,2457500.00965,null
2016-04-21 16:27:05,2457500.18547,null
2016-04-21 18:13:50,2457500.25961,null
2016-04-21 22:27:36,2457500.43583,null
2016-04-22 00:14:22,2457500.50998,null
2016-04-22 04:28:08,2457500.68620,null
2016-07-19 23:20:43,2457589.47272,null
2016-07-20 01:07:28,2457589.54685,null
2016-07-20 05:21:12,2457589.72306,null
2016-07-20 07:07:22,2457589.79678,null
2016-08-02 05:28:21,2457602.72802,null
2016-08-02 07:15:06,2457602.80215,null
2016-08-02 11:28:49,2457602.97834,null
2016-09-08 16:54:40,2457640.20463,null
2016-10-18 17:50:26,2457680.24336,null
2016-10-18 22:03:35,2457680.41916,null
2016-10-18 23:50:19,2457680.49328,null
2016-10-19 04:03:47,2457680.66929,untrusted
2016-10-24 22:08:04,2457686.42227,18.52
2016-10-24 23:54:37,2457686.49626,18.56
2016-10-25 04:08:16,2457686.67241,18.64
2016-10-25 05:54:50,2457686.74641,18.68
2017-01-27 06:19:19,2457780.76341,null
2017-02-14 01:46:34,2457798.57400,null
2017-02-14 03:33:20,2457798.64815,null
2017-03-18 01:22:12,2457830.55708,null
2017-03-18 03:08:58,2457830.63123,null
2017-07-28 13:48:58,2457963.07567,null
2017-07-28 15:35:42,2457963.14979,null
2017-08-19 07:50:12,2457984.82653,null
2017-09-19 13:25:38,2458016.05947,null
2018-02-05 14:48:02,2458155.11669,null
2018-02-05 16:34:13,2458155.19043,null
2018-02-28 16:31:21,2458178.18844,null
2018-03-28 16:19:59,2458206.18054,null
2018-03-28 20:33:46,2458206.35678,null
2018-08-07 20:56:59,2458338.37291,null
2018-08-07 22:43:44,2458338.44704,null
2018-09-03 16:32:30,2458365.18924,null
2018-09-03 20:46:13,2458365.36543,null
2018-09-30 02:32:13,2458391.60571,null
2019-02-15 15:56:13,2458530.16404,null
2019-03-15 09:43:39,2458557.90531,untrusted
2019-04-08 03:44:44,2458581.65606,null
2019-04-08 05:30:55,2458581.72980,null
2019-08-20 15:41:35,2458716.15388,null
2019-09-18 16:48:29,2458745.20034,null
2019-10-12 09:45:07,2458768.90633,null
2020-02-15 13:29:27,2458895.06212,null
2020-02-15 15:16:12,2458895.13625,null
2020-03-16 16:39:35,2458925.19416,null
2020-04-06 11:22:34,2458945.97400,null
2020-08-08 08:55:44,2459069.87204,null
2020-08-08 10:42:28,2459069.94616,null
2020-09-04 14:43:39,2459097.11365,null
2020-09-04 16:30:24,2459097.18778,null
2021-02-16 03:55:14,2459261.66336,null
2021-03-16 03:41:29,2459289.65381,19.16
2021-03-16 05:28:04,2459289.72782,19.14

