Gaia16brg
#Date,JD,averagemag.
2014-12-31 03:02:24,2457022.627,null
2014-12-31 04:48:59,2457022.701,null
2014-12-31 09:02:37,2457022.877,null
2014-12-31 10:49:35,2457022.951,null
2014-12-31 15:03:13,2457023.127,null
2014-12-31 16:49:36,2457023.201,null
2014-12-31 22:49:59,2457023.451,null
2015-02-14 16:30:22,2457068.188,null
2015-02-14 20:44:15,2457068.364,null
2015-03-18 14:21:26,2457100.098,null
2015-03-18 16:07:45,2457100.172,null
2015-04-09 10:07:07,2457121.922,null
2015-04-09 14:20:33,2457122.098,null
2015-07-17 11:25:28,2457220.976,null
2015-07-17 13:11:59,2457221.050,null
2015-09-09 10:36:51,2457274.942,null
2015-09-09 12:23:27,2457275.016,null
2015-11-04 16:14:05,2457331.176,null
2015-11-04 18:00:40,2457331.250,null
2016-01-01 23:51:16,2457389.494,null
2016-01-02 04:05:17,2457389.670,null
2016-01-02 05:51:33,2457389.744,null
2016-01-02 10:05:20,2457389.920,null
2016-02-25 21:54:47,2457444.413,null
2016-02-25 23:41:37,2457444.487,null
2016-03-31 15:20:11,2457479.139,null
2016-03-31 17:06:42,2457479.213,null
2016-04-18 23:10:54,2457497.466,null
2016-07-27 00:25:17,2457596.518,null
2016-07-27 02:12:02,2457596.592,null
2016-08-16 00:24:16,2457616.517,null
2016-09-19 23:44:24,2457651.489,null
2016-10-30 01:02:32,2457691.543,17.01
2016-10-30 05:16:12,2457691.720,16.99
2016-10-30 07:02:46,2457691.794,17.01
2016-11-14 17:25:44,2457707.226,17.97
2016-11-14 19:12:18,2457707.300,17.99
2016-11-14 23:25:58,2457707.476,18.0
2016-11-15 01:12:32,2457707.550,18.0
2017-01-12 05:17:12,2457765.720,19.9
2017-01-12 07:03:46,2457765.794,19.95
2017-02-03 11:23:24,2457787.975,null
2017-02-03 11:23:26,2457787.975,20.42
2017-02-03 13:10:00,2457788.049,20.4

