Gaia16bwo
#Date,JD(TCB),averagemag
2014-10-27 10:42:13,2456957.94598,null
2015-02-16 14:26:05,2457070.10145,null
2015-02-16 16:12:15,2457070.17517,null
2015-03-14 20:24:15,2457096.35017,null
2015-03-14 22:11:01,2457096.42432,null
2015-04-13 09:56:33,2457125.91427,null
2015-05-23 14:59:54,2457166.12493,null
2015-05-23 19:13:40,2457166.30116,null
2015-06-05 01:20:46,2457178.55609,null
2015-06-05 03:07:31,2457178.63022,null
2015-07-23 11:41:35,2457226.98721,null
2015-07-23 13:28:20,2457227.06134,null
2015-07-23 17:42:04,2457227.23755,null
2015-07-23 19:28:14,2457227.31127,null
2015-08-01 05:47:40,2457235.74144,null
2015-08-01 07:34:25,2457235.81557,null
2015-08-01 11:48:09,2457235.99177,null
2015-09-13 10:34:41,2457278.94075,null
2015-09-13 12:20:51,2457279.01448,null
2015-10-09 18:07:09,2457305.25497,null
2015-11-07 22:04:22,2457334.41970,null
2015-11-07 23:50:32,2457334.49343,null
2015-12-30 11:31:02,2457386.97988,null
2015-12-30 15:44:47,2457387.15610,null
2015-12-30 17:31:32,2457387.23023,null
2015-12-30 21:45:17,2457387.40645,null
2015-12-30 23:31:27,2457387.48017,null
2015-12-31 03:45:12,2457387.65639,null
2015-12-31 05:31:57,2457387.73052,null
2015-12-31 09:45:42,2457387.90674,null
2015-12-31 11:31:52,2457387.98046,null
2015-12-31 15:45:37,2457388.15668,null
2015-12-31 17:32:22,2457388.23081,null
2015-12-31 21:46:07,2457388.40703,null
2015-12-31 23:32:17,2457388.48075,null
2016-01-01 03:46:02,2457388.65697,null
2016-01-01 09:46:32,2457388.90731,null
2016-01-04 15:49:32,2457392.15940,null
2016-01-04 21:49:27,2457392.40934,null
2016-01-05 03:49:57,2457392.65969,null
2016-01-05 05:36:42,2457392.73382,null
2016-01-05 09:49:52,2457392.90963,null
2016-01-05 11:36:37,2457392.98376,null
2016-01-05 15:50:22,2457393.15998,null
2016-01-05 17:37:07,2457393.23411,null
2016-01-05 21:50:52,2457393.41032,null
2016-01-05 23:37:02,2457393.48405,null
2016-01-06 03:50:47,2457393.66027,null
2016-01-06 05:37:32,2457393.73440,null
2016-01-06 09:51:17,2457393.91061,null
2016-01-06 11:37:27,2457393.98434,null
2016-01-06 15:51:12,2457394.16056,null
2016-01-06 17:37:57,2457394.23469,null
2016-02-28 03:36:53,2457446.65061,null
2016-03-28 09:25:51,2457475.89295,null
2016-03-28 11:12:36,2457475.96708,null
2016-04-23 15:17:22,2457502.13706,null
2016-06-05 14:10:09,2457545.09038,null
2016-06-05 15:56:19,2457545.16411,null
2016-06-05 20:10:05,2457545.34034,null
2016-06-14 08:16:54,2457553.84507,null
2016-06-14 10:03:39,2457553.91920,null
2016-06-14 14:16:50,2457554.09502,null
2016-08-01 18:36:56,2457602.27565,null
2016-08-01 20:23:41,2457602.34978,null
2016-08-14 06:43:09,2457614.77997,null
