Gaia16bxl
#Date,JD,averagemag.
2014-10-27 21:14:49,2456958.385,null
2014-10-27 23:01:23,2456958.459,null
2015-01-06 09:01:25,2457028.876,null
2015-01-06 10:48:05,2457028.950,null
2015-02-11 14:41:01,2457065.112,null
2015-04-07 14:10:01,2457120.090,null
2015-05-20 12:51:55,2457163.036,null
2015-06-01 14:44:44,2457175.114,null
2015-06-01 18:58:37,2457175.291,null
2015-08-05 23:30:01,2457240.479,null
2015-10-16 18:07:03,2457312.255,null
2015-10-16 22:20:47,2457312.431,null
2015-11-09 16:24:19,2457336.184,null
2015-11-09 18:11:21,2457336.258,null
2015-11-09 22:24:27,2457336.434,null
2015-11-10 00:11:31,2457336.508,null
2015-12-27 05:50:40,2457383.744,null
2015-12-27 10:04:29,2457383.920,null
2016-02-22 23:36:59,2457441.484,null
2016-03-29 16:55:45,2457477.205,null
2016-04-17 10:58:43,2457495.957,null
2016-04-17 15:12:23,2457496.134,null
2016-05-31 07:47:44,2457539.825,null
2016-05-31 09:34:29,2457539.899,null
2016-06-13 01:54:03,2457552.579,null
2016-06-13 03:40:13,2457552.653,null
2016-07-26 00:35:33,2457595.525,null
2016-07-26 02:21:42,2457595.598,null
2016-08-19 00:26:35,2457619.518,null
2016-08-19 02:13:20,2457619.593,null
2016-09-21 11:55:05,2457652.997,null
2016-09-21 13:41:49,2457653.071,null
2016-10-31 07:13:17,2457692.801,null
2016-10-31 11:27:02,2457692.977,null
2016-10-31 13:13:47,2457693.051,null
2016-11-22 05:38:32,2457714.735,18.9
2016-11-22 07:25:06,2457714.809,18.88
2016-11-22 11:38:46,2457714.985,18.88
2016-11-22 13:25:21,2457715.059,18.89

