Gaia16ccf
#Date,JD(TCB),averagemag
2014-11-16 20:47:27,2456978.36628,null
2015-03-11 03:48:13,2457092.65848,null
2015-03-11 05:34:24,2457092.73222,null
2015-03-26 03:54:22,2457107.66275,null
2015-03-26 05:41:07,2457107.73689,null
2015-05-02 04:58:14,2457144.70711,null
2015-06-07 14:51:22,2457181.11900,null
2015-06-07 16:37:32,2457181.19273,null
2015-06-27 21:01:53,2457201.37631,null
2015-06-27 22:48:38,2457201.45044,null
2015-06-28 03:02:23,2457201.62666,null
2015-09-01 09:01:51,2457266.87628,null
2015-09-01 10:48:36,2457266.95042,null
2015-09-01 15:02:20,2457267.12662,null
2015-09-01 16:48:30,2457267.20035,null
2015-09-18 10:57:31,2457283.95661,null
2015-09-18 15:11:16,2457284.13282,null
2015-09-18 16:58:00,2457284.20694,null
2015-10-26 20:41:53,2457322.36242,null
2015-11-30 15:42:23,2457357.15443,null
2015-12-17 01:57:25,2457373.58154,null
2015-12-17 03:44:10,2457373.65567,null
2016-03-20 00:35:44,2457467.52481,null
2016-03-20 04:49:29,2457467.70103,null
2016-04-08 06:38:43,2457486.77689,null
2016-05-12 16:22:02,2457521.18197,null
2016-05-12 18:08:47,2457521.25610,null
2016-06-25 10:02:01,2457564.91807,null
2016-06-25 11:48:11,2457564.99179,null
2016-06-25 16:01:57,2457565.16802,null
2016-06-25 17:48:42,2457565.24215,null
2016-06-25 22:02:28,2457565.41838,null
2016-06-25 23:48:38,2457565.49211,null
2016-07-06 17:58:28,2457576.24894,null
2016-07-06 22:12:13,2457576.42515,null
2016-07-06 23:58:23,2457576.49888,null
2016-07-07 04:12:09,2457576.67510,null
2016-07-07 05:58:54,2457576.74924,null
2016-07-07 10:12:39,2457576.92545,null
2016-09-11 10:11:50,2457642.92488,null
2016-09-11 11:57:59,2457642.99860,null
2016-09-11 16:11:44,2457643.17481,null
2016-09-11 17:58:28,2457643.24894,null
2016-10-04 06:01:16,2457665.75088,null
2016-10-04 10:15:00,2457665.92708,null
2016-11-05 21:49:00,2457698.40903,null
2016-12-13 08:50:10,2457735.86817,18.84
2016-12-13 10:36:44,2457735.94218,18.86
2016-12-25 14:55:22,2457748.12178,19.41
2016-12-25 16:41:56,2457748.19579,19.43
2017-03-30 09:02:48,2457842.87694,null
2017-04-22 14:59:48,2457866.12486,null
2017-05-24 08:42:08,2457897.86259,null
2017-09-23 00:43:40,2458019.53032,null
2017-09-23 02:30:24,2458019.60444,null
2017-10-19 12:36:52,2458046.02560,null
2017-10-19 14:23:36,2458046.09972,null
2017-11-16 18:17:20,2458074.26204,null
2017-12-27 06:53:54,2458114.78743,null
2017-12-27 11:07:39,2458114.96365,null
2017-12-27 12:54:23,2458115.03777,null
2018-01-03 05:12:36,2458121.71708,null
2018-01-03 06:59:20,2458121.79120,null
2018-01-03 11:13:05,2458121.96742,null
2018-01-03 12:59:15,2458122.04115,null
2018-04-10 02:22:35,2458218.59902,null
2018-04-10 04:09:21,2458218.67316,null
2018-05-07 08:12:58,2458245.84234,null
2018-05-07 09:59:43,2458245.91647,null
2018-06-05 02:07:28,2458274.58852,null
2018-06-05 03:54:13,2458274.66265,null
2018-10-04 07:53:13,2458395.82862,null
2018-10-04 09:39:57,2458395.90274,null
2018-11-03 01:33:42,2458425.56507,null
2018-11-03 03:20:26,2458425.63919,null
2018-11-27 07:22:25,2458449.80723,null
2018-11-27 09:09:10,2458449.88137,null
2019-03-02 00:04:57,2458544.50344,null
2019-03-02 04:18:42,2458544.67965,null
2019-03-12 06:12:07,2458554.75841,null
2019-03-12 10:25:53,2458554.93464,null
2019-03-12 12:12:38,2458555.00877,null
2019-04-21 03:30:54,2458594.64646,null
2019-04-21 05:17:04,2458594.72019,null
2019-05-22 15:15:02,2458626.13544,null
2019-05-22 17:01:48,2458626.20958,null
2019-06-16 17:05:39,2458651.21226,null
2019-06-16 21:19:25,2458651.38848,null
2019-09-04 14:01:08,2458731.08412,null
2019-09-04 15:47:53,2458731.15825,null
2019-09-15 14:14:13,2458742.09321,null
2019-09-15 16:00:57,2458742.16733,null

