Gaia16cfz
#Date,JD(TCB),averagemag
2015-03-16 06:58:08,2457097.79037,null
2015-03-16 08:44:18,2457097.86410,null
2015-03-16 12:58:02,2457098.04030,null
2015-03-16 14:44:47,2457098.11443,null
2015-03-16 18:58:31,2457098.29064,null
2015-03-16 20:44:40,2457098.36435,null
2015-03-20 14:47:49,2457102.11654,null
2015-03-20 19:01:33,2457102.29274,null
2015-03-20 20:48:18,2457102.36688,null
2015-03-21 01:02:02,2457102.54308,null
2015-03-21 02:48:12,2457102.61681,null
2015-05-02 07:46:32,2457144.82398,null
2015-06-03 11:35:15,2457176.98281,null
2015-06-26 05:37:35,2457199.73443,null
2015-06-26 07:24:20,2457199.80856,null
2015-10-29 23:40:56,2457325.48676,null
2015-10-30 01:27:06,2457325.56049,null
2015-12-01 05:14:19,2457357.71828,null
2015-12-01 07:01:05,2457357.79242,null
2015-12-19 23:16:34,2457376.46984,null
2015-12-20 01:03:19,2457376.54397,null
2016-03-22 19:52:31,2457470.32814,null
2016-03-22 21:38:40,2457470.40185,null
2016-04-04 15:44:20,2457483.15579,null
2016-04-04 19:58:04,2457483.33199,null
2016-05-12 13:07:18,2457521.04674,null
2016-05-12 14:54:02,2457521.12086,null
2016-06-19 08:23:11,2457558.84943,null
2016-06-19 12:36:55,2457559.02564,null
2016-06-19 14:23:39,2457559.09976,null
2016-07-05 00:45:35,2457574.53166,null
2016-07-05 02:32:20,2457574.60579,null
2016-09-18 20:51:21,2457650.36899,null
2016-09-19 01:05:07,2457650.54522,null
2016-09-19 02:51:17,2457650.61895,null
2016-09-19 07:05:03,2457650.79517,null
2016-10-01 07:14:54,2457662.80201,null
2016-10-01 09:01:39,2457662.87615,null
2016-10-01 13:15:25,2457663.05237,null
2016-10-01 15:02:10,2457663.12650,null
2016-11-08 20:38:00,2457701.35972,null
2016-11-09 00:51:47,2457701.53596,null
2016-12-14 12:11:44,2457737.00815,18.03
2016-12-28 06:18:32,2457750.76287,18.30
2016-12-28 08:05:07,2457750.83689,18.30
2017-04-01 04:14:13,2457844.67654,20.94
2017-04-01 06:00:53,2457844.75061,null
2017-04-19 10:14:53,2457862.92700,null
2017-04-19 12:01:37,2457863.00112,null
2017-05-23 21:38:48,2457897.40194,null
2017-09-27 21:36:00,2458024.40000,null
2017-09-27 23:22:46,2458024.47414,null
2017-10-18 15:44:02,2458045.15558,null
2017-10-18 17:30:48,2458045.22972,null
2017-11-19 17:10:36,2458077.21569,null
2017-12-29 02:32:25,2458116.60584,null
2017-12-29 04:18:35,2458116.67957,null
2017-12-29 08:32:21,2458116.85580,null
2017-12-29 10:19:07,2458116.92994,null
2018-01-05 02:38:14,2458123.60988,null
2018-01-05 04:24:59,2458123.68402,null
2018-01-05 08:38:45,2458123.86024,null
2018-01-05 10:24:55,2458123.93397,null
2018-04-11 05:17:11,2458219.72027,null
2018-04-11 07:03:55,2458219.79439,null
2018-05-04 05:10:21,2458242.71552,null
2018-06-04 04:47:33,2458273.69969,null
2018-06-04 06:34:18,2458273.77382,null
2018-10-08 10:46:41,2458399.94909,null
2018-10-08 12:33:26,2458400.02322,null
2018-11-02 22:45:46,2458425.44845,null
2018-11-30 06:19:48,2458452.76375,null
2019-04-21 18:22:14,2458595.26544,null
2019-04-21 20:08:58,2458595.33956,null
2019-05-19 01:53:06,2458622.57854,null
2019-05-19 06:06:15,2458622.75434,null
2019-06-15 11:56:59,2458649.99791,null
2019-06-15 13:43:43,2458650.07203,null

