Gaia17acf
#Date,JD,averagemag.
2015-01-01 20:58:22,2457024.374,null
2015-01-01 22:45:18,2457024.448,null
2015-01-02 02:58:44,2457024.624,null
2015-01-02 04:45:33,2457024.698,null
2015-02-13 14:39:09,2457067.111,null
2015-02-13 16:25:17,2457067.184,null
2015-04-09 14:14:45,2457122.094,null
2015-04-09 15:58:34,2457122.166,null
2015-05-23 01:00:05,2457165.542,null
2015-05-23 02:46:34,2457165.616,null
2015-06-01 07:06:57,2457174.796,null
2015-06-01 08:53:24,2457174.870,null
2015-07-17 19:18:01,2457221.304,null
2015-08-03 23:33:55,2457238.482,null
2015-10-14 00:00:57,2457309.501,null
2015-11-07 12:01:44,2457334.001,null
2015-11-07 16:15:45,2457334.178,null
2015-11-07 18:02:20,2457334.252,null
2015-12-29 11:45:23,2457385.990,null
2015-12-29 15:59:06,2457386.166,null
2015-12-29 17:45:56,2457386.240,null
2016-01-18 16:10:39,2457406.174,null
2016-01-18 17:57:24,2457406.248,null
2016-02-25 03:49:21,2457443.659,null
2016-03-30 03:17:50,2457477.637,null
2016-03-30 05:04:47,2457477.712,null
2016-04-19 11:05:45,2457497.962,null
2016-06-03 13:55:16,2457543.080,null
2016-06-03 15:42:01,2457543.154,null
2016-06-11 20:01:00,2457551.334,null
2016-06-11 21:47:45,2457551.408,null
2016-06-12 02:01:30,2457551.584,null
2016-07-27 18:31:09,2457597.272,null
2016-07-27 20:17:53,2457597.346,null
2016-08-17 00:28:44,2457617.520,null
2016-08-17 02:15:29,2457617.594,null
2016-09-21 11:46:59,2457652.991,null
2016-09-21 13:33:08,2457653.065,null
2016-10-28 17:18:37,2457690.221,null
2016-10-28 19:04:47,2457690.295,null
2016-11-18 17:25:56,2457711.226,null
2016-11-18 19:12:41,2457711.300,null
2016-11-18 23:26:26,2457711.477,null
2016-11-19 01:12:35,2457711.550,null
2017-01-09 18:58:14,2457763.290,18.04
2017-01-09 23:11:54,2457763.467,17.99
2017-02-02 07:03:34,2457786.794,19.41
2017-03-07 12:19:27,2457820.014,20.16

