Gaia17adk
#Date,JD,averagemag.
2014-07-27 04:51:14,2456865.702,null
2014-07-27 06:37:59,2456865.776,null
2014-07-27 10:51:43,2456865.953,null
2014-07-27 12:37:52,2456866.026,null
2014-07-27 16:51:36,2456866.203,null
2014-07-27 18:38:21,2456866.277,null
2014-11-03 05:00:27,2456964.709,null
2014-11-03 06:46:37,2456964.782,null
2014-11-19 23:06:50,2456981.463,null
2014-11-20 00:53:36,2456981.537,null
2015-04-30 23:09:58,2457143.465,null
2015-05-01 00:56:43,2457143.539,null
2015-05-21 00:58:44,2457163.541,null
2015-05-21 05:12:28,2457163.717,null
2015-06-22 10:46:15,2457195.949,null
2015-06-22 12:33:00,2457196.023,null
2015-11-12 12:05:46,2457339.004,null
2015-12-04 12:04:53,2457361.003,null
2015-12-04 13:51:39,2457361.078,null
2016-01-01 17:51:14,2457389.244,null
2016-05-10 00:17:32,2457518.512,null
2016-06-04 19:55:15,2457544.330,null
2016-07-02 05:53:53,2457571.746,null
2016-07-02 07:40:03,2457571.819,null
2016-11-21 09:00:46,2457713.876,null
2016-12-18 01:03:35,2457740.544,null
2016-12-18 02:49:45,2457740.618,null
2017-01-10 14:47:48,2457764.117,18.69
2017-01-10 19:01:29,2457764.293,18.68
2017-05-20 14:48:46,2457894.117,null
2017-05-20 16:35:30,2457894.191,null
2017-06-20 04:13:02,2457924.676,null
2017-07-12 14:22:20,2457947.099,null
2017-07-12 16:08:29,2457947.173,null

