Gaia17ahw
#Date,JD,averagemag.
2015-02-28 09:35:00,2457081.899,null
2015-03-28 15:22:02,2457110.140,null
2015-03-28 17:08:22,2457110.214,null
2015-04-21 15:23:29,2457134.141,null
2015-08-30 15:37:56,2457265.151,null
2015-08-30 17:24:33,2457265.225,null
2015-09-30 21:12:27,2457296.384,null
2015-10-21 21:08:08,2457317.381,null
2015-10-21 22:54:57,2457317.455,null
2016-03-09 22:45:01,2457457.448,null
2016-04-12 06:09:58,2457490.757,null
2016-04-30 04:32:50,2457508.689,null
2016-04-30 06:19:35,2457508.764,null
2016-04-30 10:33:21,2457508.940,null
2016-09-09 18:33:29,2457641.273,null
2016-10-14 16:06:35,2457676.171,null
2016-10-14 17:53:20,2457676.245,null
2016-10-30 04:10:12,2457691.674,null
2016-10-30 05:56:57,2457691.748,null
2017-01-31 02:10:47,2457784.591,18.36
2017-01-31 06:24:28,2457784.767,18.34

