Gaia17aja
#Date,JD,averagemag.
2015-03-01 21:27:48,2457083.394,null
2015-03-26 11:09:04,2457107.965,null
2015-04-22 21:15:02,2457135.385,null
2015-04-22 23:01:48,2457135.460,null
2015-09-29 21:21:33,2457295.390,null
2015-10-24 10:56:18,2457319.956,null
2016-03-11 00:23:19,2457458.516,null
2016-03-11 04:37:05,2457458.692,null
2016-04-09 12:08:09,2457488.006,null
2016-05-02 04:25:57,2457510.685,null
2016-05-02 06:12:07,2457510.758,null
2016-09-11 22:45:02,2457643.448,null
2016-09-12 00:31:46,2457643.522,null
2016-10-13 16:16:09,2457675.178,null
2016-11-02 04:14:15,2457694.677,null
2016-11-02 06:01:00,2457694.751,null
2017-02-05 14:14:10,2457790.093,17.75
2017-02-05 18:27:51,2457790.269,17.76
2017-02-05 20:14:26,2457790.343,17.69
2017-02-06 00:28:07,2457790.520,17.64
2017-02-06 02:14:41,2457790.594,17.79
2017-02-06 06:28:22,2457790.770,17.58
2017-02-06 08:14:57,2457790.844,17.87
2017-02-06 12:28:38,2457791.020,untrusted
2017-02-06 14:15:12,2457791.094,untrusted
2017-02-06 18:28:53,2457791.270,17.90
2017-02-06 20:15:28,2457791.344,17.95
2017-02-07 00:29:09,2457791.520,18.00
2017-02-07 02:16:04,2457791.594,null
2017-02-07 06:29:24,2457791.770,17.95
2017-02-07 08:16:01,2457791.844,null
2017-02-07 12:29:47,2457792.021,null
2017-02-07 14:16:14,2457792.095,17.99
2017-02-07 18:29:55,2457792.271,17.92
2017-02-07 20:16:30,2457792.345,17.97
2017-02-08 00:30:11,2457792.521,18.00
2017-02-08 02:16:45,2457792.595,17.99
2017-02-08 06:30:27,2457792.771,18.02
2017-02-08 08:17:01,2457792.845,17.95
2017-03-21 14:56:03,2457834.122,null
2017-03-21 19:09:49,2457834.298,null
2017-04-25 12:46:29,2457869.032,null
2017-04-25 14:32:39,2457869.106,null
2017-04-25 18:46:25,2457869.282,null
2017-05-11 06:56:21,2457884.789,null
2017-05-11 08:43:06,2457884.863,null
2017-05-11 12:56:52,2457885.039,null
2017-09-22 19:16:00,2458019.303,null
2017-09-22 21:02:45,2458019.377,null

