Gaia17ajx
#Date,JD,averagemag.
2015-02-26 09:23:17,2457079.891,null
2015-02-26 11:10:03,2457079.965,null
2015-03-26 15:10:18,2457108.132,null
2015-03-26 16:57:03,2457108.206,null
2015-04-18 15:12:06,2457131.133,null
2015-04-18 16:58:52,2457131.208,null
2015-10-03 03:22:03,2457298.640,null
2015-10-03 05:08:12,2457298.714,null
2015-10-23 05:07:07,2457318.713,null
2016-03-07 18:20:02,2457455.264,null
2016-04-10 04:10:28,2457488.674,null
2016-04-10 05:57:13,2457488.748,null
2016-04-26 16:19:46,2457505.180,null
2016-04-26 18:06:31,2457505.255,null
2016-04-26 22:20:18,2457505.431,null
2016-09-11 22:57:40,2457643.457,null
2016-09-12 00:43:49,2457643.530,null
2016-10-17 12:03:47,2457679.003,null
2016-10-17 16:17:31,2457679.179,null
2016-10-30 16:22:47,2457692.182,null
2016-10-30 18:08:56,2457692.256,null
2016-10-30 22:22:40,2457692.432,null
2017-01-30 13:58:10,2457784.082,null
2017-01-30 18:11:56,2457784.258,null
2017-01-30 19:58:06,2457784.332,null
2017-02-09 15:28:18,2457794.145,untrusted
2017-02-09 19:41:59,2457794.321,18.32
2017-02-09 21:28:34,2457794.395,18.26
2017-03-18 08:53:46,2457830.871,17.21
2017-03-18 13:07:28,2457831.047,17.03
2017-08-03 19:56:23,2457969.331,null
2017-08-03 21:43:08,2457969.405,null
2017-08-17 15:49:50,2457983.160,null
2017-08-17 20:03:33,2457983.336,null
2017-09-22 19:28:33,2458019.311,null
2017-09-22 21:15:18,2458019.386,null

