Gaia17aqq
#Date,JD,averagemag.
2015-02-17 05:40:23,2457070.736,null
2015-02-17 07:27:07,2457070.810,null
2015-03-16 13:15:55,2457098.053,null
2015-04-12 23:12:23,2457125.467,null
2015-05-25 22:01:25,2457168.418,null
2015-05-25 23:48:10,2457168.492,null
2015-05-26 04:01:55,2457168.668,null
2015-05-26 05:48:39,2457168.742,null
2015-06-01 22:06:55,2457175.421,null
2015-06-01 23:53:40,2457175.496,null
2015-06-02 04:07:24,2457175.672,null
2015-06-02 05:53:34,2457175.746,null
2015-07-22 22:09:48,2457226.423,null
2015-07-23 02:23:33,2457226.600,null
2015-07-23 04:09:43,2457226.673,null
2015-07-30 20:29:32,2457234.354,null
2015-07-30 22:16:17,2457234.428,null
2015-07-31 02:30:03,2457234.604,null
2015-07-31 04:16:13,2457234.678,null
2015-09-11 19:28:05,2457277.311,null
2015-09-11 21:14:50,2457277.385,null
2015-10-10 01:16:26,2457305.553,null
2015-10-10 03:03:12,2457305.627,null
2015-11-06 02:59:09,2457332.624,null
2016-02-28 12:49:22,2457447.034,null
2016-03-30 00:26:03,2457477.518,null
2016-04-22 18:16:51,2457501.262,null
2016-04-22 20:03:36,2457501.336,null
2016-07-31 15:19:29,2457601.139,null
2016-07-31 17:06:14,2457601.213,null
2016-08-13 15:27:08,2457614.144,null
2016-08-13 17:13:53,2457614.218,null
2016-09-22 02:36:57,2457653.609,null
2016-10-24 02:18:34,2457685.596,null
2016-10-24 04:05:19,2457685.670,null
2016-11-16 08:23:52,2457708.850,null
2016-11-16 10:10:37,2457708.924,null
2017-01-15 20:18:45,2457769.346,null
2017-01-16 02:18:39,2457769.596,null
2017-01-16 04:05:24,2457769.670,null
2017-01-16 08:19:08,2457769.847,null
2017-01-16 10:05:18,2457769.920,null
2017-01-16 14:19:03,2457770.097,null
2017-01-16 16:05:48,2457770.171,null
2017-01-27 04:13:26,2457780.676,null
2017-01-27 08:27:11,2457780.852,null
2017-01-27 10:13:55,2457780.926,null
2017-01-27 14:27:40,2457781.103,null
2017-01-27 16:13:49,2457781.176,null
2017-01-27 20:27:34,2457781.352,null
2017-03-10 15:20:14,2457823.139,18.15
2017-03-10 17:06:48,2457823.213,18.07
2017-04-13 04:31:01,2457856.688,null
2017-05-03 10:28:46,2457876.937,null
2017-08-10 19:28:09,2457976.311,18.80
2017-08-27 23:47:22,2457993.491,null
2017-08-28 01:34:08,2457993.565,null
2017-10-03 06:55:29,2458029.789,null

