Gaia17aqu
#Date,JD(TCB),averagemag
2014-09-25 02:45:41,2456925.61506,untrusted
2014-10-30 13:35:50,2456961.06655,18.97
2014-10-30 17:49:55,2456961.24300,null
2014-12-02 17:29:18,2456994.22868,untrusted
2014-12-02 19:15:52,2456994.30269,untrusted
2014-12-25 23:34:30,2457017.48229,untrusted
2015-02-16 11:18:03,2457069.97087,18.96
2015-02-16 13:04:37,2457070.04487,18.95
2015-02-16 17:18:34,2457070.22123,null
2015-03-09 05:25:59,2457090.72638,19.02
2015-03-09 07:12:33,2457090.80038,19.04
2015-04-15 16:58:01,2457128.20696,18.99
2015-04-15 18:44:35,2457128.28096,18.95
2015-05-21 04:17:53,2457163.67909,null
2015-06-10 06:03:02,2457183.75211,19.07
2015-07-26 08:48:51,2457229.86726,null
2015-07-26 10:35:01,2457229.94098,null
2015-07-26 14:48:46,2457230.11720,null
2015-08-03 02:55:02,2457237.62155,null
2015-08-03 04:41:12,2457237.69528,null
2015-09-17 15:17:12,2457283.13694,19.02
2015-10-07 19:31:55,2457303.31383,null
2015-10-07 21:18:41,2457303.38797,null
2015-11-11 00:58:42,2457337.54076,18.97
2015-12-18 06:35:46,2457374.77484,19.05
2015-12-18 08:22:21,2457374.84885,19.02
2016-01-07 02:32:20,2457394.60579,19.00
2016-01-07 06:46:00,2457394.78194,18.98
2016-01-07 08:32:35,2457394.85596,18.99
2016-02-28 18:28:31,2457447.26980,18.96
2016-02-28 20:15:05,2457447.34381,18.96
2016-03-24 00:30:05,2457471.52089,19.04
2016-03-24 02:16:39,2457471.59490,19.01
2016-04-26 07:51:48,2457504.82764,19.02
2016-06-03 05:13:43,2457542.71786,18.96
2016-06-20 05:16:48,2457559.72000,18.97
2016-06-20 07:03:22,2457559.79400,18.98
2016-08-05 21:43:06,2457606.40493,18.95
2016-08-05 23:29:41,2457606.47895,18.96
2016-08-06 03:43:21,2457606.65510,18.96
2016-08-14 15:49:41,2457615.15950,18.91
2016-08-14 17:36:15,2457615.23351,18.95
2016-08-14 21:49:55,2457615.40966,18.93
2016-08-14 23:36:30,2457615.48368,18.98
2016-09-27 14:34:38,2457659.10738,18.98
2016-11-21 09:55:04,2457713.91324,18.87
2017-01-02 19:46:09,2457756.32372,18.84
2017-01-02 21:32:44,2457756.39773,18.81
2017-01-03 01:46:24,2457756.57389,18.85
2017-01-03 03:32:59,2457756.64791,18.86
2017-01-18 21:44:04,2457772.40560,18.77
2017-01-19 01:57:44,2457772.58176,18.76
2017-01-19 03:44:19,2457772.65578,18.75
2017-01-19 07:57:59,2457772.83193,18.74
2017-01-19 09:44:33,2457772.90594,18.77
2017-03-11 15:00:43,2457824.12550,18.40
2017-03-11 16:47:17,2457824.19950,18.38
2017-04-08 02:53:35,2457851.62054,17.86
2017-05-07 20:34:09,2457881.35705,16.39
2017-05-07 22:20:43,2457881.43105,16.38
2017-06-17 03:18:21,2457921.63774,18.13
2017-07-01 01:37:34,2457935.56775,18.34
2017-08-16 19:47:36,2457982.32472,18.78
2017-08-17 00:01:16,2457982.50088,18.68
