Gaia17aul
#Date,JD(TCB),averagemag
2014-08-28 16:42:44,2456898.19634,null
2014-08-28 18:29:28,2456898.27046,null
2014-11-16 00:03:36,2456977.50250,null
2014-11-16 01:50:21,2456977.57663,null
2014-11-25 00:10:01,2456986.50696,null
2014-11-25 01:56:46,2456986.58109,null
2015-01-06 00:35:22,2457028.52456,null
2015-01-26 22:46:16,2457049.44880,null
2015-01-27 00:33:01,2457049.52293,null
2015-02-28 18:04:07,2457082.25286,null
2015-04-09 03:55:26,2457121.66350,null
2015-04-09 05:41:37,2457121.73723,null
2015-04-09 09:55:22,2457121.91345,null
2015-04-09 11:42:07,2457121.98758,null
2015-04-29 16:06:53,2457142.17145,null
2015-04-29 17:53:04,2457142.24519,null
2015-04-29 22:06:49,2457142.42140,null
2015-04-29 23:53:34,2457142.49553,null
2015-06-22 03:49:18,2457195.65924,null
2015-06-22 05:36:03,2457195.73337,null
2015-07-19 05:34:30,2457222.73229,null
2015-07-19 09:48:14,2457222.90850,null
2015-08-20 17:12:38,2457255.21711,null
2015-09-28 02:30:48,2457293.60472,null
2015-10-13 20:33:57,2457309.35691,null
2015-10-13 22:20:42,2457309.43104,null
2015-11-26 20:45:28,2457353.36491,null
2015-11-27 00:58:38,2457353.54072,null
2015-12-07 02:51:40,2457363.61921,null
2015-12-07 07:05:25,2457363.79543,null
2016-01-16 13:39:25,2457404.06904,null
2016-01-16 17:53:11,2457404.24527,null
2016-03-11 07:13:50,2457458.80127,null
2016-03-11 11:27:36,2457458.97750,null
2016-04-25 11:07:03,2457503.96323,null
2016-04-25 12:53:48,2457504.03736,null
2016-04-25 17:07:33,2457504.21358,null
2016-04-25 18:53:43,2457504.28730,null
2016-05-13 05:19:29,2457521.72186,null
2016-05-13 07:05:39,2457521.79559,null
2016-05-13 11:19:24,2457521.97181,null
2016-05-13 13:06:09,2457522.04594,null
2016-05-13 17:19:54,2457522.22215,null
2016-07-03 16:59:17,2457573.20784,null
2016-07-03 18:46:02,2457573.28197,null
2016-08-02 12:34:53,2457603.02422,null
2016-10-10 09:25:55,2457671.89300,null
2016-10-10 11:12:05,2457671.96672,null
2016-10-23 09:30:57,2457684.89649,null
2016-10-23 11:17:42,2457684.97063,null
2016-12-06 07:54:39,2457728.82962,null
2016-12-06 09:41:25,2457728.90376,null
2016-12-18 20:00:58,2457741.33400,null
2016-12-18 21:47:43,2457741.40814,null
2017-01-26 08:45:15,2457779.86476,null
2017-02-22 14:08:21,2457807.08913,null
2017-02-22 15:55:06,2457807.16326,null
2017-03-23 03:46:56,2457835.65759,17.74
2017-03-23 08:00:37,2457835.83376,17.76
2017-05-12 01:43:04,2457885.57157,null
2017-05-12 03:29:49,2457885.64571,null
2017-05-12 07:43:34,2457885.82192,null
2017-05-12 09:29:44,2457885.89565,null
2017-05-30 01:55:32,2457903.58023,null
2017-05-30 03:41:42,2457903.65396,null
2017-05-30 07:55:27,2457903.83017,null
2017-05-30 09:42:12,2457903.90431,null
2017-07-16 01:31:28,2457950.56352,null
2017-07-16 03:17:38,2457950.63725,null
2017-08-17 07:09:43,2457982.79841,null
2017-10-23 07:29:53,2458049.81242,null
2017-10-23 11:43:37,2458049.98862,null
2017-11-02 23:49:11,2458060.49249,null
2017-11-03 01:35:56,2458060.56662,null
2017-12-16 12:01:40,2458104.00116,null
2017-12-16 16:15:25,2458104.17737,null
2017-12-31 16:20:04,2458119.18060,null
2017-12-31 18:06:15,2458119.25434,null
2018-02-06 09:28:19,2458155.89466,null
2018-02-06 11:15:05,2458155.96881,null
2018-03-09 03:10:41,2458186.63242,20.08
2018-03-09 04:57:42,2458186.70674,null
2018-04-04 04:57:56,2458212.70690,null
2018-04-04 09:11:41,2458212.88311,null
2018-04-04 10:58:27,2458212.95726,null
2018-05-26 20:55:52,2458265.37213,null
2018-05-26 22:42:37,2458265.44626,null
2018-05-27 02:56:22,2458265.62248,null
2018-05-27 04:42:32,2458265.69620,null
2018-06-16 16:53:05,2458286.20353,null
2018-06-16 21:06:49,2458286.37973,null
2018-06-16 22:52:59,2458286.45346,null
2018-08-31 14:06:58,2458362.08817,null
2018-08-31 15:53:16,2458362.16199,18.72
2018-09-22 15:48:40,2458384.15880,null
2018-11-04 18:37:50,2458427.27627,null
2018-11-04 20:24:35,2458427.35041,null
2018-11-13 18:44:05,2458436.28061,null
2018-11-13 20:30:50,2458436.35475,null
2018-12-26 23:15:15,2458479.46892,null
2019-01-13 23:16:59,2458497.47013,null
2019-02-17 16:37:02,2458532.19238,null
2019-03-24 10:15:36,2458566.92750,20.38
2019-03-24 12:02:10,2458567.00150,20.64
2019-04-16 18:09:54,2458590.25688,null
2019-04-16 22:23:39,2458590.43309,null
2019-04-17 00:09:50,2458590.50683,null
2019-06-09 10:07:40,2458643.92199,null
2019-06-09 11:53:50,2458643.99572,null
2019-06-09 16:07:34,2458644.17192,null
2019-06-09 17:54:19,2458644.24605,null
2019-07-03 16:13:27,2458668.17601,null
2019-07-03 18:00:11,2458668.25013,null
2019-07-17 05:31:21,2458681.73010,null
2019-08-22 19:18:27,2458718.30448,null
2019-08-22 21:04:37,2458718.37821,null
2019-09-27 20:46:45,2458754.36580,null
2019-09-27 22:33:29,2458754.43992,null
2019-10-21 03:23:15,2458777.64115,null
2019-10-21 05:09:24,2458777.71486,null
2019-12-11 13:05:26,2458829.04544,null
2019-12-11 17:19:11,2458829.22166,null
2020-01-03 11:57:51,2458851.99851,null
2020-01-03 13:44:36,2458852.07264,null
2020-02-06 13:29:44,2458886.06231,null
2020-03-12 15:23:09,2458921.14108,null
2020-03-12 17:09:54,2458921.21521,null
2020-03-30 23:44:49,2458939.48946,null
2020-05-14 18:53:36,2458984.28722,null
2020-05-14 20:39:46,2458984.36095,null
2020-05-24 07:04:56,2458993.79509,null
2020-05-24 08:51:06,2458993.86882,null
2020-07-07 21:47:19,2459038.40786,untrusted

