Gaia17avv
#Date,JD(TCB),averagemag
2014-11-21 19:06:44,2456983.29634,null
2014-11-21 20:53:29,2456983.37047,null
2015-03-08 05:14:42,2457089.71854,null
2015-03-08 09:28:28,2457089.89477,null
2015-03-23 11:21:47,2457104.97346,null
2015-04-27 15:03:19,2457140.12730,null
2015-09-06 15:23:54,2457272.14160,null
2015-09-06 17:10:38,2457272.21572,null
2015-09-24 05:16:21,2457289.71969,null
2015-09-24 09:30:05,2457289.89589,null
2015-10-28 04:46:02,2457323.69863,null
2015-12-07 21:49:45,2457364.40955,null
2015-12-08 02:03:29,2457364.58575,null
2015-12-08 03:49:38,2457364.65947,null
2015-12-08 08:03:22,2457364.83567,null
2015-12-08 09:50:07,2457364.90980,null
2015-12-08 14:03:51,2457365.08601,null
2015-12-11 08:05:36,2457367.83722,null
2015-12-11 14:06:05,2457368.08756,null
2015-12-11 15:52:49,2457368.16168,null
2015-12-11 20:06:34,2457368.33789,null
2015-12-11 21:52:43,2457368.41161,null
2015-12-12 02:06:27,2457368.58781,null
2015-12-12 03:53:12,2457368.66194,null
2016-03-16 12:18:09,2457464.01260,null
2016-04-06 06:20:11,2457484.76402,null
2016-05-07 16:14:47,2457516.17693,null
2016-05-07 18:01:33,2457516.25108,null
2016-09-15 10:31:40,2457646.93866,null
2016-09-15 12:18:24,2457647.01278,null
2016-10-09 00:14:44,2457670.51023,null
2016-10-09 04:27:52,2457670.68602,null
2016-11-06 17:53:11,2457699.24527,null
2017-03-26 13:00:58,2457839.04234,16.98
2017-03-26 14:47:33,2457839.11635,16.95
2017-04-21 02:40:58,2457864.61178,untrusted
2017-05-18 14:35:05,2457892.10770,19.19
2017-05-18 18:49:00,2457892.28403,null
2017-09-26 01:02:58,2458022.54373,null
2017-10-24 00:46:30,2458050.53229,null
2017-11-17 00:35:25,2458074.52459,null
2017-11-17 02:21:34,2458074.59831,null
2018-04-06 02:10:19,2458214.59050,null
2018-05-06 07:54:51,2458244.82976,null
2018-05-06 09:41:37,2458244.90390,null
2018-05-29 03:46:01,2458267.65696,null
2018-05-29 07:59:47,2458267.83318,null
2018-05-29 09:46:32,2458267.90731,null
2018-10-06 20:11:48,2458398.34153,null
2018-10-06 21:57:57,2458398.41524,null
2018-11-07 13:40:42,2458430.06993,null
2018-11-26 19:38:59,2458449.31874,null
2019-02-28 17:44:34,2458543.23928,null
2019-02-28 21:58:20,2458543.41551,null
2019-02-28 23:45:05,2458543.48964,null
2019-03-08 04:04:45,2458550.66997,null
2019-03-08 05:51:30,2458550.74410,null
2019-04-16 21:20:41,2458590.38936,null
2019-05-22 20:58:03,2458626.37365,null
2019-05-22 22:44:13,2458626.44737,null
2019-06-07 10:55:12,2458641.95500,null
2019-06-07 15:08:58,2458642.13123,null
2019-06-07 16:55:09,2458642.20497,null
2019-06-07 21:08:55,2458642.38119,null
2019-09-03 02:18:55,2458729.59647,null
2019-09-03 04:05:40,2458729.67060,null
2019-09-03 08:18:49,2458729.84640,null
2019-09-03 10:05:33,2458729.92052,null
2019-09-11 10:13:48,2458737.92625,null
2019-09-11 14:27:31,2458738.10244,null

