Gaia17axu
#Date,JD,averagemag.
2014-11-15 21:05:48,2456977.379,null
2015-05-03 16:41:01,2457146.195,null
2015-06-01 20:42:12,2457175.363,null
2015-06-01 22:28:57,2457175.437,null
2015-06-27 20:43:22,2457201.363,null
2015-06-27 22:30:08,2457201.438,null
2015-10-30 20:40:42,2457326.362,null
2015-10-30 22:26:51,2457326.435,null
2015-11-30 04:01:24,2457356.668,null
2015-12-21 14:07:55,2457378.089,null
2015-12-21 15:54:39,2457378.163,null
2016-03-25 12:32:18,2457473.022,null
2016-03-25 16:46:04,2457473.199,null
2016-03-25 18:32:49,2457473.273,null
2016-04-03 10:53:11,2457481.954,null
2016-04-03 12:39:56,2457482.028,null
2016-05-13 17:50:38,2457522.243,null
2016-06-16 21:44:49,2457556.406,null
2016-06-16 23:31:35,2457556.480,null
2016-07-07 11:40:43,2457576.987,null
2016-07-07 15:54:28,2457577.163,null
2016-07-07 17:41:14,2457577.237,null
2016-11-09 21:48:54,2457702.409,null
2016-11-09 23:35:39,2457702.483,null
2016-12-13 04:56:01,2457735.706,null
2016-12-30 09:10:27,2457752.882,null
2017-04-03 07:06:33,2457846.796,12.98
2017-04-03 08:53:08,2457846.870,12.98
2017-04-18 13:13:31,2457862.051,13.06
2017-04-18 15:00:06,2457862.125,13.08
2017-05-25 00:37:00,2457898.526,14.35
2017-05-25 02:23:35,2457898.600,14.36
2017-07-05 06:15:07,2457939.760,14.82
2017-07-05 08:01:42,2457939.835,14.83
2017-07-05 12:15:23,2457940.011,14.81
2017-07-05 14:01:57,2457940.085,14.85
2017-07-16 02:11:12,2457950.591,14.94
2017-07-16 06:24:53,2457950.767,14.93
2017-07-16 08:11:27,2457950.841,14.94
2017-07-16 12:25:08,2457951.017,14.93
2017-07-16 14:11:42,2457951.091,14.93
2017-09-29 18:42:45,2458026.280,15.83
2017-09-29 20:29:19,2458026.354,15.81
2017-10-16 02:36:51,2458042.609,15.98
2017-10-16 06:50:30,2458042.785,15.94
2017-10-16 08:37:04,2458042.859,15.97
2017-11-20 18:19:22,2458078.263,16.42
2017-11-20 20:05:55,2458078.337,16.44
2017-12-27 11:26:01,2458114.976,16.91
2017-12-27 13:12:35,2458115.050,16.93
2018-01-08 05:31:41,2458126.730,null
2018-01-08 07:17:49,2458126.804,17.11
2018-04-12 21:55:40,2458221.414,18.46
2018-04-13 02:09:21,2458221.590,18.43
2018-05-03 03:58:05,2458241.665,18.76
2018-06-05 09:34:51,2458274.899,19.4
2018-06-05 13:48:32,2458275.075,19.33
2018-10-09 13:50:54,2458401.077,null
2018-10-09 15:37:30,2458401.151,null

