Gaia17ayn
#Date,JD,averagemag.
2014-11-15 16:28:30,2456977.186,null
2014-11-15 18:15:15,2456977.261,null
2015-05-04 05:48:20,2457146.742,null
2015-05-04 07:35:05,2457146.816,null
2015-05-29 19:23:19,2457172.308,null
2015-05-29 23:37:03,2457172.484,null
2015-06-27 05:22:55,2457200.724,null
2015-06-27 07:09:39,2457200.798,null
2015-11-03 07:23:24,2457329.808,null
2015-12-24 11:22:09,2457380.974,null
2015-12-24 13:08:20,2457381.047,null
2016-06-13 08:19:27,2457552.847,null
2016-07-07 00:31:56,2457576.522,null
2016-07-07 02:18:41,2457576.596,null
2016-11-12 20:34:22,2457705.357,null
2016-11-13 00:48:09,2457705.533,null
2016-12-13 18:26:14,2457736.268,null
2017-01-02 06:28:32,2457755.770,null
2017-04-07 10:13:52,2457850.926,18.05
2017-04-07 12:00:26,2457851.000,18.10
2017-04-07 16:14:05,2457851.176,18.07
2017-04-07 18:00:39,2457851.250,18.07
2017-04-08 00:00:51,2457851.501,18.10
2017-04-13 10:18:28,2457856.929,18.46
2017-04-13 12:05:02,2457857.003,18.52
2017-04-13 16:18:41,2457857.180,18.49
2017-04-13 18:05:15,2457857.254,18.53
2017-05-24 21:24:47,2457898.392,null
2017-05-24 23:11:16,2457898.466,untrusted
2017-06-29 20:54:16,2457934.371,null
2017-06-29 22:41:00,2457934.445,null
2017-07-16 09:01:40,2457950.876,null
2017-07-16 10:48:24,2457950.950,null
2017-07-16 15:01:33,2457951.126,null
2017-07-16 16:48:18,2457951.200,null

