Gaia17ayt
#Date,JD,averagemag.
2014-11-02 17:24:40,2456964.225,null
2014-11-02 21:38:25,2456964.402,null
2014-11-02 23:24:35,2456964.475,null
2015-01-11 02:58:01,2457033.624,null
2015-01-11 04:44:11,2457033.697,null
2015-02-06 20:45:37,2457060.365,null
2015-02-06 22:31:48,2457060.439,null
2015-03-16 07:48:28,2457097.825,null
2015-03-16 09:35:13,2457097.899,null
2015-04-03 07:51:10,2457115.827,null
2015-05-14 18:33:38,2457157.273,null
2015-05-14 20:20:23,2457157.347,null
2015-06-03 00:34:08,2457176.524,null
2015-06-03 02:20:53,2457176.598,null
2015-07-11 19:26:09,2457215.310,null
2015-08-10 17:22:50,2457245.224,null
2015-09-10 23:08:24,2457276.464,null
2015-10-21 22:43:51,2457317.447,null
2015-10-22 00:30:36,2457317.521,null
2015-11-17 04:45:57,2457343.699,null
2015-11-17 06:32:42,2457343.773,null
2015-12-23 22:23:06,2457380.433,null
2016-01-24 15:58:49,2457412.166,null
2016-01-24 17:45:34,2457412.240,null
2016-02-18 03:50:29,2457436.660,null
2016-02-18 05:36:39,2457436.734,null
2016-03-27 22:32:57,2457475.440,null
2016-04-13 22:36:20,2457492.442,null
2016-05-25 13:33:47,2457534.065,null
2016-05-25 15:20:31,2457534.139,null
2016-06-15 13:32:15,2457555.064,null
2016-07-23 00:45:23,2457592.532,null
2016-07-23 02:31:33,2457592.605,null
2016-08-24 06:25:04,2457624.767,null
2016-08-24 08:11:14,2457624.841,null
2016-09-22 20:03:35,2457654.336,null
2016-11-03 17:53:06,2457696.245,null
2016-11-03 19:39:51,2457696.319,null
2016-11-30 13:39:17,2457723.069,null
2017-01-03 17:31:19,2457757.230,null
2017-02-05 22:59:06,2457790.458,null
2017-02-28 12:16:21,2457813.011,null
2017-04-09 05:06:31,2457852.713,17.45
2017-04-09 06:53:05,2457852.787,17.47
2017-04-25 23:10:05,2457869.465,17.80
2017-04-26 00:56:41,2457869.539,null
2017-06-29 05:38:46,2457933.735,19.21
2017-08-04 09:14:12,2457969.885,null
2017-09-08 02:50:57,2458004.619,20.05
2017-09-08 04:37:30,2458004.693,null
2017-10-06 02:48:40,2458032.617,null
2017-10-06 04:34:56,2458032.691,20.36

