Gaia17baa
#Date,JD(TCB),averagemag
2015-01-07 15:13:12,2457030.13417,null
2015-01-07 16:59:57,2457030.20830,null
2015-02-12 20:50:25,2457066.36834,null
2015-02-12 22:37:11,2457066.44249,null
2015-03-19 14:13:10,2457101.09248,null
2015-03-19 15:59:55,2457101.16661,null
2015-04-06 16:03:01,2457119.16876,null
2015-04-06 20:16:46,2457119.34498,null
2015-05-24 18:47:54,2457167.28326,null
2015-05-24 20:34:04,2457167.35699,null
2015-05-25 00:47:49,2457167.53321,null
2015-05-25 02:34:34,2457167.60734,null
2015-05-25 06:48:19,2457167.78355,null
2015-05-25 08:35:04,2457167.85769,null
2015-05-25 12:48:14,2457168.03350,null
2015-05-25 14:34:59,2457168.10763,null
2015-05-25 18:48:44,2457168.28384,null
2015-05-25 20:35:29,2457168.35797,null
2015-05-26 00:48:39,2457168.53378,null
2015-05-26 02:35:24,2457168.60792,null
2015-05-26 06:49:09,2457168.78413,null
2015-05-26 08:35:54,2457168.85826,null
2015-05-26 12:49:38,2457169.03447,null
2015-05-26 14:35:48,2457169.10819,null
2015-05-26 18:49:33,2457169.28441,null
2015-05-26 20:36:18,2457169.35854,null
2015-05-27 00:50:03,2457169.53476,null
2015-05-27 02:36:13,2457169.60848,null
2015-05-27 06:49:58,2457169.78470,null
2015-05-27 08:36:43,2457169.85883,null
2015-05-27 12:50:28,2457170.03505,null
2015-08-04 07:07:23,2457238.79679,null
2015-09-08 04:43:55,2457273.69716,null
2015-10-18 16:15:24,2457314.17736,null
2015-10-18 18:02:09,2457314.25149,null
2015-10-18 22:15:53,2457314.42770,null
2015-10-19 00:02:03,2457314.50142,null
2015-11-04 10:25:21,2457330.93427,null
2015-11-04 12:12:06,2457331.00840,null
2015-11-04 16:25:51,2457331.18462,null
2015-11-04 18:12:36,2457331.25875,null
2015-12-30 22:14:24,2457387.42667,null
2015-12-31 00:01:09,2457387.50080,null
2016-01-23 04:18:57,2457410.67983,null
2016-01-23 06:05:43,2457410.75397,null
2016-02-23 23:46:02,2457442.49030,null
2016-04-01 09:10:40,2457479.88241,null
2016-04-01 10:57:25,2457479.95654,null
2016-04-15 23:03:31,2457494.46078,null
2016-04-16 03:17:16,2457494.63699,null
2016-06-03 07:40:32,2457542.81981,null
2016-06-03 09:27:17,2457542.89395,null
2016-06-03 13:40:27,2457543.06976,null
2016-06-03 15:27:12,2457543.14389,null
2016-06-08 09:31:20,2457547.89676,null
2016-06-08 13:45:05,2457548.07297,null
2016-06-08 15:31:14,2457548.14669,null
2016-06-08 19:44:59,2457548.32291,null
2016-06-08 21:31:44,2457548.39704,null
2016-07-24 12:25:07,2457594.01744,null
2016-07-24 14:11:52,2457594.09157,null
2016-08-17 18:17:04,2457618.26185,null
2016-08-17 20:03:49,2457618.33598,null
2016-09-18 19:38:54,2457650.31868,null
2016-11-06 01:15:01,2457698.55209,null
2016-11-06 05:28:46,2457698.72831,null
2016-11-06 07:14:56,2457698.80204,null
2016-11-06 11:28:41,2457698.97825,null
2016-11-06 13:15:26,2457699.05238,null
2016-11-06 17:29:10,2457699.22859,null
2016-11-06 19:15:20,2457699.30231,null
2016-11-06 23:29:05,2457699.47853,null
2016-11-14 11:35:45,2457706.98316,null
2016-11-14 17:35:40,2457707.23310,null
2016-11-14 19:22:25,2457707.30723,null
2016-11-14 23:36:10,2457707.48345,null
2016-11-15 01:22:54,2457707.55757,null
2016-11-15 05:36:04,2457707.73338,null
2016-11-15 07:22:49,2457707.80751,null
2016-11-15 11:36:34,2457707.98373,null
2016-11-15 13:23:19,2457708.05786,null
2016-11-15 19:23:14,2457708.30780,null
2017-01-10 07:11:55,2457763.79994,null
2017-01-10 11:25:41,2457763.97617,null
2017-03-06 00:30:23,2457818.52110,null
2017-04-15 05:29:45,2457858.72899,17.84
2017-04-15 07:16:19,2457858.80300,17.82
2017-04-26 01:23:21,2457869.55788,18.21
2017-04-26 05:37:01,2457869.73404,18.22
2017-04-26 07:23:36,2457869.80806,18.22
2017-06-13 09:56:18,2457917.91410,untrusted
2017-06-13 11:42:52,2457917.98810,19.98
2017-06-22 17:49:03,2457927.24240,20.14
2017-06-22 22:02:43,2457927.41855,20.13
2017-08-04 20:52:16,2457970.36963,null
2017-09-01 10:23:37,2457997.93307,null
2017-09-01 14:37:20,2457998.10926,null
2017-09-30 14:24:24,2458027.10028,null
2017-09-30 16:10:33,2458027.17399,null
2017-11-25 09:54:51,2458082.91309,null
2017-11-25 14:08:36,2458083.08931,null
2017-11-25 15:55:21,2458083.16344,null
2017-11-25 20:08:31,2458083.33925,null
2017-11-25 21:55:16,2458083.41338,null
2017-11-26 02:09:02,2458083.58961,null
2017-11-26 03:55:47,2458083.66374,null
2017-11-26 08:09:32,2458083.83995,null
2017-11-26 09:55:42,2458083.91368,null
2017-11-26 14:09:27,2458084.08990,null
2017-11-26 15:56:12,2458084.16403,null
2017-11-26 20:09:57,2458084.34024,null
2017-11-26 21:56:07,2458084.41397,null
2017-11-27 02:09:52,2458084.59019,null
2017-11-27 03:56:37,2458084.66432,null
2017-11-27 08:10:22,2458084.84053,null
2017-11-27 09:56:32,2458084.91426,null
2017-11-27 14:10:17,2458085.09047,null
2017-11-27 15:57:02,2458085.16461,null
2017-11-27 20:10:47,2458085.34082,null
