Gaia17bbj
#Date,JD(TCB),averagemag
2015-02-21 02:53:19,2457074.62036,null
2015-02-21 04:40:05,2457074.69450,null
2015-03-20 20:43:03,2457102.36323,null
2015-03-20 22:29:48,2457102.43736,null
2015-04-14 02:39:17,2457126.61061,null
2015-09-07 18:01:55,2457273.25133,null
2015-10-08 05:37:47,2457303.73457,null
2015-10-29 23:37:18,2457325.48424,null
2015-10-30 03:51:02,2457325.66044,null
2016-03-02 17:51:02,2457450.24377,null
2016-04-03 15:41:33,2457482.15385,null
2016-04-03 17:28:19,2457482.22800,null
2016-04-22 23:32:23,2457501.48082,null
2016-04-23 03:45:35,2457501.65666,null
2016-07-31 12:10:03,2457601.00698,null
2016-07-31 13:56:12,2457601.08069,null
2016-07-31 18:09:56,2457601.25690,null
2016-07-31 19:56:41,2457601.33103,null
2016-08-07 20:01:52,2457608.33463,null
2016-08-08 00:15:36,2457608.51083,null
2016-08-08 02:01:45,2457608.58455,null
2016-09-17 17:23:13,2457649.22446,null
2016-10-23 10:50:25,2457684.95168,null
2016-10-23 12:36:35,2457685.02541,null
2016-11-06 16:57:03,2457699.20628,null
2016-11-06 18:43:47,2457699.28041,null
2016-11-06 22:57:31,2457699.45661,null
2016-11-07 00:44:16,2457699.53074,null
2017-01-28 13:24:55,2457782.05897,null
2017-01-28 19:24:51,2457782.30892,null
2017-01-29 01:25:22,2457782.55928,null
2017-01-29 07:25:19,2457782.80925,null
2017-01-29 11:39:05,2457782.98547,null
2017-01-29 13:25:50,2457783.05961,null
2017-01-29 19:25:46,2457783.30956,null
2017-01-30 01:26:18,2457783.55993,null
2017-01-30 07:26:49,2457783.81029,null
2017-03-13 12:38:41,2457826.02686,null
2017-04-18 18:02:32,2457862.25176,18.62
2017-04-18 19:49:06,2457862.32576,18.62
2017-05-02 01:57:13,2457875.58140,19.06
2017-05-02 06:10:54,2457875.75757,19.06
2017-08-08 08:29:54,2457973.85410,null
2017-08-08 10:16:39,2457973.92823,null
2017-08-24 08:33:53,2457989.85686,null
2017-09-28 13:53:37,2458025.07890,null
2017-09-28 15:40:22,2458025.15303,null
2018-02-01 21:48:47,2458151.40888,null
2018-02-02 02:02:33,2458151.58510,null
2018-03-24 07:49:42,2458201.82618,null
2018-05-07 01:05:13,2458245.54529,null
2018-05-07 07:05:10,2458245.79525,null
2018-05-07 13:05:41,2458246.04561,null
2018-08-18 03:32:23,2458348.64749,null
2018-09-08 11:15:15,2458369.96892,null
2018-10-09 15:02:53,2458401.12700,null
2019-02-11 04:58:04,2458525.70699,null
2019-02-11 09:11:15,2458525.88281,null
2019-03-06 09:12:50,2458548.88391,null
2019-03-06 10:59:00,2458548.95764,null
2019-04-03 22:45:44,2458577.44843,null
2019-08-16 02:31:08,2458711.60495,null
2019-08-16 04:17:53,2458711.67909,null
2019-09-09 15:15:58,2458736.13609,null

