Gaia17bgv
#Date,JD,averagemag.
2014-11-25 16:05:04,2456987.170,null
2014-11-25 22:05:00,2456987.420,null
2014-11-25 23:51:46,2456987.494,null
2014-11-26 04:05:31,2456987.671,null
2014-11-26 05:51:42,2456987.744,null
2014-11-26 10:05:28,2456987.920,null
2014-11-26 11:52:13,2456987.995,null
2014-11-26 16:05:59,2456988.171,null
2014-11-26 17:52:44,2456988.245,null
2014-11-26 22:05:55,2456988.421,null
2014-11-26 23:52:40,2456988.495,null
2014-11-27 04:06:26,2456988.671,null
2014-11-27 10:06:57,2456988.921,null
2015-03-27 02:20:02,2457108.597,null
2015-04-25 19:59:23,2457138.333,null
2015-09-01 00:17:47,2457266.512,null
2015-09-01 02:04:33,2457266.586,null
2015-09-27 08:01:51,2457292.835,null
2015-10-24 12:05:22,2457320.004,null
2015-10-24 13:52:07,2457320.078,null
2016-03-13 09:33:16,2457460.898,null
2016-04-09 19:29:13,2457488.312,null
2016-04-09 21:15:57,2457488.386,null
2016-05-05 19:21:33,2457514.307,null
2016-05-05 21:08:18,2457514.381,null
2016-09-11 01:29:07,2457642.562,null
2016-09-11 03:15:53,2457642.636,null
2016-10-11 03:01:29,2457672.626,null
2016-11-02 19:12:48,2457695.301,null
2017-02-06 21:51:31,2457791.411,null
2017-02-06 23:37:41,2457791.485,null
2017-02-07 03:51:25,2457791.661,null
2017-02-07 05:38:09,2457791.735,null
2017-02-07 09:51:54,2457791.911,null
2017-02-07 11:38:03,2457791.985,null
2017-02-07 15:51:47,2457792.161,null
2017-02-07 17:38:32,2457792.235,null
2017-02-07 23:39:01,2457792.485,null
2017-02-09 07:02:30,2457793.793,null
2017-02-09 13:02:23,2457794.043,null
2017-02-09 17:16:08,2457794.220,null
2017-02-09 19:02:52,2457794.294,null
2017-02-09 23:16:36,2457794.470,null
2017-02-10 01:02:46,2457794.544,null
2017-02-10 05:16:30,2457794.720,null
2017-02-10 07:03:15,2457794.794,null
2017-02-10 11:16:59,2457794.970,null
2017-04-25 09:49:27,2457868.909,null
2017-05-16 05:39:15,2457889.736,17.44
2017-05-16 09:52:54,2457889.912,17.48
2017-05-16 11:39:28,2457889.986,17.61

