Gaia17bio
#Date,JD(TCB),averagemag
2014-08-04 05:05:22,2456873.71206,null
2014-08-04 06:51:32,2456873.78579,null
2014-08-04 11:05:16,2456873.96199,null
2014-08-04 12:52:00,2456874.03611,null
2014-08-04 17:05:44,2456874.21231,null
2014-08-04 18:52:29,2456874.28645,null
2014-11-05 16:54:15,2456967.20434,null
2014-11-05 18:40:25,2456967.27807,null
2014-11-05 22:54:11,2456967.45429,null
2014-11-16 11:02:24,2456977.96000,null
2014-11-16 12:49:09,2456978.03413,null
2014-11-16 17:02:21,2456978.20997,null
2014-11-16 18:49:06,2456978.28410,null
2015-05-05 05:16:04,2457147.71949,null
2015-05-05 07:02:48,2457147.79361,null
2015-05-05 11:16:32,2457147.96981,null
2015-05-05 13:03:17,2457148.04395,null
2015-05-20 05:22:46,2457162.72414,null
2015-05-20 07:08:55,2457162.79786,null
2015-06-24 22:49:05,2457198.45075,null
2015-06-25 00:35:14,2457198.52447,null
2015-11-13 13:43:06,2457340.07160,null
2015-11-13 17:56:52,2457340.24782,null
2015-12-02 01:48:39,2457358.57545,null
2016-01-01 19:27:04,2457389.31046,null
2016-05-13 06:21:11,2457521.76471,null
2016-05-13 08:07:56,2457521.83884,null
2016-06-04 12:19:40,2457544.01366,null
2016-06-04 14:06:25,2457544.08779,null
2016-07-04 23:57:06,2457574.49799,null
2016-07-05 01:43:51,2457574.57212,null
2016-11-22 01:04:00,2457714.54444,null
2016-11-22 02:50:45,2457714.61858,null
2017-01-11 00:50:51,2457764.53531,null
2017-01-11 02:37:37,2457764.60946,null
2017-05-23 08:51:08,2457896.86884,18.93
2017-05-23 10:37:41,2457896.94284,18.94
2017-06-19 22:23:30,2457924.43299,19.21
2017-06-20 02:37:09,2457924.60913,19.11
2017-07-15 14:27:06,2457950.10215,null
2017-07-15 16:13:35,2457950.17610,untrusted
2017-12-01 23:22:29,2458089.47395,null
2017-12-30 05:07:47,2458117.71374,null
2018-01-20 17:09:20,2458139.21481,null
2018-06-03 03:59:44,2458272.66648,null
2018-06-03 05:46:28,2458272.74060,null
2018-07-05 11:19:00,2458304.97153,null
2018-07-25 15:32:52,2458325.14782,null
2018-12-12 06:33:06,2458464.77299,null
2019-01-14 10:21:17,2458497.93145,null
2019-01-14 12:08:02,2458498.00558,null
2019-01-29 06:16:34,2458512.76150,null
2019-01-29 10:30:20,2458512.93773,null
2019-06-14 05:08:56,2458648.71454,null
2019-06-14 06:55:41,2458648.78867,null
2019-07-17 20:14:27,2458682.34337,null
2019-07-18 00:28:10,2458682.51956,null
2019-08-02 00:47:07,2458697.53272,null
2019-08-02 02:33:52,2458697.60685,null
2019-08-02 06:47:00,2458697.78264,null
2019-08-02 08:33:45,2458697.85677,null

