Gaia17bjn
#Date,JD,averagemag.
2014-08-26 20:09:42,2456896.340,18.86
2014-08-26 21:56:17,2456896.414,19.12
2014-12-31 13:38:06,2457023.068,18.8
2014-12-31 15:24:40,2457023.142,null
2015-01-26 09:08:20,2457048.881,18.61
2015-01-26 13:21:59,2457049.057,19.11
2015-02-21 19:10:12,2457075.299,18.72
2015-02-21 20:56:45,2457075.373,19.04
2015-06-25 13:07:44,2457199.047,18.77
2015-06-25 14:54:19,2457199.121,18.93
2015-07-25 18:56:37,2457229.289,18.78
2015-07-25 20:43:35,2457229.364,null
2015-08-19 14:39:24,2457254.111,18.61
2015-08-19 18:53:08,2457254.287,null
2015-11-26 03:44:06,2457352.656,18.9
2015-11-26 09:44:20,2457352.906,18.81
2015-11-26 11:30:54,2457352.980,18.41
2015-11-26 15:44:33,2457353.156,18.79
2015-11-26 17:31:07,2457353.230,18.44
2015-11-30 23:34:31,2457357.482,18.89
2015-12-01 03:48:10,2457357.658,18.77
2015-12-01 05:34:44,2457357.732,18.64
2015-12-01 09:48:23,2457357.909,18.76
2016-01-11 02:44:09,2457398.614,17.4
2016-02-10 02:19:00,2457428.597,18.67
2016-02-10 04:05:33,2457428.671,18.91
2016-03-03 08:19:08,2457450.847,18.43
2016-03-03 10:05:42,2457450.921,18.64
2016-07-06 02:19:36,2457575.597,17.49
2016-08-08 19:55:48,2457609.330,18.45
2016-08-08 21:42:23,2457609.404,18.65
2016-08-29 01:58:39,2457629.582,18.36
2016-08-29 03:45:14,2457629.656,18.51
2016-12-02 22:38:40,2457725.444,19.01
2016-12-03 00:25:14,2457725.518,18.64
2016-12-15 10:43:47,2457737.947,18.58
2016-12-15 12:30:21,2457738.021,18.72
2017-01-20 15:51:08,2457774.161,18.49
2017-01-20 17:37:42,2457774.235,19.17
2017-02-25 00:28:28,2457809.520,18.55
2017-02-25 04:42:07,2457809.696,18.49
2017-03-12 22:49:42,2457825.451,18.62
2017-03-13 00:36:16,2457825.525,18.8
2017-03-13 04:49:55,2457825.701,18.44
2017-03-13 06:36:26,2457825.775,null
2017-05-25 06:51:03,2457898.785,17.45
2017-05-25 11:04:44,2457898.962,17.4
2017-05-25 12:51:18,2457899.036,17.55
2017-05-25 17:04:59,2457899.212,17.29
2017-05-25 18:51:34,2457899.286,17.75
2017-05-25 23:05:14,2457899.462,17.19
2017-07-17 12:39:55,2457952.028,18.67

