Gaia17bns
#Date,JD,averagemag.
2014-11-03 17:47:56,2456965.242,17.93
2014-11-03 19:34:30,2456965.316,17.95
2014-11-29 17:37:47,2456991.235,18.04
2014-12-29 17:21:51,2457021.224,null
2014-12-29 19:08:26,2457021.298,null
2015-02-09 10:58:47,2457062.957,17.98
2015-02-09 12:45:22,2457063.032,18.0
2015-03-03 12:54:16,2457085.038,null
2015-03-03 17:07:48,2457085.214,17.86
2015-03-03 18:54:22,2457085.288,17.85
2015-04-15 22:42:19,2457128.446,18.11
2015-04-16 00:28:53,2457128.520,18.06
2015-05-17 04:24:41,2457159.684,17.9
2015-06-13 17:57:11,2457187.248,18.1
2015-07-24 15:05:26,2457228.129,17.97
2015-08-08 21:10:12,2457243.382,null
2015-08-08 22:56:57,2457243.456,null
2015-09-21 15:30:55,2457287.146,null
2015-10-08 07:48:26,2457303.825,17.98
2015-11-15 00:54:13,2457341.538,17.98
2015-12-13 12:39:10,2457370.027,17.98
2015-12-13 14:25:44,2457370.101,17.95
2016-01-10 14:18:11,2457398.096,18.25
2016-01-10 18:31:52,2457398.272,18.17
2016-02-24 00:09:17,2457442.506,18.09
2016-02-24 01:55:51,2457442.580,18.08
2016-02-24 06:09:31,2457442.757,18.13
2016-02-24 07:56:05,2457442.831,18.06
2016-03-18 00:17:07,2457465.512,17.97
2016-03-18 02:03:41,2457465.586,17.91
2016-04-27 05:50:46,2457505.744,18.11
2016-04-27 07:37:34,2457505.818,null
2016-05-30 13:09:59,2457539.049,17.96
2016-06-24 11:14:43,2457563.969,18.01
2016-06-24 13:01:17,2457564.043,17.99
2016-08-05 11:48:16,2457605.992,null
2016-08-05 16:01:41,2457606.168,18.04
2016-08-19 16:07:28,2457620.172,18.18
2016-08-19 17:54:03,2457620.246,18.04
2016-10-01 16:30:58,2457663.188,null
2016-10-01 20:44:12,2457663.364,17.97
2016-10-20 10:32:37,2457681.939,18.1
2016-11-25 08:01:30,2457717.834,17.99
2016-12-26 19:42:24,2457749.321,17.98
2016-12-26 21:28:58,2457749.395,17.97
2017-01-21 21:28:36,2457775.395,null
2017-01-22 01:42:08,2457775.571,17.97
2017-03-08 20:42:19,2457821.363,17.99
2017-03-08 22:28:54,2457821.437,18.01
2017-04-02 10:33:05,2457845.940,17.98
2017-04-02 14:46:45,2457846.116,17.98
2017-04-02 16:33:19,2457846.190,17.95
2017-05-09 08:21:01,2457882.848,17.96
2017-05-09 10:07:35,2457882.922,18.01
2017-06-13 15:30:16,2457918.146,19.41
2017-06-13 19:43:55,2457918.322,19.28

