Gaia17bpb
#Date,JD,averagemag.
2014-10-31 18:59:44,2456962.291,null
2014-11-23 23:09:57,2456985.465,null
2014-11-24 00:56:43,2456985.539,null
2015-04-25 05:05:40,2457137.712,null
2015-04-25 06:52:25,2457137.786,null
2015-05-22 04:55:41,2457164.705,null
2015-06-18 06:27:39,2457191.769,null
2015-11-11 00:21:38,2457337.515,null
2016-01-01 06:08:11,2457388.756,null
2016-01-01 07:54:56,2457388.830,null
2016-05-05 06:15:05,2457513.760,null
2016-06-05 07:37:37,2457544.818,null
2016-06-27 19:32:38,2457567.314,null
2016-11-20 09:17:08,2457712.887,null
2016-11-20 13:30:55,2457713.063,null
2016-12-22 13:09:49,2457745.048,null
2016-12-22 14:56:35,2457745.123,null
2017-01-09 19:17:58,2457763.304,null
2017-01-09 21:04:44,2457763.378,null
2017-05-16 08:46:04,2457889.865,null
2017-05-16 10:32:48,2457889.939,null
2017-06-20 09:54:48,2457924.913,18.52
2017-06-20 14:08:27,2457925.089,18.54
2017-07-07 20:11:33,2457942.341,19.15
2017-07-07 21:58:06,2457942.415,19.19

