Gaia17bwj
#Date,JD,averagemag.
2015-01-04 13:19:20,2457027.055,null
2015-01-04 15:06:04,2457027.129,null
2015-01-19 07:23:10,2457041.808,null
2015-01-19 09:09:54,2457041.882,null
2015-02-21 18:44:02,2457075.281,null
2015-02-21 20:30:47,2457075.355,null
2015-07-05 19:11:28,2457209.300,null
2015-07-05 20:57:39,2457209.373,null
2015-07-24 07:20:17,2457227.806,null
2015-07-24 09:07:03,2457227.880,null
2015-08-27 01:00:12,2457261.542,null
2016-01-13 08:22:13,2457400.849,null
2016-01-13 10:08:22,2457400.922,null
2016-02-03 02:17:49,2457421.596,null
2016-03-03 07:52:18,2457450.828,null
2016-03-03 09:39:03,2457450.902,null
2016-07-14 14:20:43,2457584.098,null
2016-08-08 08:21:30,2457608.848,null
2016-08-08 10:07:40,2457608.922,null
2016-09-05 20:11:14,2457637.341,null
2017-01-21 23:13:44,2457775.468,null
2017-02-16 12:21:00,2457801.015,null
2017-03-13 16:23:35,2457826.183,null
2017-03-13 18:09:44,2457826.257,null
2017-07-25 04:53:45,2457959.704,18.81
2017-07-25 06:40:20,2457959.778,18.79
2017-08-23 16:42:52,2457989.196,untrusted
2017-09-16 00:28:28,2458012.520,19.76
2017-09-16 04:42:10,2458012.696,19.77

