Gaia17bxc
#Date,JD(TCB),averagemag
2014-07-27 05:52:21,2456865.74469,null
2014-07-27 11:52:15,2456865.99462,null
2014-07-27 13:39:00,2456866.06875,null
2014-07-27 17:52:44,2456866.24495,null
2014-07-27 19:39:28,2456866.31907,null
2014-07-27 23:53:13,2456866.49529,null
2014-07-28 01:39:22,2456866.56900,null
2014-07-28 07:39:51,2456866.81934,null
2014-11-09 22:06:27,2456971.42115,null
2014-11-09 23:53:12,2456971.49528,null
2015-02-01 16:51:01,2457055.20209,null
2015-02-01 21:04:46,2457055.37831,null
2015-03-19 19:27:46,2457101.31095,null
2015-03-20 01:27:41,2457101.56089,null
2015-03-20 03:14:26,2457101.63502,null
2015-03-20 07:28:11,2457101.81124,null
2015-03-20 09:14:21,2457101.88497,null
2015-03-24 15:18:06,2457106.13757,null
2015-03-24 19:31:51,2457106.31378,null
2015-03-24 21:18:35,2457106.38791,null
2015-03-25 01:32:20,2457106.56412,null
2015-05-09 00:09:24,2457151.50653,null
2015-05-09 01:56:09,2457151.58066,null
2015-06-01 07:49:09,2457174.82580,null
2015-07-04 11:35:50,2457207.98322,null
2015-07-04 13:22:34,2457208.05734,null
2015-08-21 00:58:16,2457255.54046,null
2015-08-21 05:11:26,2457255.71627,null
2015-08-21 06:58:11,2457255.79041,null
2015-08-21 11:11:55,2457255.96661,null
2015-08-21 12:58:40,2457256.04074,null
2015-08-21 17:12:25,2457256.21696,null
2015-09-01 17:20:42,2457267.22271,null
2015-09-01 19:07:27,2457267.29684,null
2015-09-01 23:21:12,2457267.47306,null
2015-09-02 01:07:57,2457267.54719,null
2015-09-02 05:21:42,2457267.72340,null
2015-09-02 07:07:52,2457267.79713,null
2015-09-02 11:21:37,2457267.97334,null
2015-09-02 13:08:22,2457268.04748,null
2015-10-29 12:58:10,2457325.04039,null
2015-10-29 17:11:56,2457325.21662,null
2015-11-24 23:09:34,2457351.46498,null
2015-11-25 00:56:20,2457351.53912,null
2015-12-23 12:40:58,2457380.02845,null
2016-01-31 03:55:39,2457418.66365,null
2016-01-31 05:42:24,2457418.73778,null
2016-02-11 11:48:38,2457429.99211,null
2016-02-11 16:02:23,2457430.16832,null
2016-03-28 20:21:03,2457476.34795,null
2016-03-28 22:07:13,2457476.42168,null
2016-04-06 08:26:38,2457484.85183,null
2016-04-06 10:13:23,2457484.92596,null
2016-04-06 14:27:08,2457485.10218,null
2016-05-19 01:13:17,2457527.55089,null
2016-05-19 03:00:02,2457527.62502,null
2016-06-15 02:46:38,2457554.61572,null
2016-07-15 12:45:09,2457585.03135,null
2016-07-15 14:31:53,2457585.10547,null
2016-09-09 14:15:53,2457641.09436,null
2016-09-09 18:29:38,2457641.27058,null
2016-09-09 20:15:48,2457641.34431,null
2016-09-10 00:29:33,2457641.52052,null
2016-09-10 02:16:18,2457641.59465,null
2016-09-10 06:30:03,2457641.77087,null
2016-09-10 08:16:13,2457641.84459,null
2016-09-10 12:29:58,2457642.02081,null
2016-09-10 14:16:43,2457642.09494,null
2016-09-10 18:30:28,2457642.27116,null
2016-09-10 20:17:13,2457642.34529,null
2016-09-11 00:30:23,2457642.52110,null
2016-09-11 02:17:08,2457642.59523,null
2016-09-11 06:30:53,2457642.77145,null
2016-09-11 08:17:38,2457642.84558,null
2016-09-11 12:30:48,2457643.02139,null
2016-09-11 14:17:33,2457643.09552,null
2016-09-11 18:31:18,2457643.27174,null
2016-09-11 20:18:03,2457643.34587,null
2016-09-12 00:31:48,2457643.52208,null
2016-09-12 06:31:43,2457643.77203,null
2016-09-12 12:32:13,2457644.02237,null
2016-09-12 18:32:08,2457644.27231,null
2016-09-13 00:32:38,2457644.52266,null
2016-09-13 06:32:33,2457644.77260,null
2016-09-13 12:33:03,2457645.02295,null
2016-09-13 18:32:58,2457645.27289,null
2016-09-14 00:33:28,2457645.52324,null
2016-09-14 06:33:23,2457645.77318,null
2016-09-14 08:20:08,2457645.84731,null
2016-09-14 12:33:53,2457646.02353,null
2016-09-14 14:20:38,2457646.09766,null
2016-09-14 18:33:49,2457646.27348,null
2016-09-14 20:20:34,2457646.34762,null
2016-09-15 00:34:19,2457646.52383,null
2016-09-15 02:21:04,2457646.59796,null
2016-09-15 06:34:49,2457646.77418,null
2016-09-15 08:20:59,2457646.84791,null
2016-09-15 12:34:44,2457647.02412,null
2016-09-15 14:21:29,2457647.09825,null
2016-09-15 18:35:14,2457647.27447,null
2016-09-15 20:21:24,2457647.34819,null
2016-09-16 00:35:09,2457647.52441,null
2016-09-16 02:21:54,2457647.59854,null
2016-09-16 06:35:39,2457647.77476,null
2016-09-16 08:21:49,2457647.84848,null
2016-09-16 14:22:19,2457648.09883,null
2016-11-09 06:22:46,2457701.76581,null
2016-12-08 06:10:40,2457730.75741,null
2017-01-02 06:01:21,2457755.75094,null
2017-01-02 07:48:06,2457755.82507,null
