Gaia17chl
#Date,JD,averagemag.
2015-01-16 21:29:20,2457039.395,null
2015-02-10 15:21:53,2457064.140,null
2015-02-10 17:08:03,2457064.214,null
2015-08-05 16:47:18,2457240.200,null
2015-08-05 18:34:02,2457240.274,null
2015-08-30 10:45:02,2457264.948,null
2015-08-30 12:31:11,2457265.022,null
2015-12-31 16:48:09,2457388.200,null
2015-12-31 18:34:55,2457388.274,null
2016-01-31 00:14:07,2457418.510,null
2016-02-20 16:28:10,2457439.186,null
2016-05-28 01:04:56,2457536.545,null
2016-05-28 02:51:05,2457536.619,null
2016-05-28 07:04:49,2457536.795,null
2016-05-28 08:51:34,2457536.869,null
2016-06-05 13:10:43,2457545.049,null
2016-06-05 14:56:52,2457545.123,null
2016-06-05 19:10:36,2457545.299,null
2016-07-16 18:15:36,2457586.261,null
2016-07-16 20:01:45,2457586.335,null
2016-08-20 19:33:02,2457621.315,null
2016-08-20 23:46:46,2457621.491,null
2016-08-21 01:33:30,2457621.565,null
2016-09-08 05:52:54,2457639.745,null
2016-09-08 07:39:38,2457639.819,null
2016-09-08 11:53:23,2457639.995,null
2016-09-08 13:39:32,2457640.069,null
2017-01-10 11:59:39,2457764.000,null
2017-02-13 06:48:05,2457797.783,null
2017-02-13 08:34:50,2457797.858,null
2017-03-01 00:53:52,2457813.537,null
2017-03-01 02:40:37,2457813.612,null
2017-06-05 15:24:34,2457910.142,null
2017-06-21 09:28:49,2457925.895,null
2017-06-21 11:15:34,2457925.969,null
2017-07-28 02:46:28,2457962.616,null
2017-07-28 04:32:37,2457962.689,null
2017-09-09 22:01:38,2458006.418,17.61
2017-09-10 02:15:17,2458006.594,17.64
2017-09-10 04:02:06,2458006.668,null
2017-09-10 08:15:30,2458006.844,17.59
2017-09-10 10:02:04,2458006.918,17.8
2017-09-10 14:15:43,2458007.094,17.69
2017-09-10 16:02:28,2458007.168,null
2017-09-10 20:15:56,2458007.344,17.43
2017-09-11 14:16:34,2458008.095,null
2017-09-12 02:17:00,2458008.595,null
2017-09-12 08:17:12,2458008.845,null
2017-09-12 14:17:25,2458009.095,18.01
2017-09-12 20:17:38,2458009.346,18.11
2017-09-13 02:17:51,2458009.596,18.09
2017-09-13 04:04:24,2458009.670,18.25
2017-09-13 08:18:03,2458009.846,18.22
2017-09-13 10:04:37,2458009.920,18.34
2017-09-13 14:18:16,2458010.096,18.4
2017-09-13 16:04:50,2458010.170,18.49
2017-09-13 20:18:29,2458010.346,18.61
2017-09-13 22:05:03,2458010.420,18.66
2017-09-14 02:18:42,2458010.596,18.84
2017-09-14 04:05:16,2458010.670,18.88
2017-09-14 08:18:55,2458010.846,19.08
2017-09-14 10:05:29,2458010.920,19.11
2017-09-14 14:19:09,2458011.097,19.41
2017-09-14 16:05:43,2458011.171,19.36
2017-09-14 22:05:56,2458011.421,19.68

