Gaia17cnd
#Date,JD,averagemag.
2015-05-30 11:16:14,2457172.970,null
2015-06-20 17:16:24,2457194.220,null
2015-06-20 19:03:09,2457194.294,null
2015-11-03 05:57:19,2457329.748,null
2015-11-03 07:44:05,2457329.822,null
2015-12-04 23:33:44,2457361.482,null
2015-12-05 01:19:54,2457361.555,null
2015-12-22 07:25:39,2457378.809,null
2015-12-22 11:39:25,2457378.986,null
2016-05-09 06:48:56,2457517.784,null
2016-06-15 00:13:40,2457554.509,null
2016-06-15 02:00:25,2457554.584,null
2016-06-15 06:14:08,2457554.760,null
2016-06-28 06:21:12,2457567.765,null
2016-06-28 08:07:22,2457567.838,null
2016-09-29 21:19:59,2457661.389,null
2016-09-30 03:20:31,2457661.639,null
2016-09-30 07:34:17,2457661.815,null
2016-09-30 09:20:28,2457661.889,null
2016-09-30 13:34:14,2457662.065,null
2016-09-30 15:20:59,2457662.140,null
2016-09-30 19:34:45,2457662.316,null
2016-09-30 21:21:31,2457662.390,null
2016-10-01 01:34:42,2457662.566,null
2016-10-01 03:21:27,2457662.640,null
2016-10-01 07:35:13,2457662.816,null
2016-10-01 09:21:59,2457662.890,null
2016-10-01 13:35:45,2457663.066,null
2016-10-01 15:21:55,2457663.140,null
2016-10-01 19:35:41,2457663.316,null
2016-10-01 21:22:27,2457663.391,null
2016-10-02 01:36:13,2457663.567,null
2016-10-02 03:22:23,2457663.641,null
2016-10-02 09:22:55,2457663.891,null
2016-11-12 19:09:03,2457705.298,null
2016-11-12 20:55:14,2457705.372,null
2016-12-19 12:33:11,2457742.023,null
2016-12-19 14:19:57,2457742.097,null
2016-12-28 20:27:13,2457751.352,null
2016-12-29 00:40:59,2457751.528,null
2017-03-31 09:54:01,2457843.913,null
2017-03-31 11:40:11,2457843.986,null
2017-04-14 09:59:25,2457857.916,null
2017-04-14 11:45:34,2457857.990,null
2017-05-20 03:19:53,2457893.639,null
2017-05-20 05:06:37,2457893.713,null
2017-10-04 17:42:50,2458031.238,17.41
2017-10-04 21:56:31,2458031.414,17.35

