Gaia17cob
#Date,JD,averagemag.
2014-11-03 18:37:23,2456965.276,null
2015-01-09 11:53:29,2457031.995,null
2015-03-14 12:31:37,2457096.022,null
2015-04-04 22:41:11,2457117.445,null
2015-04-05 00:27:56,2457117.519,null
2015-05-14 15:35:15,2457157.149,null
2015-05-14 17:22:00,2457157.224,null
2015-06-04 23:20:35,2457178.473,null
2015-07-13 14:44:27,2457217.114,null
2015-08-10 22:19:37,2457245.430,null
2015-09-13 03:58:52,2457278.666,null
2015-10-19 07:51:00,2457314.827,null
2015-10-19 09:37:45,2457314.901,null
2015-11-17 07:44:13,2457343.822,null
2015-11-17 09:30:58,2457343.897,null
2015-12-22 03:06:12,2457378.629,null
2016-01-22 18:54:02,2457410.288,null
2016-01-22 20:40:47,2457410.362,null
2016-02-18 06:39:14,2457436.777,null
2016-02-18 08:25:59,2457436.851,null
2016-03-26 05:44:04,2457473.739,null
2016-03-26 07:30:49,2457473.813,null
2016-04-15 23:41:25,2457494.487,null
2016-04-16 01:28:10,2457494.561,null
2016-05-25 22:36:22,2457534.442,null
2016-06-17 04:34:15,2457556.690,null
2016-06-17 06:21:00,2457556.765,null
2016-07-24 21:50:01,2457594.410,null
2016-07-24 23:36:12,2457594.483,null
2016-08-24 03:36:06,2457624.650,null
2016-09-25 03:20:48,2457656.639,null
2016-09-25 05:07:33,2457656.714,null
2016-10-31 22:44:45,2457693.448,null
2016-11-29 22:36:28,2457722.442,null
2016-11-30 02:49:38,2457722.618,null
2017-01-02 08:26:18,2457755.852,null
2017-01-02 10:13:03,2457755.926,null
2017-02-03 21:40:50,2457788.403,null
2017-02-04 01:54:34,2457788.580,null
2017-02-28 22:51:14,2457813.452,null
2017-04-07 20:05:08,2457851.337,null
2017-04-07 21:51:53,2457851.411,null
2017-04-28 02:04:01,2457871.586,null
2017-04-28 03:50:46,2457871.660,null
2017-08-06 12:18:57,2457972.013,null
2017-09-07 06:02:46,2458003.752,null
2017-09-07 07:48:57,2458003.826,null
2017-10-08 05:50:56,2458034.744,17.97
2017-10-08 07:37:30,2458034.818,17.99
2017-11-14 07:14:02,2458071.801,19.61

