Gaia17dgr
#Date,JD(TCB),averagemag
2014-08-29 14:22:22,2456899.09887,null
2014-12-31 01:25:28,2457022.55935,null
2014-12-31 03:12:12,2457022.63347,null
2015-01-23 13:15:06,2457046.05215,null
2015-02-19 18:57:06,2457073.28965,null
2015-02-19 20:43:51,2457073.36378,null
2015-06-29 13:15:12,2457203.05222,null
2015-06-29 15:01:57,2457203.12635,null
2015-07-27 07:10:05,2457230.79867,null
2015-08-22 13:04:46,2457257.04498,null
2016-01-10 02:31:09,2457397.60497,null
2016-01-10 04:17:53,2457397.67909,null
2016-02-07 02:09:50,2457425.59016,null
2016-02-29 20:05:12,2457448.33694,null
2016-02-29 21:51:57,2457448.41108,null
2016-07-09 14:26:37,2457579.10182,null
2016-07-09 16:13:23,2457579.17596,null
2016-08-10 09:55:55,2457610.91383,null
2016-08-31 15:58:28,2457632.16560,null
2017-01-19 11:25:08,2457772.97579,null
2017-02-21 10:29:28,2457805.93713,null
2017-02-21 12:16:12,2457806.01125,null
2017-03-10 04:34:49,2457822.69084,null
2017-03-10 06:21:34,2457822.76498,null
2017-07-20 18:47:44,2457955.28315,null
2017-08-25 16:30:20,2457991.18773,null
2017-08-25 18:17:06,2457991.26188,null
2017-09-09 22:38:36,2458006.44347,null
2017-09-10 00:25:22,2458006.51762,null
2017-09-10 04:38:33,2458006.69344,null
2017-12-13 06:49:19,2458100.78425,17.19
2017-12-13 08:35:53,2458100.85825,17.19
2017-12-25 18:54:31,2458113.28786,17.32
2017-12-25 20:41:05,2458113.36186,17.35
2018-01-30 00:08:44,2458148.50606,17.90
2018-01-30 01:55:38,2458148.58030,null
2018-06-10 06:24:40,2458279.76713,19.37
2018-06-10 08:11:15,2458279.84115,19.39
2018-06-10 12:24:56,2458280.01731,19.49
2018-06-25 00:35:11,2458294.52443,19.63
2018-06-25 02:21:46,2458294.59845,19.69
2018-06-25 06:35:45,2458294.77483,null
2018-08-01 00:13:02,2458331.50905,null
2018-09-11 11:30:59,2458372.97985,null
2018-09-11 13:17:45,2458373.05399,null
2018-09-11 17:31:31,2458373.23022,null
2018-09-11 19:17:41,2458373.30395,null
2018-09-16 19:22:54,2458378.30757,null
2018-09-16 23:36:40,2458378.48380,null
2018-09-17 01:22:50,2458378.55752,null
2018-09-17 05:36:36,2458378.73375,null
2018-09-17 07:23:22,2458378.80789,null
2018-12-21 19:50:12,2458474.32653,null
2018-12-21 21:36:56,2458474.40065,null
2019-01-09 09:35:29,2458492.89964,null
2019-01-09 13:49:13,2458493.07584,null
2019-02-09 13:17:08,2458524.05356,null
2019-02-09 15:03:53,2458524.12770,null
2019-06-19 07:33:19,2458653.81480,null
2019-06-19 09:19:30,2458653.88854,null
2019-07-11 19:38:24,2458676.31833,null
2019-07-11 21:25:09,2458676.39247,null
2019-08-14 06:08:50,2458709.75613,null
2019-08-14 10:22:02,2458709.93197,null

