Gaia17djc
#Date,JD(TCB),averagemag
2014-08-21 10:46:42,2456890.94910,null
2014-08-21 15:00:28,2456891.12532,null
2014-08-21 16:46:39,2456891.19906,null
2014-08-21 21:00:25,2456891.37529,null
2014-08-21 22:47:10,2456891.44942,null
2014-08-22 03:00:56,2456891.62565,null
2015-01-20 12:26:53,2457043.01867,null
2015-01-20 14:13:37,2457043.09279,null
2015-02-08 06:25:53,2457061.76797,null
2015-02-08 08:12:38,2457061.84211,null
2015-05-15 22:27:00,2457158.43542,null
2015-05-16 02:40:46,2457158.61164,null
2015-05-16 04:26:56,2457158.68537,null
2015-05-16 08:40:42,2457158.86160,null
2015-05-16 10:27:27,2457158.93573,null
2015-05-16 14:41:13,2457159.11196,null
2015-05-21 02:45:23,2457163.61485,null
2015-05-21 08:45:20,2457163.86481,null
2015-05-21 10:32:05,2457163.93895,null
2015-05-21 14:45:51,2457164.11517,null
2015-05-21 16:32:37,2457164.18932,null
2015-07-02 14:04:14,2457206.08627,null
2015-07-02 15:50:59,2457206.16041,null
2015-08-08 07:41:30,2457242.82049,null
2015-08-08 09:28:15,2457242.89462,null
2015-08-23 01:52:06,2457257.57785,null
2015-08-23 03:38:52,2457257.65199,null
2015-08-23 07:52:03,2457257.82781,null
2015-12-31 02:06:39,2457387.58795,null
2015-12-31 03:53:23,2457387.66207,null
2016-02-04 03:07:55,2457422.63050,null
2016-02-04 07:21:39,2457422.80670,null
2016-02-16 19:26:36,2457435.31014,null
2016-02-16 21:12:46,2457435.38387,null
2016-05-22 05:25:00,2457530.72569,null
2016-05-22 09:38:46,2457530.90192,null
2016-06-06 11:33:15,2457545.98142,null
2016-07-12 21:16:18,2457582.38632,null
2016-11-21 03:41:10,2457713.65359,null
2016-11-21 05:27:55,2457713.72772,null
2016-11-21 09:41:39,2457713.90392,null
2016-11-21 11:27:48,2457713.97764,null
2016-12-07 15:46:39,2457730.15740,null
2016-12-07 17:33:24,2457730.23153,null
2017-01-09 15:14:55,2457763.13536,null
2017-05-31 18:05:03,2457905.25351,null
2017-06-22 00:08:09,2457926.50566,null
2017-06-22 01:54:55,2457926.57980,null
2017-07-23 23:50:03,2457958.49309,null
2017-07-24 01:36:48,2457958.56722,null
2017-11-30 07:56:50,2458087.83113,18.60
2017-12-23 00:06:06,2458110.50424,18.78
2017-12-23 01:52:40,2458110.57824,18.82
2018-01-19 23:44:20,2458138.48912,19.06
2018-06-11 01:12:28,2458280.55032,null
2018-07-07 07:07:08,2458306.79662,null
2018-07-07 08:53:54,2458306.87076,null
2018-08-04 01:02:02,2458334.54308,null
2019-01-06 13:01:34,2458490.04275,null
2019-01-30 00:50:35,2458513.53513,null
2019-06-21 20:22:12,2458656.34875,null
2019-08-03 00:15:12,2458698.51056,null
2019-08-03 04:28:24,2458698.68639,null

