Gaia17dkw
#Date,JD,averagemag.
2014-08-27 21:56:27,2456897.414,null
2015-01-01 07:36:43,2457023.817,null
2015-01-01 09:23:28,2457023.891,null
2015-01-25 15:10:41,2457048.132,null
2015-02-22 07:07:52,2457075.797,null
2015-02-22 08:54:02,2457075.871,null
2015-06-26 08:52:06,2457199.870,null
2015-06-26 13:05:52,2457200.046,null
2015-07-25 06:59:01,2457228.791,null
2015-07-25 08:45:47,2457228.865,null
2015-08-20 14:38:59,2457255.110,null
2015-08-20 18:52:45,2457255.287,null
2016-01-11 14:42:24,2457399.113,null
2016-01-11 16:29:08,2457399.187,null
2016-02-09 02:20:37,2457427.598,null
2016-02-09 04:06:46,2457427.671,null
2016-03-03 20:16:29,2457451.345,null
2016-03-03 22:03:13,2457451.419,null
2016-07-06 20:17:41,2457576.346,null
2016-07-06 22:03:52,2457576.419,null
2016-08-08 07:58:30,2457608.832,null
2016-08-08 09:45:15,2457608.906,null
2016-08-30 03:45:42,2457630.657,null
2016-08-30 07:59:28,2457630.833,null
2016-12-04 10:40:27,2457726.945,null
2016-12-04 12:27:11,2457727.019,null
2016-12-04 16:40:56,2457727.195,null
2016-12-04 18:27:05,2457727.269,null
2016-12-14 06:33:01,2457736.773,null
2016-12-14 10:46:10,2457736.949,null
2016-12-14 12:32:55,2457737.023,null
2017-01-21 03:49:03,2457774.659,null
2017-01-21 05:35:48,2457774.733,null
2017-02-23 12:28:23,2457808.020,null
2017-02-23 16:42:07,2457808.196,null
2017-03-13 22:47:41,2457826.450,null
2017-03-14 00:33:50,2457826.523,null
2017-05-29 18:53:41,2457903.287,null
2017-05-30 00:53:37,2457903.537,null
2017-05-30 05:07:23,2457903.713,null
2017-05-30 06:54:08,2457903.788,null
2017-05-30 11:07:54,2457903.964,null
2017-05-30 12:54:39,2457904.038,null
2017-05-30 17:07:50,2457904.214,null
2017-05-30 18:54:35,2457904.288,null
2017-05-30 23:08:21,2457904.464,null
2017-05-31 00:55:06,2457904.538,null
2017-05-31 05:08:52,2457904.714,null
2017-05-31 06:55:02,2457904.788,null
2017-05-31 11:08:48,2457904.964,null
2017-05-31 12:55:33,2457905.039,null
2017-05-31 17:09:19,2457905.215,null
2017-05-31 18:55:29,2457905.289,null
2017-05-31 23:09:15,2457905.465,null
2017-06-01 00:56:00,2457905.539,null
2017-06-01 05:09:46,2457905.715,null
2017-06-01 06:55:56,2457905.789,null
2017-06-01 11:09:42,2457905.965,null
2017-06-01 12:56:27,2457906.039,null
2017-06-01 17:10:13,2457906.215,null
2017-06-01 18:56:58,2457906.290,null
2017-06-01 23:10:09,2457906.465,null
2017-06-02 00:56:54,2457906.540,null
2017-06-02 05:10:40,2457906.716,null
2017-06-02 06:57:26,2457906.790,null
2017-06-02 11:10:36,2457906.966,null
2017-06-02 12:57:22,2457907.040,null
2017-06-02 18:57:53,2457907.290,null
2017-07-18 06:38:00,2457952.776,null
2017-07-18 10:51:47,2457952.953,null
2017-08-23 04:19:36,2457988.680,null
2017-08-23 06:05:47,2457988.754,null
2017-09-09 04:25:34,2458005.684,null
2017-09-09 06:12:20,2458005.759,null
2017-12-13 07:01:09,2458100.792,null
2017-12-13 08:47:18,2458100.866,null
2017-12-28 19:03:13,2458116.294,18.82
2017-12-28 20:49:46,2458116.368,18.86

