Gaia17dkz
#Date,JD(TCB),averagemag
2014-08-10 17:16:00,2456880.21944,null
2014-08-10 23:16:29,2456880.46978,null
2014-08-11 01:03:13,2456880.54390,null
2014-08-11 05:16:57,2456880.72010,null
2014-08-11 07:03:07,2456880.79383,null
2014-08-11 13:03:35,2456881.04416,null
2015-01-27 15:50:14,2457050.15988,null
2015-01-27 17:36:25,2457050.23362,null
2015-02-06 15:58:33,2457060.16566,null
2015-02-06 17:44:43,2457060.23939,null
2015-02-06 21:58:29,2457060.41561,null
2015-05-18 19:16:15,2457161.30295,null
2015-05-18 23:29:59,2457161.47916,null
2015-05-19 01:16:08,2457161.55287,null
2015-06-26 22:50:48,2457200.45194,null
2015-06-27 00:36:58,2457200.52567,null
2015-08-08 23:54:57,2457243.49649,null
2015-08-09 05:54:51,2457243.74642,null
2015-08-09 10:08:35,2457243.92263,null
2015-08-09 11:55:19,2457243.99675,null
2015-08-09 16:09:03,2457244.17295,null
2015-08-09 17:55:13,2457244.24668,null
2015-08-09 22:08:56,2457244.42287,null
2015-08-09 23:55:41,2457244.49700,null
2015-08-10 04:09:25,2457244.67321,null
2015-08-10 05:55:34,2457244.74692,null
2015-08-10 10:09:18,2457244.92313,null
2015-08-10 11:56:03,2457244.99726,null
2015-08-10 16:09:47,2457245.17346,null
2015-08-10 17:55:56,2457245.24718,null
2015-08-10 22:09:40,2457245.42338,null
2015-08-10 23:56:25,2457245.49751,null
2015-08-11 05:56:53,2457245.74784,null
2015-11-15 01:37:21,2457341.56760,null
2015-11-15 05:51:07,2457341.74383,null
2015-11-29 17:59:09,2457356.24941,null
2015-11-29 19:45:54,2457356.32354,null
2016-01-02 01:18:33,2457389.55455,null
2016-05-16 00:25:24,2457524.51764,null
2016-05-16 02:11:34,2457524.59137,null
2016-06-04 00:27:49,2457543.51932,null
2016-06-04 02:14:33,2457543.59344,null
2016-07-06 23:59:23,2457576.49957,null
2016-07-07 01:46:07,2457576.57369,null
2016-11-22 18:56:36,2457715.28931,null
2016-11-22 20:43:22,2457715.36345,null
2016-12-13 18:58:17,2457736.29047,null
2016-12-13 20:45:02,2457736.36461,null
2017-01-11 08:29:09,2457764.85358,null
2017-05-25 16:40:24,2457899.19472,null
2017-06-19 16:32:13,2457924.18904,null
2017-06-19 20:45:56,2457924.36523,null
2017-07-17 20:29:48,2457952.35403,null
2017-07-17 22:16:33,2457952.42816,null
2017-12-02 11:14:10,2458089.96817,19.11
2017-12-28 09:19:00,2458115.88819,18.13
2018-01-21 09:15:09,2458139.88552,18.91
2018-06-05 05:48:11,2458274.74179,null
2018-07-05 05:27:35,2458304.72749,null
2018-07-28 03:37:08,2458327.65079,null
2018-07-28 05:23:18,2458327.72451,null
2018-12-12 16:38:20,2458465.19329,null
2019-01-11 22:17:27,2458495.42878,null
2019-01-12 00:04:13,2458495.50293,null
2019-01-30 12:09:48,2458514.00681,null
2019-01-30 16:23:34,2458514.18303,null
2019-06-16 05:10:40,2458650.71574,null
2019-06-16 06:56:49,2458650.78946,null
2019-08-03 12:55:52,2458699.03880,null
2019-08-03 14:42:37,2458699.11293,null

