Gaia18abq
#Date,JD(TCB),averagemag
2014-08-23 16:29:19,2456893.18703,null
2014-08-23 18:16:04,2456893.26116,null
2014-11-09 11:59:10,2456970.99942,null
2015-01-03 18:55:44,2457026.28870,null
2015-02-01 04:53:37,2457054.70390,null
2015-02-01 06:40:22,2457054.77803,null
2015-03-03 04:41:01,2457084.69515,null
2015-03-03 06:27:46,2457084.76928,null
2015-04-11 18:04:20,2457124.25301,null
2015-04-11 22:18:05,2457124.42922,null
2015-06-16 03:53:50,2457189.66238,null
2015-06-16 05:40:00,2457189.73611,null
2015-07-20 15:25:11,2457224.14249,null
2015-07-20 17:11:21,2457224.21622,null
2015-08-15 09:15:09,2457249.88552,null
2015-08-15 11:01:19,2457249.95925,null
2015-09-24 03:57:00,2457289.66458,null
2015-10-12 02:12:13,2457307.59182,null
2015-10-12 03:58:23,2457307.66554,null
2015-11-20 19:00:12,2457347.29181,null
2015-11-20 20:46:57,2457347.36594,null
2015-12-11 14:43:54,2457368.11382,null
2016-01-15 08:02:16,2457402.83491,null
2016-02-15 01:43:51,2457433.57212,null
2016-03-15 01:36:31,2457462.56703,null
2016-04-24 17:26:35,2457503.22679,null
2016-04-24 19:13:20,2457503.30093,null
2016-05-23 17:22:34,2457532.22400,null
2016-05-23 19:09:19,2457532.29814,null
2016-06-27 18:47:09,2457567.28274,null
2016-08-02 16:24:08,2457603.18343,null
2016-10-05 10:54:50,2457666.95475,null
2016-10-05 15:08:35,2457667.13096,null
2016-10-23 03:10:21,2457684.63219,null
2016-10-23 04:57:06,2457684.70632,null
2016-12-01 02:02:30,2457723.58507,null
2016-12-01 03:48:40,2457723.65880,null
2016-12-23 13:56:46,2457746.08109,null
2016-12-23 15:43:31,2457746.15522,null
2017-01-26 01:22:33,2457779.55733,null
2017-01-26 03:09:18,2457779.63146,null
2017-02-28 04:11:10,2457812.67442,null
2017-03-28 08:21:39,2457840.84837,null
2017-03-28 10:07:49,2457840.92209,null
2017-05-08 07:57:50,2457881.83183,null
2017-05-08 09:44:35,2457881.90596,null
2017-07-10 07:29:47,2457944.81235,null
2017-07-10 09:15:57,2457944.88608,null
2017-08-16 06:45:35,2457981.78166,null
2017-08-16 08:31:45,2457981.85538,null
2017-09-07 00:41:28,2458003.52880,null
2017-09-07 02:28:13,2458003.60293,null
2017-10-17 11:28:59,2458043.97846,null
2017-10-17 13:15:44,2458044.05259,null
2017-11-04 05:30:53,2458061.72978,null
2017-11-04 07:17:39,2458061.80392,null
2017-12-12 10:28:18,2458099.93632,null
2018-01-05 16:19:14,2458124.18002,18.66
2018-01-05 18:05:48,2458124.25403,18.94
2018-02-06 21:52:58,2458156.41178,null
2018-02-06 23:39:08,2458156.48551,null
2018-03-14 11:17:11,2458191.97027,null
2018-04-11 03:30:21,2458219.64608,null
2018-04-11 05:17:06,2458219.72021,null
2018-05-21 15:06:46,2458260.12970,null
2018-05-21 16:52:56,2458260.20343,null
2018-06-22 04:38:36,2458291.69347,null
2018-06-22 08:52:21,2458291.86969,null
2018-07-22 14:35:15,2458322.10781,null
2018-07-22 16:21:59,2458322.18193,null
2018-08-29 15:29:59,2458360.14582,null
2018-09-18 19:42:13,2458380.32098,null
2018-09-18 21:28:58,2458380.39512,null
2018-10-29 06:28:27,2458420.76976,null
2018-11-16 14:15:25,2458439.09404,null
2018-12-23 17:32:31,2458476.23091,null
2019-01-18 23:20:42,2458502.47271,null
2019-01-19 01:06:52,2458502.54644,null
2019-02-19 00:47:46,2458533.53317,null
2019-02-19 05:01:32,2458533.70940,null
2019-03-28 22:38:30,2458571.44340,null
2019-03-29 00:24:41,2458571.51714,null
2019-04-25 12:24:52,2458599.01727,null
2019-04-25 16:38:37,2458599.19348,null
2019-06-03 16:14:30,2458638.17674,null
2019-06-03 18:01:15,2458638.25087,null
2019-07-06 15:53:16,2458671.16199,19.16
2019-07-06 17:40:18,2458671.23632,null
2019-07-22 13:24:22,2458687.05859,null
2019-07-22 17:37:31,2458687.23439,null
2019-10-02 08:32:34,2458758.85595,null
2019-10-02 10:19:19,2458758.93008,null
2019-10-29 15:24:48,2458786.14222,null
2019-10-29 17:10:58,2458786.21595,null
2019-12-06 00:47:44,2458823.53315,null
2019-12-06 05:00:54,2458823.70896,null
2020-02-01 07:28:00,2458880.81111,null
2020-02-01 09:14:45,2458880.88524,null
2020-03-09 15:39:40,2458918.15255,null
2020-03-09 17:25:50,2458918.22627,null
2020-03-28 04:13:53,2458936.67631,19.93
2020-03-28 06:00:27,2458936.75031,19.97

