Gaia18ahe
#Date,JD(TCB),averagemag
2015-02-17 22:20:47,2457071.43110,null
2015-02-18 02:33:58,2457071.60692,null
2015-04-13 08:18:11,2457125.84596,null
2015-04-13 10:04:56,2457125.92009,null
2015-05-27 01:15:26,2457169.55238,null
2015-05-27 07:15:57,2457169.80274,null
2015-05-27 09:02:07,2457169.87647,null
2015-05-27 13:15:52,2457170.05269,null
2015-05-27 15:02:38,2457170.12683,null
2015-06-01 03:06:37,2457174.62959,null
2015-06-01 07:20:22,2457174.80581,null
2015-06-01 09:07:07,2457174.87994,null
2015-06-01 13:20:53,2457175.05617,null
2015-07-24 05:35:14,2457227.73280,null
2015-07-24 07:21:23,2457227.80652,null
2015-07-24 11:35:08,2457227.98273,null
2015-07-24 13:21:53,2457228.05686,null
2015-07-24 17:35:37,2457228.23307,null
2015-07-24 19:21:47,2457228.30679,null
2015-07-29 07:25:53,2457232.80964,null
2015-07-29 11:39:02,2457232.98544,null
2015-07-29 13:25:47,2457233.05957,null
2015-07-29 17:39:32,2457233.23579,null
2015-09-11 16:29:12,2457277.18694,null
2015-09-11 18:15:56,2457277.26106,null
2015-10-09 11:58:22,2457304.99887,null
2015-10-09 16:12:05,2457305.17506,null
2015-11-05 11:48:56,2457331.99231,null
2015-11-05 16:02:40,2457332.16852,null
2016-02-29 03:45:05,2457447.65631,null
2016-03-30 05:16:22,2457477.71970,null
2016-04-23 05:12:06,2457501.71674,null
2016-08-01 06:29:10,2457601.77025,null
2016-08-01 08:15:19,2457601.84397,null
2016-08-12 18:35:01,2457613.27432,null
2016-08-12 20:21:46,2457613.34845,null
2016-09-21 19:21:54,2457653.30688,null
2016-10-23 12:57:21,2457685.03983,null
2016-10-23 17:11:05,2457685.21603,null
2016-11-15 11:11:58,2457707.96664,null
2016-11-15 12:58:07,2457708.04036,null
2016-11-15 17:11:51,2457708.21656,null
2016-11-15 18:58:36,2457708.29069,null
2017-01-19 06:57:00,2457772.78958,null
2017-01-19 11:10:46,2457772.96581,null
2017-01-19 12:56:56,2457773.03954,null
2017-01-19 17:10:42,2457773.21576,null
2017-01-19 18:57:27,2457773.28990,null
2017-01-19 23:11:12,2457773.46611,null
2017-01-20 00:57:22,2457773.53984,null
2017-01-20 05:11:08,2457773.71606,null
2017-01-20 06:57:53,2457773.79020,null
2017-01-20 11:11:39,2457773.96642,null
2017-01-20 12:58:24,2457774.04056,null
2017-01-20 17:11:34,2457774.21637,null
2017-01-20 23:12:05,2457774.46672,null
2017-01-24 05:15:15,2457777.71892,null
2017-01-24 11:15:11,2457777.96888,null
2017-01-24 13:01:56,2457778.04301,null
2017-01-24 17:15:42,2457778.21924,null
2017-01-24 19:02:27,2457778.29337,null
2017-01-24 23:15:37,2457778.46918,null
2017-01-25 01:02:23,2457778.54332,null
2017-01-25 05:16:08,2457778.71954,null
2017-01-25 07:02:53,2457778.79367,null
2017-01-25 11:16:39,2457778.96990,null
2017-01-25 13:02:49,2457779.04362,null
2017-01-25 17:16:35,2457779.21985,null
2017-01-25 19:03:20,2457779.29398,null
