Gaia18ajo
#Date,JD(TCB),averagemag
2015-02-23 08:49:22,2457076.86762,null
2015-04-16 04:23:56,2457128.68329,null
2015-04-16 08:37:42,2457128.85951,null
2015-09-09 04:11:03,2457274.67434,null
2015-09-09 05:57:13,2457274.74807,null
2015-10-06 05:41:41,2457301.73728,null
2015-10-31 15:45:30,2457327.15660,null
2016-03-04 16:00:20,2457452.16690,null
2016-04-02 15:46:58,2457481.15762,null
2016-04-25 15:46:21,2457504.15719,null
2016-10-20 10:51:06,2457681.95215,null
2016-10-20 12:37:50,2457682.02627,null
2016-11-09 04:53:18,2457701.70368,null
2016-11-09 06:40:02,2457701.77780,null
2017-03-15 06:34:11,2457827.77374,null
2017-03-15 08:20:56,2457827.84787,null
2017-04-17 12:08:19,2457861.00578,null
2017-04-17 13:54:29,2457861.07950,null
2017-05-05 06:13:49,2457878.75959,null
2017-05-05 08:00:35,2457878.83374,null
2017-08-12 02:31:37,2457977.60529,null
2017-08-12 04:18:21,2457977.67941,null
2017-08-12 08:32:05,2457977.85561,null
2017-08-12 10:18:50,2457977.92975,null
2017-08-21 10:24:16,2457986.93352,null
2017-08-21 14:38:00,2457987.10972,null
2017-08-21 16:24:44,2457987.18384,null
2017-11-06 02:59:58,2458063.62498,null
2017-11-06 07:13:42,2458063.80118,null
2017-11-06 09:00:27,2458063.87531,null
2017-11-16 19:20:14,2458074.30572,null
2017-11-16 21:06:59,2458074.37985,null
2017-11-17 01:20:43,2458074.55605,null
2017-11-17 03:06:53,2458074.62978,null
2018-02-06 21:49:44,2458156.40954,17.81
2018-02-07 02:03:25,2458156.58571,17.76
2018-02-07 03:50:00,2458156.65972,17.73
2018-02-07 08:03:52,2458156.83602,null
2018-02-07 09:50:38,2458156.91016,null
2018-02-15 08:11:02,2458164.84100,19.51
2018-02-15 09:57:37,2458164.91501,19.46
2018-02-15 14:11:18,2458165.09118,19.53
2018-02-15 15:57:53,2458165.16520,19.53
2018-03-26 01:45:46,2458203.57345,null
2018-03-26 03:31:57,2458203.64719,null
2018-05-03 01:07:03,2458241.54656,null
2018-05-03 02:53:48,2458241.62069,null
2018-05-13 19:15:39,2458252.30253,null
2018-05-13 21:01:49,2458252.37626,null
2018-05-14 01:15:35,2458252.55249,null
2018-08-20 09:30:43,2458350.89633,null
2018-08-20 11:17:28,2458350.97046,null
2018-09-06 11:20:19,2458367.97244,null
2018-09-06 15:34:03,2458368.14865,null
2018-10-10 14:57:11,2458402.12304,null
2018-10-10 16:43:20,2458402.19676,null
2019-02-13 22:55:14,2458528.45502,null
2019-02-14 03:09:00,2458528.63125,null
2019-03-04 21:16:35,2458547.38652,null
2019-03-04 23:02:46,2458547.46025,null
2019-04-05 20:56:12,2458579.37236,null
2019-04-05 22:42:58,2458579.44650,null
2019-08-18 20:39:09,2458714.36052,null
2019-08-18 22:25:54,2458714.43465,null
2019-09-07 21:09:15,2458734.38142,null
2019-09-07 22:56:00,2458734.45556,null

