Gaia18akh
#Date,JD(TCB),averagemag
2014-09-20 20:40:18,2456921.36132,untrusted
2015-02-18 23:36:38,2457072.48377,20.43
2015-02-19 01:23:11,2457072.55777,20.38
2015-03-15 01:21:34,2457096.55664,untrusted
2015-03-15 05:35:13,2457096.73279,20.38
2015-04-14 17:12:07,2457127.21675,20.30
2015-04-14 18:58:41,2457127.29075,20.39
2015-05-25 11:56:27,2457167.99753,null
2015-05-25 16:10:11,2457168.17374,null
2015-06-04 16:16:07,2457178.17786,null
2015-06-04 18:02:17,2457178.25159,null
2015-06-04 22:16:01,2457178.42779,null
2015-06-05 00:02:46,2457178.50192,null
2015-09-13 07:23:03,2457278.80767,null
2015-09-13 09:09:14,2457278.88141,null
2015-10-08 07:16:44,2457303.80329,untrusted
2015-10-08 09:03:37,2457303.87751,null
2015-11-06 14:50:34,2457333.11845,20.37
2015-11-06 19:04:15,2457333.29462,20.28
2016-03-01 00:46:17,2457448.53214,null
2016-03-01 02:32:29,2457448.60589,20.30
2016-03-29 00:33:20,2457476.52315,20.39
2016-04-24 18:18:01,2457503.26251,untrusted
2016-04-24 20:04:35,2457503.33652,20.45
2016-06-09 00:52:17,2457548.53631,20.34
2016-06-09 05:05:56,2457548.71245,20.25
2016-06-09 06:52:30,2457548.78646,untrusted
2016-06-09 11:06:10,2457548.96262,20.29
2016-06-09 12:52:44,2457549.03662,20.34
2016-06-09 17:06:23,2457549.21277,untrusted
2016-06-09 18:52:57,2457549.28677,untrusted
2016-06-09 23:06:37,2457549.46293,20.34
2016-06-10 00:53:11,2457549.53693,untrusted
2016-06-10 05:06:50,2457549.71308,20.30
2016-06-10 11:07:03,2457549.96323,20.35
2016-06-10 17:07:22,2457550.21345,null
2016-06-10 23:07:29,2457550.46353,20.29
2016-06-11 05:07:43,2457550.71369,untrusted
2016-06-11 06:54:30,2457550.78785,null
2016-06-11 11:07:56,2457550.96384,20.32
2016-06-11 12:54:30,2457551.03785,untrusted
2016-06-11 17:08:09,2457551.21399,null
2016-06-11 18:54:43,2457551.28800,20.33
2016-06-11 23:08:23,2457551.46416,untrusted
2016-06-12 00:54:57,2457551.53816,untrusted
2016-06-12 05:08:36,2457551.71431,20.39
2016-06-12 06:55:11,2457551.78832,20.32
2016-08-04 03:24:08,2457604.64176,null
2016-08-04 05:10:26,2457604.71558,20.40
2016-08-04 09:24:07,2457604.89175,20.35
2016-08-04 11:10:49,2457604.96584,null
2016-08-11 09:30:07,2457611.89591,20.37
2016-08-11 11:16:42,2457611.96993,20.41
2016-08-11 15:30:49,2457612.14640,null
2016-08-11 17:16:57,2457612.22010,20.43
2016-09-23 04:16:30,2457654.67813,20.38
2016-10-21 20:17:04,2457683.34519,20.30
2016-10-21 22:03:38,2457683.41919,null
2016-11-16 20:15:20,2457709.34398,20.28
2016-11-16 22:02:13,2457709.41821,null
2017-03-12 09:17:32,2457824.88718,20.37
2017-03-12 11:04:06,2457824.96118,20.32
2017-04-12 10:38:48,2457855.94361,20.42
2017-05-05 14:44:58,2457879.11456,untrusted
2017-05-05 16:31:32,2457879.18856,19.70
2017-08-13 11:42:40,2457978.98796,untrusted
2017-08-13 13:29:15,2457979.06198,20.27
2017-08-26 07:36:49,2457991.81723,20.37
2017-08-26 11:50:30,2457991.99340,20.34
2017-10-04 06:48:16,2458030.78352,null
2017-11-05 22:42:27,2458063.44615,null
2017-11-06 00:28:36,2458063.51986,20.20
