Gaia18ami
#Date,JD,averagemag.
2014-08-28 08:37:58,2456897.860,null
2014-08-28 12:51:43,2456898.036,null
2014-11-10 09:47:03,2456971.908,null
2014-11-10 11:33:48,2456971.982,null
2015-01-13 08:39:37,2457035.861,null
2015-01-31 22:26:35,2457054.435,null
2015-03-12 13:25:20,2457094.059,null
2015-03-12 15:12:05,2457094.133,null
2015-03-31 19:24:46,2457113.309,null
2015-05-08 14:15:37,2457151.094,null
2015-06-06 18:13:19,2457180.259,null
2015-06-06 20:00:04,2457180.333,null
2015-07-08 23:56:16,2457212.497,null
2015-07-09 01:43:01,2457212.572,null
2015-08-18 07:19:18,2457252.805,null
2015-08-18 11:33:03,2457252.981,null
2015-09-15 13:20:03,2457281.056,null
2015-10-22 18:58:00,2457318.290,null
2015-11-23 22:48:21,2457350.450,null
2015-11-24 00:35:07,2457350.524,null
2015-12-19 04:38:30,2457375.693,null
2015-12-19 06:25:16,2457375.768,null
2016-01-25 15:38:01,2457413.151,null
2016-01-25 17:24:46,2457413.226,null
2016-02-12 09:39:26,2457430.902,null
2016-02-12 11:25:36,2457430.976,null
2016-03-23 02:25:03,2457470.601,null
2016-04-12 20:22:34,2457491.349,null
2016-05-19 19:34:21,2457528.316,null
2016-06-20 07:15:38,2457559.803,null
2016-06-20 09:02:22,2457559.877,null
2016-07-21 07:05:09,2457590.795,null
2016-07-21 08:51:19,2457590.869,null
2016-08-31 14:28:20,2457632.103,null
2016-08-31 18:42:05,2457632.279,null
2016-09-29 06:40:50,2457660.778,null
2016-09-29 08:27:00,2457660.852,null
2016-11-03 00:19:50,2457695.514,null
2016-12-06 05:49:09,2457728.742,null
2016-12-06 07:35:19,2457728.816,null
2016-12-29 11:42:05,2457751.988,null
2016-12-29 13:28:51,2457752.062,null
2017-02-05 16:35:47,2457790.192,null
2017-02-05 18:22:32,2457790.266,null
2017-02-23 01:46:44,2457807.574,null
2017-04-26 04:42:59,2457869.697,null
2017-05-31 23:49:29,2457905.493,null
2017-07-04 23:28:12,2457939.478,null
2017-07-05 03:41:57,2457939.654,null
2017-08-03 21:36:20,2457969.400,null
2017-08-03 23:22:30,2457969.474,null
2017-09-14 10:59:59,2458010.958,null
2017-09-14 15:13:44,2458011.135,null
2017-10-13 15:08:36,2458040.131,null
2017-10-13 16:55:21,2458040.205,null
2017-11-14 20:49:42,2458072.368,null
2017-11-14 22:36:27,2458072.442,null
2017-12-19 08:11:04,2458106.841,null
2018-01-09 15:53:31,2458128.162,null
2018-02-17 12:56:11,2458167.039,18.13
2018-02-17 14:42:45,2458167.113,18.15
2018-03-07 00:57:40,2458184.540,18.66
2018-03-07 02:44:14,2458184.614,18.68
2018-04-15 05:50:27,2458223.743,18.96
2018-04-15 07:37:01,2458223.817,19.02
2018-05-09 19:28:07,2458248.311,19.28
2018-06-13 12:55:58,2458283.039,19.68
2018-07-20 00:33:05,2458319.523,20.25
2018-08-17 22:45:16,2458348.448,null
2018-08-18 00:31:30,2458348.522,20.05
2018-09-27 18:08:57,2458389.256,20.57

