Gaia18anx
#Date,JD(TCB),averagemag
2014-08-30 09:45:37,2456899.90668,null
2015-01-05 03:28:33,2457027.64483,null
2015-01-24 13:39:07,2457047.06883,null
2015-02-25 19:04:14,2457079.29461,null
2015-02-25 20:50:59,2457079.36874,null
2015-06-27 06:50:19,2457200.78494,null
2015-06-27 08:37:04,2457200.85907,null
2015-06-27 12:50:50,2457201.03530,null
2015-07-21 06:56:48,2457224.78944,null
2015-07-21 08:43:33,2457224.86358,null
2015-08-22 18:40:16,2457257.27796,null
2015-10-02 05:47:03,2457297.74101,null
2015-10-02 07:33:48,2457297.81514,null
2015-10-02 11:47:34,2457297.99137,null
2015-10-02 13:33:44,2457298.06509,null
2015-10-11 17:54:27,2457307.24615,null
2015-10-11 19:40:38,2457307.31988,null
2015-10-11 23:54:23,2457307.49610,null
2016-01-15 02:44:52,2457402.61449,null
2016-01-15 04:31:01,2457402.68821,null
2016-02-07 10:20:40,2457425.93102,null
2016-03-07 20:13:10,2457455.34248,null
2016-03-07 21:59:54,2457455.41660,null
2016-07-07 20:02:23,2457577.33499,null
2016-07-07 21:48:34,2457577.40873,null
2016-08-04 19:58:54,2457605.33257,null
2016-08-04 21:45:05,2457605.40631,null
2016-09-01 21:35:25,2457633.39959,null
2016-12-10 10:58:35,2457732.95735,null
2016-12-10 16:58:29,2457733.20728,null
2016-12-10 18:45:14,2457733.28141,null
2016-12-10 22:58:58,2457733.45762,null
2016-12-11 00:45:43,2457733.53175,null
2016-12-11 04:58:52,2457733.70755,null
2016-12-11 06:45:37,2457733.78168,null
2016-12-11 10:59:21,2457733.95788,null
2016-12-11 12:46:06,2457734.03201,null
2016-12-11 16:59:50,2457734.20822,null
2016-12-11 18:46:00,2457734.28194,null
2016-12-11 22:59:45,2457734.45816,null
2016-12-12 00:46:29,2457734.53228,null
2016-12-12 05:00:14,2457734.70850,null
2016-12-12 06:46:24,2457734.78222,null
2016-12-12 11:00:08,2457734.95843,null
2016-12-12 12:46:53,2457735.03256,null
2016-12-12 17:00:37,2457735.20876,null
2017-02-20 18:39:48,2457805.27764,null
2017-03-18 22:45:00,2457831.44792,null
2017-03-19 00:31:10,2457831.52164,null
2017-07-19 10:36:16,2457953.94185,null
2017-07-19 12:23:02,2457954.01600,null
2017-08-19 22:21:42,2457985.43174,null
2017-08-20 00:07:53,2457985.50547,null
2017-09-12 16:18:42,2458009.17965,null
2017-09-12 18:05:28,2458009.25380,null
2017-12-17 19:13:05,2458105.30075,null
2017-12-17 20:59:49,2458105.37487,null
2017-12-27 21:05:04,2458115.37852,null
2017-12-28 01:18:48,2458115.55472,null
2018-02-04 06:17:46,2458153.76234,null
2018-03-07 17:51:29,2458185.24409,18.86
2018-03-07 19:38:03,2458185.31809,18.86
2018-03-29 19:40:18,2458207.31965,19.61
2018-03-29 23:54:09,2458207.49594,null
2018-03-30 01:40:54,2458207.57007,null
2018-06-10 13:49:31,2458280.07605,null
2018-06-10 19:49:27,2458280.32601,null
2018-06-11 01:49:58,2458280.57637,null
2018-06-11 07:49:53,2458280.82631,null
2018-06-11 13:50:24,2458281.07667,null
2018-06-11 19:50:20,2458281.32662,null
2018-06-12 01:50:51,2458281.57698,null
2018-06-12 07:51:22,2458281.82734,null
2018-07-31 01:34:45,2458330.56580,null
2018-09-03 11:20:34,2458364.97262,null
2018-09-03 13:06:44,2458365.04634,null
2018-09-23 01:09:46,2458384.54845,null
2018-12-26 20:10:21,2458479.34052,null
2018-12-26 21:57:06,2458479.41465,null
2019-01-10 22:00:03,2458494.41670,null
2019-02-15 01:24:56,2458529.55898,null
2019-02-15 03:11:41,2458529.63311,null
2019-03-24 02:40:50,2458566.61169,null
2019-03-24 06:53:59,2458566.78749,null
2019-03-24 08:40:44,2458566.86162,null
2019-04-09 01:02:42,2458582.54354,null
2019-04-09 02:49:27,2458582.61767,null
2019-04-09 07:03:11,2458582.79388,null
2019-04-09 08:49:56,2458582.86801,null
2019-06-16 14:54:36,2458651.12125,null
2019-06-16 19:08:22,2458651.29748,null
2019-06-16 20:55:07,2458651.37161,null
2019-06-17 01:08:18,2458651.54743,null
2019-07-04 19:20:04,2458669.30560,null
2019-07-04 21:06:49,2458669.37973,null
2019-08-20 00:11:15,2458715.50781,null
2019-08-20 04:25:01,2458715.68404,null
2019-09-27 18:08:44,2458754.25606,null
2019-09-27 19:54:54,2458754.32979,null
2019-09-28 00:08:40,2458754.50602,null
2019-09-28 01:55:25,2458754.58015,null

