Gaia18apw
#Date,JD(TCB),averagemag
2015-01-12 06:17:13,2457034.76196,null
2015-01-12 08:03:58,2457034.83609,null
2015-02-09 23:56:38,2457063.49766,null
2015-03-20 16:52:01,2457102.20279,null
2015-03-20 18:38:46,2457102.27692,null
2015-04-02 04:57:39,2457114.70670,null
2015-04-02 06:44:24,2457114.78083,null
2015-05-18 23:04:25,2457161.46140,null
2015-05-19 03:18:10,2457161.63762,null
2015-05-19 05:04:55,2457161.71175,null
2015-05-28 21:25:12,2457171.39250,null
2015-05-28 23:11:57,2457171.46663,null
2015-07-10 22:05:49,2457214.42071,null
2015-08-07 02:11:24,2457241.59125,null
2015-08-07 03:57:35,2457241.66499,null
2015-09-06 09:47:54,2457271.90826,null
2015-10-28 07:46:16,2457323.82380,null
2015-10-28 09:32:26,2457323.89752,null
2015-10-28 13:46:12,2457324.07375,null
2015-10-28 15:32:57,2457324.14788,null
2015-10-28 19:46:42,2457324.32410,null
2015-10-28 21:33:27,2457324.39823,null
2015-10-29 03:33:22,2457324.64817,null
2015-11-07 21:41:45,2457334.40399,null
2015-11-08 01:55:30,2457334.58021,null
2015-11-08 03:41:40,2457334.65394,null
2015-11-08 07:55:25,2457334.83015,null
2015-11-08 09:42:10,2457334.90428,null
2015-11-08 13:55:55,2457335.08050,null
2015-11-08 15:42:05,2457335.15422,null
2015-11-08 19:55:50,2457335.33044,null
2015-12-28 13:33:46,2457385.06512,null
2015-12-28 15:20:30,2457385.13924,null
2016-01-26 09:02:23,2457413.87666,null
2016-02-20 19:01:43,2457439.29286,null
2016-02-20 20:47:53,2457439.36659,null
2016-04-02 01:33:23,2457480.56485,null
2016-04-02 05:47:08,2457480.74106,null
2016-04-11 11:53:01,2457489.99515,null
2016-04-11 13:39:46,2457490.06928,null
2016-05-28 12:01:39,2457537.00115,null
2016-05-28 16:14:49,2457537.17696,null
2016-06-10 22:22:13,2457550.43209,null
2016-07-21 09:27:08,2457590.89384,null
2016-07-21 11:13:53,2457590.96797,null
2016-08-21 03:13:24,2457621.63431,null
2016-08-21 04:59:35,2457621.70804,null
2016-09-17 09:12:58,2457648.88400,null
2016-09-17 10:59:08,2457648.95773,null
2016-11-11 02:59:43,2457703.62480,null
2016-11-11 04:45:53,2457703.69853,null
2016-11-11 08:59:37,2457703.87473,null
2016-11-11 10:46:22,2457703.94887,null
2016-11-11 15:00:07,2457704.12508,null
2016-11-11 16:46:52,2457704.19921,null
2016-11-25 16:56:21,2457718.20580,null
2016-11-25 21:10:06,2457718.38201,null
2016-11-25 22:56:51,2457718.45615,null
2016-11-26 03:10:35,2457718.63235,null
2017-01-07 20:42:13,2457761.36265,null
2017-01-07 22:28:58,2457761.43678,null
2017-02-08 08:12:17,2457792.84186,null
2017-03-02 09:27:28,2457814.89407,null
2017-03-02 11:14:13,2457814.96821,null
2017-04-15 03:50:36,2457858.66014,null
2017-04-15 08:04:21,2457858.83635,null
2017-04-15 09:51:06,2457858.91049,null
2017-04-21 20:09:39,2457865.34003,null
2017-04-21 21:55:48,2457865.41375,null
2017-06-08 02:23:02,2457912.59933,null
2017-06-25 00:42:17,2457929.52936,null
2017-08-02 01:44:50,2457967.57280,null
2017-09-05 17:39:45,2458002.23594,null
2017-09-05 19:26:31,2458002.31008,null
2017-09-29 11:46:51,2458025.99087,null
2017-09-29 13:33:37,2458026.06501,null
2017-11-23 17:33:32,2458081.23162,null
2017-11-23 19:19:42,2458081.30535,null
2017-11-23 23:33:27,2458081.48156,null
2017-11-24 01:20:12,2458081.55569,null
2017-12-13 01:28:01,2458100.56112,null
2017-12-13 05:41:45,2458100.73733,null
2017-12-13 07:28:30,2458100.81146,null
2018-03-12 22:28:52,2458190.43671,19.12
2018-03-13 00:15:26,2458190.51072,19.06
2018-04-27 10:44:56,2458235.94787,null
2018-04-27 14:58:41,2458236.12409,null
2018-04-27 16:44:47,2458236.19777,20.56
2018-04-27 20:58:36,2458236.37403,null
2018-05-02 21:02:45,2458241.37691,null
2018-05-02 22:49:30,2458241.45104,null
2018-05-03 03:03:15,2458241.62726,null
2018-05-03 04:50:01,2458241.70140,null
2018-06-18 21:24:34,2458288.39206,null
2018-07-09 07:40:14,2458308.81961,null
2018-08-13 20:55:12,2458344.37167,null
2018-09-22 06:47:26,2458383.78294,null
2018-09-22 08:33:36,2458383.85667,null
2018-10-11 14:45:03,2458403.11462,null
2018-10-11 18:58:48,2458403.29083,null
2018-10-11 20:44:58,2458403.36456,null
2018-12-05 18:43:54,2458458.28049,null
2018-12-05 20:30:04,2458458.35421,null
2018-12-28 20:32:25,2458481.35584,null
2019-01-30 06:19:30,2458513.76354,null
2019-03-07 11:26:05,2458549.97645,null
2019-03-07 13:12:15,2458550.05017,null
2019-03-23 05:28:28,2458565.72810,null
2019-03-23 07:15:13,2458565.80223,null
2019-05-08 17:38:38,2458612.23516,null
2019-05-08 21:52:23,2458612.41138,null
2019-05-08 23:39:08,2458612.48551,null
2019-05-15 15:57:51,2458619.16517,null
2019-05-15 17:44:36,2458619.23931,null
2019-05-15 21:58:21,2458619.41552,null
2019-05-15 23:44:31,2458619.48925,null
2019-06-29 22:28:28,2458664.43644,null
2019-08-03 11:00:25,2458698.95862,null
2019-09-10 13:05:21,2458737.04538,null
2019-09-10 14:51:31,2458737.11911,null
2019-09-26 09:18:15,2458752.88767,null
2019-09-26 13:32:00,2458753.06389,null

