Gaia18asl
#Date,JD,averagemag.
2015-02-21 05:44:38,2457074.739,null
2015-02-21 07:31:23,2457074.813,null
2015-03-16 17:42:27,2457098.238,null
2015-09-12 01:15:08,2457277.552,null
2015-10-07 07:09:10,2457302.798,null
2015-11-04 08:46:25,2457330.866,null
2015-11-04 12:59:36,2457331.041,null
2016-03-03 00:53:46,2457450.537,null
2016-03-30 14:25:46,2457478.101,null
2016-09-21 20:23:39,2457653.350,null
2016-10-21 02:09:19,2457682.590,null
2016-10-21 03:56:04,2457682.664,null
2016-11-14 02:10:56,2457706.591,null
2016-11-14 03:57:06,2457706.665,null
2017-03-13 21:25:01,2457826.392,null
2017-03-13 23:11:45,2457826.466,null
2017-04-14 04:44:07,2457857.697,null
2017-05-05 20:52:54,2457879.370,null
2017-05-05 22:39:39,2457879.444,null
2017-08-13 17:34:25,2457979.232,null
2017-08-13 19:21:10,2457979.306,null
2017-08-13 23:34:56,2457979.483,null
2017-08-23 23:42:22,2457989.488,null
2017-08-24 01:29:07,2457989.562,null
2017-10-02 16:55:38,2458029.205,null
2017-10-02 18:41:49,2458029.279,null
2017-11-05 12:20:33,2458063.014,null
2017-11-05 16:34:20,2458063.191,null
2017-11-24 00:30:09,2458081.521,null
2017-11-24 04:43:54,2458081.697,null
2017-11-24 06:30:05,2458081.771,null
2018-02-05 23:01:16,2458155.459,null
2018-02-06 05:01:45,2458155.710,null
2018-02-06 06:47:54,2458155.783,null
2018-02-06 11:01:39,2458155.959,null
2018-02-06 12:48:23,2458156.034,null
2018-02-06 17:02:08,2458156.210,null
2018-02-06 18:48:17,2458156.284,null
2018-02-06 23:02:02,2458156.460,null
2018-02-07 00:48:46,2458156.534,null
2018-02-07 05:02:31,2458156.710,null
2018-02-07 06:48:40,2458156.784,null
2018-02-07 11:02:24,2458156.960,null
2018-02-07 12:49:09,2458157.034,null
2018-02-07 17:02:53,2458157.210,null
2018-02-07 18:49:38,2458157.284,null
2018-02-07 23:02:47,2458157.460,null
2018-02-08 00:49:32,2458157.534,null
2018-02-08 05:03:16,2458157.711,null
2018-02-08 06:50:01,2458157.785,null
2018-02-08 11:03:45,2458157.961,null
2018-02-08 12:49:55,2458158.035,null
2018-02-08 17:03:39,2458158.211,null
2018-02-08 18:50:24,2458158.285,null
2018-02-08 23:04:08,2458158.461,null
2018-02-09 05:04:02,2458158.711,null
2018-03-24 22:33:24,2458202.440,17.83
2018-03-25 00:19:58,2458202.514,17.77
2018-04-28 21:52:18,2458237.411,18.96
2018-05-15 21:54:49,2458254.413,null
2018-05-15 23:41:33,2458254.487,null
2018-08-22 20:20:26,2458353.348,null
2018-08-23 00:34:12,2458353.524,null
2018-09-08 06:40:55,2458369.778,null
2018-10-13 18:05:54,2458405.254,null
2018-10-13 19:52:40,2458405.328,null
2018-11-23 17:42:37,2458446.238,null
2018-11-23 19:29:22,2458446.312,null
2018-11-23 23:43:08,2458446.488,null
2018-11-24 01:29:19,2458446.562,null
2018-11-24 05:43:04,2458446.738,null
2018-11-24 07:29:50,2458446.812,null
2018-11-24 13:29:46,2458447.062,null
2018-11-30 19:35:44,2458453.316,null
2018-11-30 23:49:30,2458453.493,null
2018-12-01 01:36:15,2458453.567,null
2018-12-01 05:50:01,2458453.743,null
2018-12-01 07:36:11,2458453.817,null
2018-12-01 11:49:57,2458453.993,null
2018-12-01 13:36:42,2458454.067,null
2018-12-01 17:50:28,2458454.243,null
2019-02-11 18:05:07,2458526.254,null
2019-02-11 19:51:52,2458526.328,null
2019-03-01 06:11:40,2458543.758,null
2019-03-01 07:58:25,2458543.832,null
2019-04-04 23:41:26,2458578.487,null
2019-04-05 01:28:10,2458578.561,null
2019-05-13 18:34:08,2458617.274,null
2019-05-13 22:47:52,2458617.450,null
2019-05-25 04:53:39,2458628.704,null
2019-05-25 06:40:23,2458628.778,null
2019-08-16 11:38:11,2458711.985,17.77
2019-08-16 13:24:46,2458712.059,untrusted
2019-08-16 17:38:27,2458712.235,17.89

