Gaia18avh
#Date,JD,averagemag.
2015-03-03 21:28:16,2457085.395,null
2015-03-25 17:14:01,2457107.218,null
2015-04-24 16:58:40,2457137.207,null
2015-04-24 21:12:26,2457137.384,null
2015-09-02 21:30:55,2457268.396,null
2015-09-02 23:17:04,2457268.470,null
2015-09-28 03:24:00,2457293.642,null
2015-09-28 05:10:44,2457293.716,null
2015-10-25 15:05:56,2457321.129,null
2015-10-25 16:52:40,2457321.203,null
2016-03-12 22:35:47,2457460.442,null
2016-04-08 12:12:33,2457487.009,null
2016-05-04 12:10:06,2457513.007,null
2016-05-04 16:23:52,2457513.183,null
2016-09-12 16:39:48,2457644.194,null
2016-09-12 18:25:58,2457644.268,null
2016-10-12 00:05:56,2457673.504,null
2017-03-23 08:54:06,2457835.871,null
2017-04-24 00:49:17,2457867.534,null
2017-05-14 18:56:25,2457888.289,null
2017-05-14 20:43:11,2457888.363,null
2017-09-23 13:10:51,2458020.049,null
2017-09-23 14:57:35,2458020.123,null
2017-10-26 14:22:58,2458053.099,null
2017-10-26 18:36:06,2458053.275,null
2017-11-13 06:36:59,2458070.776,null
2017-11-13 08:23:43,2458070.850,null
2018-02-14 14:51:48,2458164.119,null
2018-02-14 16:37:58,2458164.193,null
2018-04-03 02:17:41,2458211.596,18.10
2018-04-03 04:04:16,2458211.670,18.13

