Gaia18bik
#Date,JD(TCB),averagemag
2014-08-31 22:40:30,2456901.44479,null
2014-11-18 18:19:32,2456980.26356,null
2014-11-18 20:06:17,2456980.33770,null
2014-11-26 00:25:07,2456987.51744,null
2014-11-26 02:11:52,2456987.59157,null
2014-11-26 06:25:37,2456987.76779,null
2014-11-26 08:11:46,2456987.84150,null
2015-01-09 18:34:27,2457032.27392,null
2015-01-09 22:48:13,2457032.45015,null
2015-01-24 16:53:37,2457047.20390,null
2015-01-24 18:40:22,2457047.27803,null
2015-03-02 10:04:26,2457083.91975,null
2015-04-03 15:45:41,2457116.15672,null
2015-04-03 17:32:26,2457116.23086,null
2015-04-28 09:50:21,2457140.90997,null
2015-04-28 11:37:07,2457140.98411,null
2015-04-28 15:50:52,2457141.16032,null
2015-06-24 09:39:16,2457197.90227,null
2015-06-24 11:25:25,2457197.97598,null
2015-06-24 15:39:10,2457198.15220,null
2015-06-24 17:25:55,2457198.22633,null
2015-07-13 15:49:29,2457217.15936,null
2015-07-13 17:36:14,2457217.23350,null
2015-07-13 21:49:59,2457217.40971,null
2015-08-23 17:08:49,2457258.21446,null
2015-09-27 08:45:33,2457292.86497,null
2015-10-17 16:29:05,2457313.18686,null
2015-11-30 21:00:03,2457357.37503,null
2015-12-01 01:13:48,2457357.55125,null
2015-12-01 03:00:33,2457357.62538,null
2015-12-01 07:14:17,2457357.80159,null
2015-12-06 13:18:21,2457363.05441,null
2015-12-06 15:05:06,2457363.12854,null
2015-12-06 19:18:51,2457363.30476,null
2015-12-06 21:05:01,2457363.37848,null
2016-01-19 23:48:45,2457407.49219,null
2016-02-07 01:37:21,2457425.56760,null
2016-03-12 17:13:12,2457460.21750,null
2016-04-18 10:51:55,2457496.95272,null
2016-04-18 12:38:05,2457497.02645,null
2016-04-18 16:51:51,2457497.20267,null
2016-04-18 18:38:36,2457497.27681,null
2016-05-09 18:48:33,2457518.28372,null
2016-05-09 23:02:19,2457518.45994,null
2016-05-10 00:49:04,2457518.53407,null
2016-07-06 04:50:01,2457575.70140,null
2016-07-06 06:36:45,2457575.77552,null
2016-07-29 18:42:35,2457599.27957,null
2016-07-29 22:55:44,2457599.45537,null
2016-09-03 10:30:12,2457634.93764,null
2016-09-03 12:16:21,2457635.01135,null
2016-10-10 03:41:17,2457671.65367,null
2016-10-10 05:28:01,2457671.72779,null
2016-10-27 03:43:08,2457688.65495,null
2016-10-27 05:29:52,2457688.72907,null
2016-12-10 21:53:47,2457733.41235,null
2016-12-11 02:07:32,2457733.58856,null
2016-12-11 03:53:42,2457733.66229,null
2016-12-11 08:07:28,2457733.83852,null
2016-12-17 08:12:33,2457739.84205,null
2016-12-17 09:59:18,2457739.91618,null
2017-01-29 06:51:05,2457782.78547,null
2017-01-29 08:37:51,2457782.85962,null
2017-02-19 15:57:51,2457804.16517,null
2017-03-24 03:32:06,2457836.64729,null
