Gaia18bjk
#Date,JD(TCB),averagemag
2014-11-22 00:19:34,2456983.51359,null
2015-04-27 13:29:20,2457140.06204,null
2015-06-01 05:09:54,2457174.71521,null
2015-06-01 06:56:38,2457174.78933,null
2015-06-17 11:16:00,2457190.96944,null
2015-06-17 13:02:45,2457191.04358,null
2015-11-02 00:04:22,2457328.50303,null
2015-11-02 01:51:07,2457328.57716,null
2015-12-07 05:32:24,2457363.73083,null
2015-12-07 07:19:09,2457363.80497,null
2015-12-19 07:27:02,2457375.81044,null
2015-12-19 11:40:48,2457375.98667,null
2016-03-20 07:28:04,2457467.81116,null
2016-03-20 09:14:14,2457467.88488,null
2016-03-31 01:33:48,2457478.56514,null
2016-03-31 03:20:32,2457478.63926,null
2016-03-31 07:34:16,2457478.81546,null
2016-05-07 12:51:10,2457516.03553,null
2016-09-23 15:17:58,2457655.13748,null
2016-09-23 19:31:44,2457655.31370,null
2016-09-23 21:18:30,2457655.38785,null
2016-10-08 01:41:29,2457669.57047,null
2016-10-08 03:28:15,2457669.64462,null
2016-11-11 15:02:18,2457704.12660,null
2017-03-28 09:51:50,2457840.91100,null
2017-03-28 11:37:59,2457840.98471,null
2017-04-15 23:38:50,2457859.48530,null
2017-04-16 03:52:33,2457859.66149,null
2017-05-18 09:22:43,2457891.89078,null
2017-05-18 11:09:28,2457891.96491,null
2017-10-02 10:01:13,2458028.91751,null
2017-10-02 11:47:23,2458028.99124,null
2017-11-21 23:35:10,2458079.48275,null
2018-04-06 22:56:39,2458215.45601,null
2018-05-01 04:47:02,2458239.69933,null
2018-05-01 06:33:46,2458239.77345,null
2018-05-29 04:31:02,2458267.68822,18.52
2018-05-29 06:17:36,2458267.76222,18.55
2018-10-12 06:57:22,2458403.78984,null
2018-11-07 17:03:43,2458430.21091,null
2018-12-02 00:45:10,2458454.53137,null
2019-04-17 06:03:22,2458590.75234,null
2019-05-16 11:42:32,2458619.98787,null
2019-05-16 13:28:42,2458620.06160,null
2019-06-08 11:38:53,2458642.98534,null
2019-06-08 13:25:38,2458643.05947,null

