Gaia18bto
#Date,JD(TCB),averagemag
2014-08-03 05:23:52,2456872.72491,null
2014-08-03 11:24:20,2456872.97523,null
2014-08-03 13:10:30,2456873.04896,null
2014-08-03 17:24:14,2456873.22516,null
2014-08-03 19:10:58,2456873.29928,null
2014-11-02 12:18:35,2456964.01291,null
2014-11-02 16:32:21,2456964.18913,null
2014-11-02 18:18:32,2456964.26287,null
2014-11-02 22:32:18,2456964.43910,null
2014-11-11 22:40:12,2456973.44458,null
2014-11-12 00:26:57,2456973.51872,null
2014-11-12 04:40:43,2456973.69494,null
2014-11-12 06:26:54,2456973.76868,null
2015-01-26 15:33:40,2457049.14838,null
2015-01-26 17:19:51,2457049.22212,null
2015-01-26 21:33:37,2457049.39834,null
2015-01-26 23:20:22,2457049.47248,null
2015-02-01 09:38:46,2457054.90192,null
2015-02-01 11:25:32,2457054.97606,null
2015-02-01 15:39:18,2457055.15229,null
2015-02-01 17:26:03,2457055.22642,null
2015-02-01 21:39:49,2457055.40265,null
2015-05-07 17:36:57,2457150.23399,null
2015-05-07 19:23:07,2457150.30772,null
2015-05-24 17:40:21,2457167.23635,null
2015-06-28 06:52:15,2457201.78628,null
2015-11-09 23:36:51,2457336.48392,null
2015-11-10 01:23:02,2457336.55766,null
2015-11-28 17:43:27,2457355.23851,null
2015-11-28 19:29:37,2457355.31223,null
2015-12-29 11:22:57,2457385.97427,null
2015-12-29 13:09:42,2457386.04840,null
2016-05-16 06:40:39,2457524.77823,null
2016-05-16 08:27:24,2457524.85236,null
2016-06-08 06:35:50,2457547.77488,null
2016-07-08 06:14:45,2457577.76024,null
2016-07-08 08:01:29,2457577.83436,null
2016-11-18 08:31:52,2457710.85546,null
2016-12-12 14:29:24,2457735.10375,null
2017-01-07 14:19:43,2457761.09703,null
2017-05-26 15:09:40,2457900.13171,null
2017-05-26 16:55:49,2457900.20543,null
2017-06-23 14:53:01,2457928.12015,null
2017-07-19 02:45:51,2457953.61517,null
2017-11-28 11:05:15,2458085.96198,null
2017-11-28 15:19:01,2458086.13821,null
2017-12-27 03:03:37,2458114.62751,null
2017-12-27 04:49:48,2458114.70125,null
2018-01-17 09:03:28,2458135.87741,null
2018-06-06 10:17:17,2458275.92867,null
2018-06-06 12:04:02,2458276.00280,null
2018-07-09 09:49:15,2458308.90920,18.31
2018-07-09 11:35:49,2458308.98321,18.35
2018-07-28 21:52:48,2458328.41167,untrusted
2018-07-28 23:39:21,2458328.48566,untrusted
2018-12-08 22:30:11,2458461.43763,null
2019-01-10 16:01:41,2458494.16784,null
2019-01-10 17:48:27,2458494.24198,null
2019-01-26 05:55:06,2458509.74660,null
2019-01-26 10:08:52,2458509.92282,null
2019-04-30 18:07:00,2458604.25486,null
2019-04-30 19:53:44,2458604.32898,null
2019-05-01 00:06:53,2458604.50478,null
2019-05-01 01:53:38,2458604.57891,null
2019-05-08 00:12:01,2458611.50834,null
2019-05-08 01:58:45,2458611.58247,null
2019-05-08 06:12:29,2458611.75867,null
2019-06-17 11:25:55,2458651.97633,null
2019-06-17 13:12:05,2458652.05006,null
2019-07-30 01:02:24,2458694.54333,null
2019-07-30 02:49:09,2458694.61747,null
2019-11-03 02:05:37,2458790.58723,null
2019-11-03 03:52:22,2458790.66137,null
2019-11-03 08:06:09,2458790.83760,null
2019-11-03 09:52:54,2458790.91174,null
2019-11-11 02:15:28,2458798.59407,null
2019-11-11 04:02:14,2458798.66822,null
2019-11-11 08:16:00,2458798.84444,null
2019-11-11 10:02:11,2458798.91818,null
2019-12-18 22:15:06,2458836.42715,null
2019-12-19 00:01:17,2458836.50089,null
2020-01-25 18:05:23,2458874.25374,null
2020-01-26 00:05:55,2458874.50411,null
2020-01-26 01:52:05,2458874.57784,null
2020-01-26 06:05:51,2458874.75406,null
2020-01-26 07:52:37,2458874.82821,null
2020-02-01 13:59:57,2458881.08330,null
2020-02-01 18:13:43,2458881.25953,null
2020-02-01 19:59:53,2458881.33325,null
2020-02-02 00:13:39,2458881.50948,null
2020-02-02 02:00:25,2458881.58362,null
2020-02-02 06:14:11,2458881.75985,null
2020-04-30 07:57:55,2458969.83189,null
2020-04-30 09:44:40,2458969.90602,null
2020-04-30 13:58:24,2458970.08222,null
2020-04-30 15:44:33,2458970.15594,null
2020-05-11 03:55:42,2458980.66368,null
2020-05-11 08:09:26,2458980.83988,null
2020-05-11 09:56:11,2458980.91402,null
2020-06-18 15:47:46,2459019.15817,null
2020-06-18 17:34:31,2459019.23230,null
2020-12-09 10:28:48,2459192.93667,untrusted

