Gaia18bxa
#Date,JD(TCB),averagemag
2014-11-11 19:40:57,2456973.32010,null
2014-11-26 11:59:44,2456987.99981,null
2015-01-03 16:57:30,2457026.20660,null
2015-01-29 22:45:37,2457052.44834,null
2015-01-30 00:32:23,2457052.52249,null
2015-02-28 16:32:41,2457082.18936,null
2015-02-28 18:18:51,2457082.26309,null
2015-04-13 10:10:34,2457125.92400,null
2015-04-13 11:57:19,2457125.99814,null
2015-05-06 00:06:41,2457148.50464,null
2015-05-06 04:20:25,2457148.68084,null
2015-05-06 06:07:10,2457148.75498,null
2015-06-19 03:56:15,2457192.66406,null
2015-06-19 05:42:24,2457192.73778,null
2015-07-21 11:22:50,2457224.97419,null
2015-08-17 09:23:49,2457251.89154,null
2015-08-17 11:10:34,2457251.96567,null
2015-09-26 22:02:13,2457292.41821,null
2015-09-27 02:15:58,2457292.59442,null
2015-10-11 08:20:44,2457306.84773,null
2015-10-11 10:06:54,2457306.92146,null
2015-11-22 14:39:13,2457349.11057,null
2015-11-22 18:52:58,2457349.28678,null
2015-12-09 02:43:17,2457365.61339,null
2016-01-14 18:03:47,2457402.25263,null
2016-02-12 23:47:38,2457431.49141,null
2016-02-13 01:34:23,2457431.56554,null
2016-03-11 19:29:18,2457459.31201,null
2016-03-11 23:43:04,2457459.48824,null
2016-04-27 07:08:32,2457505.79759,null
2016-04-27 11:22:16,2457505.97380,null
2016-04-27 13:08:26,2457506.04752,null
2016-05-21 01:16:24,2457529.55306,null
2016-05-21 05:30:09,2457529.72927,null
2016-05-21 07:16:54,2457529.80340,null
2016-06-30 17:04:23,2457570.21138,null
2016-06-30 18:51:08,2457570.28551,null
2016-08-03 22:35:08,2457604.44106,null
2016-08-27 22:27:41,2457628.43589,null
2016-08-28 00:13:51,2457628.50962,null
2016-10-08 10:58:02,2457669.95697,null
2016-10-08 15:11:46,2457670.13317,null
2016-10-21 15:17:12,2457683.13694,null
2016-10-21 17:03:22,2457683.21067,null
2016-12-02 09:39:22,2457724.90234,null
2016-12-21 01:53:56,2457743.57912,null
2016-12-21 03:40:42,2457743.65326,null
2017-01-25 01:11:11,2457778.54943,null
2017-02-26 14:14:00,2457811.09306,null
2017-03-24 10:02:18,2457836.91826,null
2017-03-24 14:16:03,2457837.09448,null
2017-03-24 16:02:49,2457837.16862,null
2017-05-11 07:55:14,2457884.83002,null
2017-05-11 09:41:58,2457884.90414,null
2017-05-11 13:55:43,2457885.08036,null
2017-05-11 15:41:53,2457885.15409,null
2017-07-13 01:34:49,2457947.56584,null
2017-08-18 00:54:54,2457983.53813,null
2017-09-08 06:52:15,2458004.78628,null
2017-10-20 11:29:43,2458046.97897,null
2017-10-20 13:16:28,2458047.05310,null
2017-11-02 05:35:26,2458059.73294,null
2017-11-02 07:22:11,2458059.80707,null
2017-12-13 04:17:29,2458100.67881,null
2018-01-03 04:14:54,2458121.67701,null
2018-01-03 06:01:39,2458121.75115,null
2018-02-05 09:42:00,2458154.90417,null
2018-02-05 11:28:46,2458154.97831,null
2018-03-13 15:20:08,2458191.13898,null
2018-03-13 17:06:54,2458191.21313,null
2018-04-06 17:13:13,2458215.21751,null
2018-04-06 21:26:58,2458215.39373,null
2018-04-06 23:13:43,2458215.46786,null
2018-05-24 21:05:48,2458263.37903,null
2018-05-24 22:52:33,2458263.45316,null
2018-06-21 21:03:39,2458291.37753,null
2018-07-25 02:41:36,2458324.61222,17.49
2018-07-25 04:28:10,2458324.68623,17.48
2018-08-31 19:52:04,2458362.32782,null
2018-09-19 07:52:27,2458380.82809,null
2018-09-19 09:39:12,2458380.90222,null
2018-11-01 00:26:16,2458423.51824,null
2018-11-01 02:12:26,2458423.59197,null
2018-11-14 06:32:02,2458436.77225,null
2018-11-14 08:18:12,2458436.84597,null
2018-12-23 23:20:48,2458476.47278,null
2018-12-24 01:07:33,2458476.54691,null
2019-01-16 13:00:23,2458500.04193,null
2019-02-17 00:37:49,2458531.52626,null
2019-03-29 04:28:49,2458571.68668,null
2019-03-29 06:15:34,2458571.76081,null
2019-04-21 00:24:44,2458594.51718,null
2019-04-21 04:38:29,2458594.69339,null
2019-04-21 06:25:14,2458594.76752,null
2019-06-06 22:15:47,2458641.42763,null
2019-07-06 22:05:31,2458671.42050,null
2019-07-06 23:51:41,2458671.49422,null
2019-07-20 01:26:04,2458684.55977,null
2019-08-22 07:02:30,2458717.79340,null
2019-08-22 08:49:14,2458717.86752,null
2019-10-02 14:42:39,2458759.11295,null
2019-10-02 16:29:24,2458759.18708,null
2019-10-02 20:42:33,2458759.36288,null
2019-10-25 09:16:09,2458781.88622,null
2019-10-25 11:02:54,2458781.96035,null
2019-12-09 00:52:34,2458826.53650,null
2019-12-09 05:05:44,2458826.71231,null
2020-01-06 12:12:24,2458855.00861,null
2020-01-06 13:59:09,2458855.08274,null
2020-02-03 09:10:21,2458882.88219,null
2020-03-12 03:37:08,2458920.65079,null
2020-03-12 05:23:53,2458920.72492,null
2020-03-27 23:50:49,2458936.49362,null
2020-05-10 06:54:13,2458979.78765,null
2020-05-10 08:40:57,2458979.86177,null
2020-05-25 19:17:41,2458995.30395,null
2020-05-25 21:04:26,2458995.37808,null
2020-07-05 09:33:56,2459035.89856,null
2020-09-01 13:49:36,2459094.07611,null
2020-09-19 19:50:42,2459112.32688,null
2020-09-19 21:36:52,2459112.40060,null
2020-11-01 12:23:59,2459155.01666,null
2020-11-01 14:10:09,2459155.09038,null
2020-11-15 00:29:41,2459168.52061,null
2020-12-24 11:19:44,2459207.97204,null
2020-12-24 13:05:54,2459208.04576,null
2021-01-17 06:58:42,2459231.79076,null
2021-02-17 16:50:32,2459263.20176,null
2021-03-29 22:27:24,2459303.43569,18.04
2021-03-30 00:13:59,2459303.50971,17.93
2021-03-30 04:27:39,2459303.68587,18.03
2021-03-30 06:14:13,2459303.75987,17.96

