Gaia18cdy
#Date,JD,averagemag.
2014-10-13 10:04:22,2456943.920,null
2015-02-25 11:08:50,2457078.964,null
2015-02-25 15:22:37,2457079.141,null
2015-03-26 16:53:28,2457108.204,20.43
2015-04-17 09:10:58,2457129.883,null
2015-04-17 10:57:08,2457129.956,null
2015-10-04 03:22:22,2457299.641,null
2015-10-04 05:08:33,2457299.714,null
2015-10-22 21:23:04,2457318.391,null
2015-10-22 23:09:49,2457318.465,null
2016-03-06 22:33:12,2457454.440,null
2016-03-07 00:19:57,2457454.514,null
2016-04-10 10:07:31,2457488.922,20.48
2016-04-10 11:54:05,2457488.996,20.48
2016-04-25 00:03:44,2457503.503,null
2016-04-25 04:17:30,2457503.679,null
2016-04-25 06:04:16,2457503.753,null
2016-09-11 23:00:21,2457643.459,20.54
2016-09-12 00:46:57,2457643.533,null
2016-10-18 22:18:21,2457680.429,null
2016-10-19 00:04:30,2457680.503,null
2016-10-19 04:18:14,2457680.679,null
2016-10-29 16:23:59,2457691.183,null
2016-10-29 18:10:32,2457691.257,20.53
2017-01-29 06:07:52,2457782.755,null
2017-01-29 07:54:27,2457782.829,20.48
2017-02-09 19:38:43,2457794.319,20.43
2017-02-09 21:25:17,2457794.393,20.45
2017-02-10 01:38:59,2457794.569,20.41
2017-03-17 13:07:11,2457830.047,null
2017-03-17 14:53:57,2457830.121,null
2017-08-03 01:58:40,2457968.582,null
2017-08-03 03:45:33,2457968.657,null
2017-08-03 07:58:53,2457968.833,20.4
2017-08-03 09:45:27,2457968.907,20.42
2017-08-19 02:05:00,2457984.587,null
2017-08-19 03:51:10,2457984.661,null
2017-09-22 19:31:40,2458019.314,null
2017-09-22 21:18:25,2458019.388,null
2018-02-06 08:33:52,2458155.857,null
2018-02-06 10:20:38,2458155.931,null
2018-03-28 04:04:50,2458205.670,20.46
2018-08-12 09:04:10,2458342.878,20.05
2018-08-12 10:50:44,2458342.952,20.08
2018-09-04 03:01:05,2458365.626,20.27
2018-10-03 08:39:23,2458394.861,20.03
2018-10-03 10:25:57,2458394.935,20.02
2019-02-15 17:27:45,2458530.228,20.07
2019-03-12 03:36:50,2458554.651,20.11
2019-04-07 15:29:23,2458581.145,null
2019-04-07 17:15:55,2458581.219,20.15
2019-09-13 07:40:51,2458739.820,null
2019-09-15 09:02:20,2458741.877,20.34

