Gaia18cwl
#Date,JD(TCB),averagemag
2014-11-13 23:47:22,2456975.49123,null
2015-01-18 04:28:14,2457040.68627,null
2015-01-18 08:42:00,2457040.86250,null
2015-01-18 10:28:45,2457040.93663,null
2015-01-27 10:34:48,2457049.94083,null
2015-01-27 14:48:33,2457050.11705,null
2015-01-27 16:34:43,2457050.19078,null
2015-03-13 07:09:41,2457094.79839,null
2015-03-27 09:00:52,2457108.87560,null
2015-03-27 13:14:36,2457109.05181,null
2015-06-05 17:53:39,2457179.24559,null
2015-06-05 19:40:24,2457179.31972,null
2015-07-02 23:51:15,2457206.49392,null
2015-07-03 01:38:00,2457206.56806,null
2015-08-27 07:22:27,2457261.80726,null
2015-08-27 11:36:12,2457261.98347,null
2015-08-27 13:22:22,2457262.05720,null
2015-08-27 17:36:08,2457262.23343,null
2015-09-14 05:47:50,2457279.74155,null
2015-09-14 07:34:35,2457279.81568,null
2015-09-14 11:48:20,2457279.99190,null
2015-09-14 13:35:06,2457280.06604,null
2015-10-26 11:26:56,2457321.97704,null
2015-11-27 18:46:46,2457354.28248,null
2015-12-19 04:57:39,2457375.70670,null
2015-12-19 06:44:24,2457375.78083,null
2016-01-30 15:36:52,2457418.15060,null
2016-01-30 17:23:37,2457418.22473,null
2016-02-06 21:42:44,2457425.40468,null
2016-02-06 23:28:54,2457425.47840,null
2016-02-07 03:42:39,2457425.65462,null
2016-03-22 14:08:23,2457470.08916,null
2016-03-22 15:55:08,2457470.16329,null
2016-04-09 02:09:27,2457487.58990,null
2016-04-09 03:56:12,2457487.66403,null
2016-05-15 19:21:47,2457524.30679,null
2016-05-15 21:08:32,2457524.38093,null
2016-06-20 12:56:15,2457560.03906,null
2016-06-20 14:42:59,2457560.11318,null
2016-07-14 13:01:57,2457584.04302,null
2016-07-14 14:48:41,2457584.11714,null
2016-09-08 12:48:22,2457640.03359,null
2016-09-08 14:34:33,2457640.10733,null
2016-09-08 18:48:18,2457640.28354,null
2016-09-30 12:58:02,2457662.04030,null
2016-09-30 14:44:47,2457662.11443,null
2016-11-05 20:22:59,2457698.34929,null
2016-12-10 07:44:59,2457732.82291,null
2016-12-28 12:00:34,2457751.00039,null
2016-12-28 13:46:44,2457751.07412,null
2017-02-10 05:53:26,2457794.74544,null
2017-02-10 07:40:11,2457794.81957,null
2017-02-17 01:45:29,2457801.57325,null
2017-02-17 05:59:14,2457801.74947,null
2017-02-17 07:45:24,2457801.82319,null
2017-04-02 04:31:27,2457845.68851,null
2017-04-23 00:14:48,2457866.51028,null
2017-05-27 15:52:13,2457901.16126,null
2017-05-27 17:38:58,2457901.23539,null
2017-07-07 11:11:45,2457941.96649,null
2017-07-07 15:25:30,2457942.14271,null
2017-07-07 17:11:40,2457942.21644,null
2017-07-27 09:35:35,2457961.89971,null
2017-07-27 11:22:20,2457961.97384,null
2017-07-27 15:35:30,2457962.14965,null
2017-07-27 17:22:15,2457962.22378,null
2017-09-20 23:08:50,2458017.46447,null
2017-09-21 03:22:36,2458017.64069,null
2017-10-16 05:12:46,2458042.71720,null
2017-11-17 03:07:50,2458074.63044,null
2017-12-23 14:18:03,2458111.09587,null
2017-12-23 16:04:48,2458111.17000,null
2018-01-07 16:09:32,2458126.17329,null
2018-01-07 20:23:18,2458126.34951,null
2018-03-01 08:39:46,2458178.86095,null
2018-03-01 12:53:31,2458179.03716,null
2018-03-01 14:40:15,2458179.11128,null
2018-04-12 23:33:48,2458221.48181,null
2018-04-13 01:20:33,2458221.55594,null
2018-05-07 05:24:42,2458245.72549,null
2018-05-07 07:11:26,2458245.79961,null
2018-06-08 17:00:57,2458278.20899,null
2018-07-25 18:22:45,2458325.26580,null
2018-07-25 22:36:30,2458325.44201,null
2018-07-26 00:23:14,2458325.51613,null
2018-07-26 04:36:59,2458325.69235,null
2018-08-10 10:47:58,2458340.94998,null
2018-08-10 12:34:43,2458341.02411,null
2018-08-10 16:48:28,2458341.20032,null
2018-08-10 18:34:38,2458341.27405,null
2018-08-11 00:35:08,2458341.52440,null
2018-10-03 04:33:45,2458394.69010,17.36
2018-10-03 06:20:19,2458394.76411,17.41
2018-11-28 04:15:30,2458450.67743,19.76
2019-01-05 15:14:27,2458489.13503,20.46
2019-01-05 17:01:02,2458489.20905,20.61
2019-01-17 17:07:27,2458501.21351,20.72
2019-01-17 21:21:08,2458501.38968,20.62
2019-03-03 07:42:09,2458545.82094,null
2019-03-03 09:28:54,2458545.89507,null
2019-03-14 09:34:41,2458556.89909,null
2019-04-24 00:38:18,2458597.52660,null
2019-04-24 02:24:28,2458597.60032,null
2019-05-21 20:09:07,2458625.33966,null
2019-06-20 18:09:47,2458655.25679,null
2019-06-20 19:56:31,2458655.33091,null
2019-07-21 01:34:11,2458685.56541,null
2019-07-21 03:20:56,2458685.63954,null
2019-09-05 22:40:24,2458732.44472,null
2019-09-06 00:26:34,2458732.51845,null
2019-09-17 12:42:30,2458744.02951,null
2019-09-17 16:56:15,2458744.20573,null

