Gaia18cxh
#Date,JD(TCB),averagemag
2015-02-19 12:10:47,2457073.00749,null
2015-02-19 13:57:31,2457073.08161,null
2015-03-24 05:35:32,2457105.73301,null
2015-04-10 17:37:30,2457123.23438,null
2015-07-17 21:34:30,2457221.39896,null
2015-07-18 01:48:16,2457221.57519,null
2015-07-18 03:34:26,2457221.64891,null
2015-07-18 07:48:12,2457221.82514,null
2015-07-26 01:55:09,2457229.57997,null
2015-07-26 03:41:54,2457229.65410,null
2015-07-26 07:55:40,2457229.83032,null
2015-07-26 09:41:51,2457229.90406,null
2015-09-04 09:03:13,2457269.87723,null
2015-10-12 02:37:25,2457307.60932,null
2015-10-12 06:51:11,2457307.78554,null
2015-10-12 08:37:56,2457307.85968,null
2015-10-22 20:46:36,2457318.36569,null
2015-10-23 01:00:22,2457318.54192,null
2015-10-23 02:47:07,2457318.61605,null
2015-10-23 07:00:53,2457318.79228,null
2016-01-15 01:49:58,2457402.57637,null
2016-01-15 03:36:43,2457402.65050,null
2016-01-15 07:50:27,2457402.82670,null
2016-01-15 09:36:36,2457402.90042,null
2016-01-15 13:50:20,2457403.07662,null
2016-01-15 15:37:05,2457403.15075,null
2016-01-22 09:42:19,2457409.90439,null
2016-01-22 13:55:28,2457410.08019,null
2016-01-22 15:42:13,2457410.15432,null
2016-01-22 19:55:57,2457410.33052,null
2016-01-22 21:42:41,2457410.40464,null
2016-03-01 03:05:47,2457448.62902,null
2016-04-07 18:31:11,2457486.27166,null
2016-04-07 20:17:21,2457486.34538,null
2016-04-08 00:31:05,2457486.52159,null
2016-04-17 18:36:43,2457496.27550,null
2016-04-17 20:23:28,2457496.34963,null
2016-07-24 20:47:57,2457594.36663,null
2016-07-24 22:34:43,2457594.44078,null
2016-08-10 14:55:23,2457611.12179,null
2016-08-10 16:42:09,2457611.19594,null
2016-09-14 08:28:03,2457645.85281,null
2016-09-14 10:14:49,2457645.92696,null
2017-01-20 20:53:16,2457774.37032,null
2017-01-20 22:40:00,2457774.44444,null
2017-02-07 22:42:58,2457792.44650,null
2017-02-08 02:56:42,2457792.62271,null
2017-03-11 17:36:17,2457824.23353,null
2017-08-03 13:02:11,2457969.04318,null
2017-08-25 23:17:14,2457991.47030,null
2017-08-26 01:03:24,2457991.54403,null
2017-09-25 05:02:29,2458021.71006,null
2017-09-25 06:48:40,2458021.78380,null
2018-01-30 05:22:51,2458148.72420,null
2018-01-30 07:09:35,2458148.79832,null
2018-03-22 04:56:40,2458199.70602,null
2018-03-22 06:43:24,2458199.78014,null
2018-08-13 20:10:52,2458344.34088,null
2018-08-14 00:24:03,2458344.51670,null
2018-10-05 18:13:16,2458397.25921,17.71
2018-10-05 19:59:51,2458397.33323,17.72
2019-02-09 06:30:53,2458523.77145,null
2019-02-09 08:17:10,2458523.84525,20.25
2019-03-09 18:09:53,2458552.25686,null
2019-04-01 07:49:05,2458574.82575,null
2019-08-13 23:07:51,2458709.46378,null
2019-08-14 00:54:37,2458709.53793,null
2019-09-13 00:25:54,2458739.51799,null

