Gaia18dhp
#Date,JD(TCB),averagemag
2014-11-19 14:42:13,2456981.11265,null
2015-03-07 17:26:46,2457089.22692,null
2015-03-26 09:43:17,2457107.90506,null
2015-03-26 11:30:03,2457107.97920,null
2015-04-29 05:01:46,2457141.70956,null
2015-09-01 09:14:07,2457266.88480,null
2015-09-01 11:00:16,2457266.95852,null
2015-09-01 15:14:00,2457267.13472,null
2015-09-01 17:00:45,2457267.20885,null
2015-09-23 15:17:22,2457289.13706,null
2015-10-25 20:51:11,2457321.36888,null
2015-10-25 22:37:55,2457321.44300,null
2015-12-03 21:36:30,2457360.40035,null
2015-12-04 01:50:14,2457360.57655,null
2015-12-04 03:36:58,2457360.65067,null
2015-12-12 19:55:59,2457369.33054,null
2015-12-12 21:42:09,2457369.40427,null
2016-03-16 18:31:09,2457464.27163,null
2016-04-08 22:41:37,2457487.44557,null
2016-05-09 16:26:46,2457518.18525,null
2016-09-11 10:23:13,2457642.93279,null
2016-09-11 12:09:57,2457643.00691,null
2016-10-07 22:15:34,2457669.42748,null
2016-10-08 00:02:18,2457669.50160,null
2017-03-27 07:13:56,2457839.80134,null
2017-03-27 09:00:42,2457839.87549,null
2017-04-23 14:50:44,2457867.11856,null
2017-05-21 01:00:44,2457894.54218,null
2017-05-21 02:47:30,2457894.61632,null
2017-09-22 18:54:53,2458019.28811,null
2017-10-22 12:34:30,2458049.02396,null
2017-10-22 14:20:40,2458049.09769,null
2017-11-15 00:24:34,2458072.51706,null
2017-11-15 02:11:19,2458072.59119,null
2018-02-17 22:56:41,2458167.45603,null
2018-02-18 03:10:27,2458167.63226,null
2018-04-07 02:22:59,2458215.59929,null
2018-04-07 04:09:09,2458215.67302,null
2018-05-09 02:05:32,2458247.58718,null
2018-05-09 03:52:18,2458247.66132,null
2018-06-01 02:11:47,2458270.59152,null
2018-06-01 03:58:33,2458270.66566,null
2018-06-01 08:12:19,2458270.84189,null
2018-11-05 19:29:17,2458428.31200,18.28
2018-11-05 21:15:51,2458428.38601,18.28
2018-11-25 01:27:26,2458447.56072,untrusted
2019-02-26 11:53:37,2458540.99557,null
2019-02-26 16:07:23,2458541.17179,null
2019-03-12 10:13:57,2458554.92635,null
2019-03-12 12:00:42,2458555.00049,null
2019-04-18 05:19:21,2458591.72177,null
2019-05-25 21:10:42,2458629.38243,null
2019-05-25 22:57:28,2458629.45657,null
2019-06-11 05:08:32,2458645.71426,null
2019-06-11 09:22:18,2458645.89049,null
2019-06-11 11:09:03,2458645.96462,null
2019-06-11 15:22:49,2458646.14084,null
2019-09-01 02:05:26,2458727.58711,null
2019-09-01 03:52:10,2458727.66123,null
2019-09-15 16:12:15,2458742.17517,null
2019-09-15 20:25:59,2458742.35138,null

