Gaia18djw
#Date,JD,averagemag.
2014-08-23 22:48:32,2456893.450,null
2014-08-24 00:34:42,2456893.524,null
2014-11-11 11:40:12,2456972.986,null
2014-11-11 13:26:57,2456973.060,null
2014-11-23 11:46:51,2456984.991,null
2014-11-23 13:33:36,2456985.065,null
2014-12-31 18:37:01,2457023.276,null
2015-01-30 00:20:20,2457052.514,null
2015-02-24 10:33:42,2457077.940,null
2015-02-24 12:20:27,2457078.014,null
2015-04-22 22:24:19,2457135.434,null
2015-04-23 04:24:13,2457135.683,null
2015-04-23 06:10:58,2457135.758,null
2015-04-23 10:24:43,2457135.934,null
2015-04-23 12:11:28,2457136.008,null
2015-04-23 16:25:13,2457136.184,null
2015-04-23 18:11:23,2457136.258,null
2015-05-05 12:20:30,2457148.014,null
2015-05-05 16:34:15,2457148.190,null
2015-05-05 18:20:59,2457148.265,null
2015-05-05 22:34:44,2457148.441,null
2015-05-06 00:20:54,2457148.515,null
2015-05-06 04:34:38,2457148.691,null
2015-06-21 04:08:59,2457194.673,null
2015-06-21 05:55:44,2457194.747,null
2015-07-24 17:26:05,2457228.226,null
2015-08-16 11:21:04,2457250.973,null
2015-10-01 15:57:14,2457297.165,null
2015-10-01 20:10:58,2457297.341,null
2015-10-01 21:57:08,2457297.415,null
2015-10-02 02:10:53,2457297.591,null
2015-10-02 03:57:38,2457297.665,null
2015-10-02 08:11:23,2457297.841,null
2015-10-04 14:12:56,2457300.092,null
2015-10-04 20:13:26,2457300.343,null
2015-10-04 22:00:11,2457300.417,null
2015-10-05 02:13:20,2457300.593,null
2015-10-05 04:00:05,2457300.667,null
2015-10-05 08:13:50,2457300.843,null
2015-10-05 10:00:35,2457300.917,null
2015-11-21 08:25:11,2457347.851,null
2015-12-07 00:43:43,2457363.530,null
2015-12-07 02:30:28,2457363.604,null
2016-01-11 17:58:32,2457399.249,null
2016-02-13 23:37:16,2457432.484,null
2016-02-14 01:24:01,2457432.558,null
2016-03-06 23:44:56,2457454.490,null
2016-03-07 01:31:42,2457454.564,null
2016-03-07 05:45:27,2457454.740,null
2016-05-04 05:35:21,2457512.733,null
2016-05-04 07:22:06,2457512.807,null
2016-05-04 11:35:51,2457512.983,null
2016-05-04 13:22:01,2457513.057,null
2016-05-23 17:44:42,2457532.239,null
2016-05-23 19:31:27,2457532.314,null
2016-07-01 23:17:08,2457571.470,null
2016-07-02 01:03:52,2457571.544,null
2016-08-07 04:35:49,2457607.692,null
2016-08-07 06:22:34,2457607.766,null
2016-08-26 06:22:50,2457626.766,null
2016-10-13 04:50:58,2457674.702,null
2016-10-13 09:04:43,2457674.878,null
2016-10-13 10:51:28,2457674.952,null
2016-10-13 15:05:13,2457675.129,null
2016-10-13 16:51:23,2457675.202,null
2016-10-13 21:05:08,2457675.379,null
2016-10-13 22:51:53,2457675.453,null
2016-10-14 03:05:38,2457675.629,null
2016-10-14 04:52:23,2457675.703,null
2016-10-14 09:05:33,2457675.879,null
2016-10-14 10:52:18,2457675.953,null
2016-10-14 15:06:03,2457676.129,null
2016-10-14 16:52:48,2457676.203,null
2016-10-14 21:06:33,2457676.380,null
2016-10-14 22:52:43,2457676.453,null
2016-10-15 04:53:14,2457676.704,null
2016-11-30 09:26:24,2457722.893,null
2016-11-30 13:40:09,2457723.070,null
2016-12-19 13:41:20,2457742.070,null
2017-01-21 19:07:59,2457775.297,null
2017-03-01 08:07:20,2457813.838,null
