Gaia18dsc
#Date,JD,averagemag.
2014-11-19 07:44:25,2456980.823,null
2014-11-19 09:31:09,2456980.897,null
2015-04-30 16:13:49,2457143.176,null
2015-04-30 20:27:00,2457143.352,null
2015-06-22 14:17:14,2457196.095,null
2015-06-22 16:03:59,2457196.169,null
2015-11-05 20:59:56,2457332.375,null
2015-12-03 20:39:01,2457360.360,null
2015-12-03 22:25:10,2457360.434,null
2015-12-25 20:32:46,2457382.356,null
2016-05-10 09:37:29,2457518.901,null
2016-06-11 09:20:12,2457550.889,null
2016-06-11 11:06:22,2457550.963,null
2016-07-01 11:13:17,2457570.968,null
2016-07-01 15:26:28,2457571.143,null
2016-07-01 17:13:14,2457571.218,null
2016-11-15 04:08:17,2457707.672,null
2016-11-15 05:55:01,2457707.747,null
2016-12-17 15:33:35,2457740.148,null
2016-12-17 17:19:44,2457740.222,null
2017-01-02 15:36:45,2457756.151,null
2017-01-02 17:22:55,2457756.224,null
2017-05-21 06:11:22,2457894.758,null
2017-05-21 07:58:08,2457894.832,null
2017-06-28 05:44:32,2457932.739,null
2017-06-28 07:31:18,2457932.813,null
2017-07-09 11:53:41,2457943.996,null
2017-07-09 13:40:27,2457944.070,null
2017-07-09 17:54:13,2457944.246,null
2017-10-10 19:14:02,2458037.301,null
2017-10-10 21:00:12,2458037.375,null
2017-10-11 01:13:56,2458037.551,null
2017-10-11 03:00:40,2458037.625,null
2017-10-11 07:14:24,2458037.802,null
2017-10-11 09:00:34,2458037.875,null
2017-10-18 07:19:28,2458044.805,null
2017-10-18 09:05:38,2458044.879,null
2017-10-18 13:19:22,2458045.055,null
2017-10-18 15:06:06,2458045.129,null
2017-11-25 18:39:17,2458083.277,null
2018-01-03 05:53:17,2458121.745,null
2018-01-03 07:40:02,2458121.819,null
2018-01-03 11:53:11,2458121.995,null
2018-01-03 13:39:55,2458122.069,null
2018-01-03 17:53:39,2458122.246,null
2018-01-08 11:57:23,2458126.998,null
2018-01-08 17:57:17,2458127.248,null
2018-01-08 19:44:01,2458127.322,null
2018-01-08 23:57:45,2458127.498,null
2018-01-09 01:43:55,2458127.572,null
2018-04-12 01:41:16,2458220.570,null
2018-04-12 03:28:01,2458220.644,null
2018-04-12 07:41:48,2458220.821,null
2018-04-27 01:50:17,2458235.577,null
2018-04-27 03:37:02,2458235.651,null
2018-06-01 07:23:32,2458270.808,null
2018-06-01 09:10:18,2458270.882,null
2018-10-17 16:01:39,2458409.168,null
2018-10-17 20:15:22,2458409.344,null
2018-10-17 22:02:07,2458409.418,null
2018-11-04 14:17:55,2458427.096,19.8
2018-11-04 16:04:28,2458427.170,19.74
2018-12-06 01:47:06,2458458.574,18.71
2018-12-06 03:33:39,2458458.648,18.74

