Gaia19aaz
#Date,JD,averagemag.
2014-07-31 06:12:45,2456869.759,null
2014-07-31 12:13:14,2456870.009,null
2014-07-31 13:59:24,2456870.083,null
2014-07-31 18:13:08,2456870.259,null
2014-07-31 19:59:53,2456870.333,null
2014-08-01 00:13:38,2456870.509,null
2014-08-01 01:59:47,2456870.583,null
2014-08-01 06:13:32,2456870.759,null
2014-08-01 08:00:17,2456870.834,null
2014-08-01 12:14:01,2456871.010,null
2014-08-01 14:00:11,2456871.083,null
2014-08-01 20:00:40,2456871.334,null
2014-08-26 14:25:56,2456896.101,null
2014-08-26 18:39:41,2456896.278,null
2014-11-08 03:50:44,2456969.660,null
2014-11-08 05:37:29,2456969.734,null
2015-01-13 22:37:09,2457036.442,null
2015-02-03 02:49:25,2457056.618,null
2015-03-15 07:31:40,2457096.814,null
2015-03-15 09:18:25,2457096.888,null
2015-03-31 01:36:11,2457112.567,null
2015-07-08 11:45:44,2457211.990,null
2015-07-08 13:32:29,2457212.064,null
2015-08-15 23:21:36,2457250.473,null
2015-08-16 01:07:46,2457250.547,null
2015-09-11 11:25:03,2457276.976,null
2015-09-11 13:11:13,2457277.049,null
2015-10-24 12:48:59,2457320.034,null
2015-10-24 17:02:45,2457320.210,null
2015-11-22 10:54:46,2457348.955,null
2015-11-22 12:41:31,2457349.029,null
2015-12-21 18:25:03,2457378.267,null
2015-12-21 22:38:49,2457378.444,null
2016-02-13 23:36:17,2457432.484,null
2016-02-14 03:50:02,2457432.660,null
2016-03-25 22:16:01,2457473.428,null
2016-04-11 10:18:52,2457489.930,null
2016-04-11 14:32:37,2457490.106,null
2016-05-21 07:27:47,2457529.811,null
2016-06-17 07:15:47,2457556.803,null
2016-07-20 06:53:54,2457589.787,null
2016-08-30 06:29:17,2457630.770,null
2016-08-30 08:16:02,2457630.844,null
2016-09-25 00:34:36,2457656.524,null
2016-09-25 02:21:21,2457656.598,null
2016-11-05 01:58:36,2457697.582,null
2016-12-05 07:43:27,2457727.822,null
2017-01-01 01:31:10,2457754.563,null
2017-02-07 10:46:49,2457791.949,null
2017-02-24 06:12:12,2457808.758,null
2017-04-06 10:50:42,2457849.952,null
2017-04-06 12:37:27,2457850.026,null
2017-04-24 10:52:13,2457867.953,null
2017-06-02 03:55:02,2457906.663,null
2017-06-02 05:41:47,2457906.737,null
2017-07-01 21:38:25,2457936.402,null
2017-08-02 03:25:00,2457967.642,null
2017-08-02 05:11:45,2457967.716,null
2017-09-14 03:00:49,2458010.626,null
2017-09-14 04:47:34,2458010.700,null
2017-09-14 09:01:19,2458010.876,null
2017-10-09 21:06:00,2458036.379,null
2017-10-09 22:52:45,2458036.453,null
2017-11-17 04:30:09,2458074.688,null
2017-12-18 20:20:24,2458106.348,null
2017-12-18 22:07:10,2458106.422,null
2018-01-12 08:12:10,2458130.842,null
2018-03-07 13:10:09,2458185.049,null
2018-03-07 14:56:54,2458185.123,null
2018-04-17 17:49:52,2458226.243,null
2018-04-17 19:36:37,2458226.317,null
2018-05-07 17:49:15,2458246.243,null
2018-05-07 19:36:00,2458246.317,null
2018-06-14 05:00:29,2458283.709,null
2018-06-14 06:47:14,2458283.783,null
2018-07-16 16:40:30,2458316.195,null
2018-07-16 18:26:40,2458316.269,null
2018-08-15 04:33:54,2458345.690,null
2018-08-15 06:20:39,2458345.764,null
2018-09-28 10:11:05,2458389.924,null
2018-09-28 11:57:51,2458389.999,null
2018-10-24 22:14:08,2458416.426,null
2018-10-25 00:00:19,2458416.500,null
2018-11-28 23:39:00,2458451.485,null
2018-11-29 03:52:11,2458451.661,null
2019-01-01 03:20:09,2458484.639,18.58
2019-01-01 05:06:43,2458484.713,18.65
2019-01-23 09:15:35,2458506.886,19.62

