Gaia19abm
#Date,JD,averagemag.
2014-11-13 14:44:54,2456975.115,null
2015-01-17 05:30:36,2457039.730,null
2015-01-17 07:17:21,2457039.804,null
2015-01-28 05:36:31,2457050.734,null
2015-01-28 07:22:41,2457050.807,null
2015-03-12 17:48:50,2457094.242,null
2015-03-28 04:07:41,2457109.672,null
2015-03-28 05:54:27,2457109.746,null
2015-05-05 11:02:47,2457147.960,null
2015-06-06 03:00:39,2457179.625,null
2015-06-06 04:47:24,2457179.700,null
2015-07-03 21:01:31,2457207.376,null
2015-07-03 22:48:17,2457207.450,null
2015-08-25 14:46:11,2457260.115,null
2015-08-25 16:32:21,2457260.189,null
2015-09-15 04:42:19,2457280.696,null
2015-09-15 08:56:04,2457280.872,null
2015-09-15 10:42:49,2457280.946,null
2015-11-27 09:41:46,2457353.904,null
2015-12-18 21:35:44,2457375.400,null
2016-01-29 08:11:36,2457416.841,null
2016-01-29 12:25:20,2457417.018,null
2016-02-08 00:31:23,2457426.522,null
2016-02-08 02:17:33,2457426.596,null
2016-03-22 06:49:08,2457469.784,null
2016-04-09 17:05:04,2457488.212,null
2016-04-09 18:51:49,2457488.286,null
2016-05-16 04:25:09,2457524.684,null
2016-05-16 06:11:54,2457524.758,null
2016-06-20 22:06:15,2457560.421,null
2016-06-20 23:52:25,2457560.495,null
2016-07-15 18:00:08,2457585.250,null
2016-07-15 22:13:54,2457585.426,null
2016-09-07 03:57:23,2457638.665,null
2016-09-07 05:44:08,2457638.739,null
2016-09-30 16:02:52,2457662.169,null
2016-09-30 17:49:37,2457662.243,null
2016-11-05 05:22:38,2457697.724,null
2016-12-09 20:51:28,2457732.369,null
2016-12-28 08:49:47,2457750.868,null
2016-12-28 10:36:31,2457750.942,null
2017-02-08 22:28:28,2457793.436,null
2017-02-09 02:42:13,2457793.613,null
2017-02-18 08:48:31,2457802.867,null
2017-02-18 10:34:41,2457802.941,null
2017-04-02 01:27:19,2457845.561,null
2017-04-02 03:14:04,2457845.635,null
2017-04-23 13:25:56,2457867.060,null
2017-04-23 15:12:41,2457867.134,null
2017-05-28 02:43:50,2457901.614,null
2017-07-07 12:36:34,2457942.025,null
2017-07-07 14:23:20,2457942.100,null
2017-07-29 02:34:28,2457963.607,null
2017-07-29 06:48:13,2457963.783,null
2017-07-29 08:34:58,2457963.858,null
2017-07-29 12:48:43,2457964.034,null
2017-09-20 00:30:17,2458016.521,null
2017-09-20 02:17:02,2458016.595,null
2017-10-16 02:15:19,2458042.594,null
2017-10-16 06:28:28,2458042.770,null
2017-11-16 12:05:22,2458074.004,null
2017-11-16 13:51:32,2458074.077,null
2017-12-22 23:09:19,2458110.465,null
2017-12-23 00:56:04,2458110.539,null
2018-01-07 17:11:51,2458126.217,null
2018-01-07 18:58:01,2458126.290,null
2018-03-02 11:30:06,2458179.979,null
2018-03-02 15:43:52,2458180.155,null
2018-04-13 02:31:47,2458221.605,null
2018-05-07 20:25:40,2458246.351,null
2018-05-07 22:12:25,2458246.425,null
2018-06-09 08:08:19,2458278.839,null
2018-07-24 19:48:10,2458324.325,null
2018-07-24 21:34:55,2458324.399,null
2018-07-25 01:48:41,2458324.575,null
2018-07-25 03:35:26,2458324.650,null
2018-08-12 20:00:47,2458343.334,null
2018-08-12 21:47:32,2458343.408,null
2018-08-13 02:01:17,2458343.584,null
2018-08-13 03:47:27,2458343.658,null
2018-10-02 07:39:47,2458393.819,null
2018-10-02 09:26:31,2458393.893,null
2018-10-30 19:29:09,2458422.312,null
2018-10-30 21:15:19,2458422.386,null
2018-11-27 14:57:08,2458450.123,null
2019-01-04 19:50:35,2458488.327,16.36
2019-01-05 00:04:15,2458488.503,16.32

