Gaia19agx
#Date,JD,averagemag.
2014-10-27 12:12:22,2456958.009,null
2014-10-27 16:26:08,2456958.185,null
2014-10-27 18:12:54,2456958.259,null
2014-11-14 10:34:32,2456975.941,null
2014-11-14 12:21:17,2456976.015,null
2015-05-05 17:43:02,2457148.238,null
2015-05-05 19:29:11,2457148.312,null
2015-05-27 13:25:38,2457170.059,null
2015-05-27 17:39:21,2457170.236,null
2015-06-27 19:01:43,2457201.293,null
2015-11-06 01:21:39,2457332.557,null
2015-11-29 17:35:17,2457356.233,null
2015-12-26 19:09:10,2457383.298,null
2016-05-15 00:48:40,2457523.534,null
2016-06-10 20:20:37,2457550.348,null
2016-06-11 00:34:21,2457550.524,null
2016-07-07 18:24:21,2457577.267,null
2016-07-07 20:10:30,2457577.341,null
2016-11-15 06:45:53,2457707.782,null
2016-11-15 08:32:38,2457707.856,null
2017-01-04 18:30:35,2457758.271,null
2017-01-04 20:17:20,2457758.345,null
2017-05-25 17:04:16,2457899.211,null
2017-06-26 14:53:16,2457931.120,null
2017-07-18 02:54:40,2457952.621,null
2017-07-18 04:41:24,2457952.695,null
2017-11-25 17:06:00,2458083.213,null
2017-11-25 21:19:46,2458083.389,null
2017-12-27 14:54:17,2458115.121,null
2018-01-14 02:59:20,2458132.625,null
2018-01-14 04:45:31,2458132.698,null
2018-04-18 23:11:08,2458227.466,null
2018-04-19 00:57:52,2458227.540,null
2018-04-19 05:11:01,2458227.716,null
2018-04-19 06:57:46,2458227.790,null
2018-04-26 01:02:27,2458234.543,null
2018-04-26 05:16:11,2458234.720,null
2018-04-26 07:02:55,2458234.794,null
2018-06-05 18:12:56,2458275.259,null
2018-07-13 15:52:57,2458313.162,null
2018-07-13 17:39:06,2458313.235,null
2018-07-13 21:52:50,2458313.412,null
2018-07-26 10:00:14,2458325.917,null
2018-07-26 11:46:58,2458325.991,null
2018-07-26 16:00:42,2458326.167,null
2018-07-26 17:46:52,2458326.241,null
2018-10-21 18:37:47,2458413.276,null
2018-10-21 22:51:33,2458413.452,null
2018-10-22 00:38:18,2458413.527,null
2018-10-22 04:52:04,2458413.703,null
2018-10-22 06:38:15,2458413.777,null
2018-10-22 10:52:01,2458413.953,null
2018-10-22 12:38:46,2458414.027,null
2018-10-22 16:52:32,2458414.203,null
2018-10-26 16:56:16,2458418.206,null
2018-10-26 22:56:47,2458418.456,null
2018-10-27 00:42:58,2458418.530,null
2018-10-27 04:56:44,2458418.706,null
2018-10-27 06:43:29,2458418.780,null
2018-10-27 10:57:15,2458418.956,null
2018-10-27 12:43:26,2458419.030,null
2018-10-27 18:43:57,2458419.281,null
2018-12-06 10:30:52,2458458.938,null
2019-01-11 09:52:42,2458494.912,null
2019-01-11 11:39:27,2458494.986,null
2019-01-22 05:46:48,2458505.741,18.43
2019-01-22 10:00:29,2458505.917,18.49

