Gaia19ajl
#Date,JD(TCB),averagemag
2014-08-17 08:40:03,2456886.86115,null
2014-08-17 10:26:48,2456886.93528,null
2014-08-17 14:40:34,2456887.11150,null
2014-08-17 16:27:20,2456887.18565,null
2014-08-17 20:40:31,2456887.36147,null
2015-01-24 08:24:37,2457046.85043,null
2015-01-24 12:38:20,2457047.02662,null
2015-02-08 18:41:52,2457062.27907,null
2015-02-08 20:28:36,2457062.35319,null
2015-06-29 01:52:03,2457202.57781,null
2015-06-29 03:38:48,2457202.65194,null
2015-08-06 07:24:00,2457240.80833,null
2015-08-06 09:10:45,2457240.88247,null
2015-08-06 13:24:32,2457241.05870,null
2015-08-06 15:10:42,2457241.13243,null
2015-08-16 21:19:29,2457251.38853,null
2015-08-17 01:33:16,2457251.56477,null
2015-08-17 03:19:26,2457251.63850,null
2015-08-17 07:33:12,2457251.81472,null
2015-11-17 08:57:22,2457343.87317,null
2015-11-17 10:44:07,2457343.94730,null
2015-11-17 14:57:16,2457344.12310,null
2015-11-17 16:44:00,2457344.19722,null
2015-11-26 04:49:33,2457352.70108,null
2015-11-26 09:03:17,2457352.87728,null
2015-11-26 10:50:01,2457352.95140,null
2016-01-02 02:22:04,2457389.59866,null
2016-01-02 04:08:49,2457389.67279,null
2016-02-11 09:23:47,2457429.89152,null
2016-02-11 13:37:31,2457430.06772,null
2016-02-11 15:23:41,2457430.14145,null
2016-02-11 19:37:25,2457430.31765,null
2016-02-11 21:24:09,2457430.39177,null
2016-02-12 01:37:53,2457430.56797,null
2016-02-12 03:24:37,2457430.64209,null
2016-02-12 07:37:46,2457430.81789,null
2016-02-12 09:24:31,2457430.89203,null
2016-02-12 13:38:15,2457431.06823,null
2016-02-12 15:24:59,2457431.14235,null
2016-02-12 19:38:43,2457431.31855,null
2016-02-12 21:24:53,2457431.39228,null
2016-02-13 01:38:36,2457431.56847,null
2016-02-13 03:25:21,2457431.64260,null
2016-02-13 07:39:05,2457431.81881,null
2016-02-13 09:25:14,2457431.89252,null
2016-02-13 13:38:58,2457432.06873,null
2016-02-13 15:25:43,2457432.14286,null
2016-02-13 19:39:27,2457432.31906,null
2016-02-13 21:25:36,2457432.39278,null
2016-05-19 05:06:33,2457527.71288,null
2016-05-19 09:20:19,2457527.88911,null
2016-06-03 15:29:17,2457543.14534,null
2016-06-03 17:16:02,2457543.21947,null
2016-07-09 03:04:15,2457578.62795,null
2016-07-09 04:50:25,2457578.70168,null
2016-11-23 15:59:12,2457716.16611,null
2016-11-23 17:45:21,2457716.23983,null
2016-12-11 16:00:48,2457734.16722,null
2017-01-11 11:17:07,2457764.97022,null
2017-05-28 07:35:18,2457901.81618,null
2017-05-28 11:49:04,2457901.99241,null
2017-07-20 01:24:53,2457954.55895,null
2017-07-20 05:38:39,2457954.73517,null
2017-12-02 18:27:02,2458090.26877,null
2017-12-02 20:13:46,2458090.34289,null
2017-12-26 08:04:25,2458113.83640,null
2018-06-07 12:58:22,2458277.04053,null
2018-06-07 14:44:33,2458277.11427,null
2018-07-05 02:37:26,2458304.60933,null
2018-07-30 18:49:04,2458330.28407,null
2018-12-12 19:34:23,2458465.31554,null
2018-12-12 21:21:07,2458465.38966,null
2019-01-09 20:58:25,2458493.37390,null
2019-01-31 07:06:30,2458514.79618,18.09
2019-01-31 08:53:04,2458514.87019,18.09
2019-06-18 08:08:46,2458652.83942,null
2019-06-18 09:55:31,2458652.91355,null
2019-08-04 10:14:51,2458699.92698,null
2019-08-04 12:01:36,2458700.00111,null

