Gaia19atc
#Date,JD(TCB),averagemag
2014-08-30 13:13:42,2456900.05118,null
2014-08-30 15:00:27,2456900.12531,null
2014-11-13 15:38:30,2456975.15174,null
2014-11-13 17:25:15,2456975.22587,null
2015-01-12 02:20:43,2457034.59772,null
2015-01-12 04:06:53,2457034.67145,null
2015-01-28 08:22:37,2457050.84904,null
2015-01-28 10:09:22,2457050.92317,null
2015-03-07 19:15:00,2457089.30208,null
2015-03-07 21:01:45,2457089.37622,null
2015-04-01 19:03:19,2457114.29397,null
2015-04-01 20:50:04,2457114.36810,null
2015-05-04 18:36:45,2457147.27552,null
2015-05-04 20:22:55,2457147.34925,null
2015-06-12 19:58:50,2457186.33252,null
2015-06-13 00:12:35,2457186.50874,null
2015-07-10 00:15:30,2457213.51076,null
2015-07-10 02:02:15,2457213.58490,null
2015-08-21 13:40:25,2457256.06973,null
2015-08-21 17:54:10,2457256.24595,null
2015-10-20 11:29:46,2457315.97900,null
2015-10-20 13:16:32,2457316.05315,null
2015-11-26 10:36:58,2457352.94234,null
2015-11-26 12:23:08,2457353.01606,null
2015-12-14 10:38:02,2457370.94308,null
2015-12-14 12:24:47,2457371.01721,null
2016-01-23 09:18:20,2457410.88773,null
2016-01-23 11:05:05,2457410.96186,null
2016-02-09 15:19:40,2457428.13866,null
2016-02-09 17:06:25,2457428.21279,null
2016-04-14 20:03:19,2457493.33564,null
2016-05-16 13:44:59,2457525.07291,null
2016-05-16 15:31:09,2457525.14663,null
2016-06-27 01:20:29,2457566.55589,null
2016-06-27 03:07:14,2457566.63002,null
2016-07-24 01:25:01,2457593.55904,null
2016-07-24 03:11:46,2457593.63317,null
2016-09-02 08:50:34,2457633.86845,null
2016-09-02 13:03:45,2457634.04427,null
2016-10-04 18:45:42,2457666.28174,null
2016-10-31 00:35:11,2457692.52443,null
2016-12-07 23:34:48,2457730.48250,null
2016-12-08 01:20:58,2457730.55623,null
2016-12-24 17:37:11,2457747.23416,null
2017-02-02 10:17:39,2457786.92892,null
2017-02-02 12:03:49,2457787.00265,null
2017-02-21 05:38:43,2457805.73522,null
2017-02-21 07:25:28,2457805.80935,null
2017-04-29 04:26:40,2457872.68519,null
2017-05-29 10:15:35,2457902.92749,null
2017-05-29 12:02:20,2457903.00162,null
2017-07-11 17:38:57,2457946.23538,null
2017-07-11 21:52:42,2457946.41160,null
2017-08-08 09:56:21,2457973.91413,null
2017-08-08 11:42:31,2457973.98786,null
2017-09-14 21:35:14,2458011.39947,null
2017-09-14 23:22:00,2458011.47361,null
2017-10-18 10:54:58,2458044.95484,null
2017-11-11 09:02:16,2458068.87657,null
2017-12-20 01:54:17,2458107.57936,null
2017-12-20 03:41:02,2458107.65350,null
2018-01-05 01:57:52,2458123.58185,null
2018-02-13 14:26:26,2458163.10169,null
2018-03-06 06:36:22,2458183.77525,null
2018-04-10 17:51:19,2458219.24397,null
2018-04-10 19:38:04,2458219.31810,null
2018-05-13 19:15:42,2458252.30257,null
2018-06-11 23:24:59,2458281.47568,null
2018-06-12 01:11:44,2458281.54981,null
2018-07-26 00:49:19,2458325.53425,null
2018-07-26 05:03:05,2458325.71047,null
2018-08-23 11:03:24,2458353.96069,null
2018-08-23 12:49:34,2458354.03442,null
2018-09-27 04:43:57,2458388.69719,null
2018-10-31 22:08:24,2458423.42250,null
2018-10-31 23:55:10,2458423.49664,null
2018-11-22 11:51:31,2458444.99411,null
2018-12-31 20:51:27,2458484.36906,null
2018-12-31 22:38:12,2458484.44319,null
2019-01-16 14:54:54,2458500.12146,null
2019-01-16 16:41:04,2458500.19519,null
2019-02-24 19:41:01,2458539.32015,18.88
2019-02-24 21:27:35,2458539.39416,18.89
2019-03-19 13:33:36,2458562.06500,19.76
2019-04-22 18:57:50,2458596.29016,20.80
2019-04-22 20:44:43,2458596.36439,null
2019-05-28 20:20:50,2458632.34780,null
2019-05-29 00:34:35,2458632.52402,null
2019-06-25 18:34:28,2458660.27394,null
2019-06-25 20:21:13,2458660.34807,null
2019-07-20 01:59:09,2458684.58274,null
2019-08-30 06:14:40,2458725.76019,null
2019-09-22 19:06:34,2458749.29623,null

