Gaia19bgn
#Date,JD(TCB),averagemag
2014-09-22 10:27:33,2456922.93580,untrusted
2014-10-28 01:37:21,2456958.56760,20.15
2014-12-06 11:28:01,2456997.97779,untrusted
2014-12-06 13:14:35,2456998.05179,untrusted
2015-02-18 17:29:51,2457072.22906,19.94
2015-02-18 19:16:25,2457072.30307,untrusted
2015-03-12 23:33:28,2457094.48157,20.70
2015-03-13 01:20:24,2457094.55583,null
2015-05-23 16:13:09,2457166.17580,20.62
2015-05-23 17:59:43,2457166.24980,untrusted
2015-06-07 10:18:08,2457180.92926,null
2015-06-07 12:04:53,2457181.00339,null
2015-09-15 01:24:54,2457280.55896,null
2015-09-15 03:11:05,2457280.63270,null
2015-10-07 19:22:31,2457303.30730,null
2015-10-07 21:08:41,2457303.38103,null
2015-11-08 08:47:51,2457334.86656,19.62
2015-12-27 18:44:48,2457384.28111,null
2015-12-28 00:45:18,2457384.53146,null
2015-12-28 06:45:13,2457384.78140,null
2015-12-28 08:31:59,2457384.85554,null
2015-12-28 12:45:44,2457385.03176,null
2015-12-28 14:32:29,2457385.10589,null
2015-12-28 18:46:14,2457385.28211,null
2015-12-28 20:32:25,2457385.35584,null
2015-12-29 00:46:10,2457385.53206,null
2015-12-29 02:32:55,2457385.60619,null
2015-12-29 06:46:40,2457385.78241,null
2015-12-29 08:32:50,2457385.85613,null
2015-12-29 12:46:36,2457386.03236,null
2015-12-29 14:33:05,2457386.10631,20.90
2015-12-29 18:47:06,2457386.28271,null
2015-12-29 20:33:20,2457386.35648,untrusted
2015-12-30 00:47:02,2457386.53266,null
2015-12-30 02:33:47,2457386.60679,null
2015-12-30 06:47:15,2457386.78281,untrusted
2015-12-30 12:48:02,2457387.03336,null
2015-12-30 18:47:45,2457387.28316,20.92
2016-03-01 00:39:48,2457448.52764,null
2016-03-01 02:26:32,2457448.60176,null
2016-03-27 02:20:07,2457474.59730,20.48
2016-03-27 06:33:53,2457474.77353,null
2016-06-05 23:08:21,2457545.46413,20.88
2016-06-06 00:54:57,2457545.53816,null
2016-06-16 11:14:41,2457555.96853,20.85
2016-06-16 13:01:15,2457556.04253,untrusted
2016-08-05 15:31:47,2457606.14707,null
2016-08-05 17:18:33,2457606.22122,null
2016-08-05 21:32:18,2457606.39743,null
2016-08-11 21:37:33,2457612.40108,null
2016-08-11 23:23:53,2457612.47492,20.62
2016-08-12 03:37:33,2457612.65108,20.45
2016-08-12 05:24:14,2457612.72516,null
2016-09-24 22:17:37,2457656.42890,null
2016-10-21 04:08:42,2457682.67271,null
2016-11-18 15:58:45,2457711.16580,21.34
2017-03-12 09:11:42,2457824.88313,null
2017-03-12 10:57:50,2457824.95683,19.52
2017-04-10 20:54:14,2457854.37100,null
2017-04-10 22:40:43,2457854.44494,20.36
2017-06-20 13:26:23,2457925.05999,20.72
2017-06-20 15:13:07,2457925.13411,null
2017-06-20 19:26:37,2457925.31015,20.71
2017-06-20 21:13:37,2457925.38446,null
2017-06-21 01:26:51,2457925.56031,20.68
2017-06-25 19:30:50,2457930.31308,null
2017-06-25 21:17:35,2457930.38721,null
2017-06-26 01:31:20,2457930.56343,null
2017-06-26 03:18:05,2457930.63756,null
2017-08-15 05:49:54,2457980.74299,null
