Gaia19bjt
#Date,JD(TCB),averagemag
2014-11-01 17:21:00,2456963.22292,19.44
2014-11-25 05:16:25,2456986.71973,untrusted
2015-04-23 10:59:32,2457135.95801,null
2015-04-23 12:45:41,2457136.03172,null
2015-05-20 18:35:18,2457163.27451,19.68
2015-05-20 22:48:59,2457163.45068,null
2015-11-12 00:28:26,2457338.51975,19.41
2015-11-12 02:15:00,2457338.59375,19.40
2015-12-09 12:15:42,2457366.01090,19.51
2015-12-09 14:02:17,2457366.08492,19.61
2016-01-03 06:14:45,2457390.76024,null
2016-01-03 08:00:56,2457390.83398,null
2016-05-03 12:08:17,2457512.00575,19.55
2016-05-03 13:54:51,2457512.07976,19.66
2016-06-03 19:31:24,2457543.31347,19.27
2016-06-03 23:45:03,2457543.48962,19.12
2016-06-27 01:25:25,2457566.55932,null
2016-10-04 20:21:33,2457666.34830,19.26
2016-10-04 22:08:08,2457666.42231,19.27
2016-10-05 02:21:48,2457666.59847,19.38
2016-10-12 20:28:21,2457674.35302,19.57
2016-10-12 22:14:55,2457674.42703,19.42
2016-11-21 15:23:59,2457714.14166,19.47
2016-12-23 13:17:11,2457746.05360,19.65
2016-12-23 15:03:46,2457746.12762,19.52
2017-01-12 07:24:38,2457765.80877,19.41
2017-01-12 09:11:12,2457765.88278,19.64
2017-01-12 13:24:53,2457766.05895,19.59
2017-05-14 20:39:48,2457888.36097,19.50
2017-05-14 22:26:22,2457888.43498,19.54
2017-06-18 20:02:49,2457923.33529,19.49
2017-06-18 21:49:23,2457923.40929,untrusted
2017-07-07 08:04:09,2457941.83622,19.49
2017-07-07 09:50:43,2457941.91022,19.42
2017-10-13 10:42:03,2458039.94587,19.59
2017-10-27 22:49:03,2458054.45073,19.53
2017-10-28 00:35:38,2458054.52475,19.24
2017-12-02 10:10:09,2458089.92372,19.40
2018-01-09 09:45:39,2458127.90670,19.51
2018-01-09 11:32:14,2458127.98072,19.44
2018-01-09 17:32:37,2458128.23098,null
2018-01-20 11:41:26,2458138.98711,19.64
2018-01-20 15:55:06,2458139.16326,19.71
2018-01-20 17:41:41,2458139.23728,19.71
2018-01-20 21:55:22,2458139.41345,19.62
2018-01-20 23:41:56,2458139.48745,19.60
2018-01-21 03:55:37,2458139.66362,19.49
2018-04-03 04:10:32,2458211.67398,19.50
2018-04-03 05:57:06,2458211.74799,19.50
2018-04-03 10:10:45,2458211.92413,19.70
2018-04-03 11:57:19,2458211.99814,19.76
2018-04-18 22:18:41,2458227.42964,19.54
2018-04-19 00:05:15,2458227.50365,untrusted
2018-04-19 04:18:54,2458227.67979,19.47
2018-05-26 05:34:49,2458264.73251,14.90
2018-07-03 22:44:35,2458303.44763,untrusted
2018-07-16 21:03:47,2458316.37763,19.63
2018-07-16 22:50:21,2458316.45163,19.63
2018-07-17 03:04:00,2458316.62778,19.65
2018-07-17 04:50:58,2458316.70206,null
2018-10-22 19:30:44,2458414.31301,19.65
2018-10-22 23:44:49,2458414.48946,null
2018-11-11 05:46:48,2458433.74083,untrusted
2018-11-11 07:33:23,2458433.81485,19.48
2018-12-13 05:20:55,2458465.72286,19.59
2019-04-12 23:18:45,2458586.47135,15.25
2019-04-13 01:05:18,2458586.54535,15.29
2019-05-05 17:19:56,2458609.22218,19.42
2019-06-06 12:42:32,2458641.02954,19.46
2019-10-17 02:19:50,2458773.59711,19.51
2019-10-17 04:06:25,2458773.67112,19.59
2019-11-08 15:02:40,2458796.12685,19.37
2019-11-08 16:49:14,2458796.20086,19.33
2019-12-08 16:24:25,2458826.18362,null
2019-12-08 18:10:50,2458826.25752,19.65
2020-01-19 06:47:26,2458867.78294,19.54
2020-01-19 08:34:00,2458867.85694,19.53
2020-01-19 12:47:41,2458868.03311,19.51
2020-01-19 14:34:16,2458868.10713,19.33
2020-01-19 18:47:56,2458868.28329,19.68
2020-01-19 20:34:31,2458868.35730,untrusted
2020-01-20 00:48:12,2458868.53347,19.50
2020-01-20 02:34:47,2458868.60749,19.58
2020-01-20 08:35:02,2458868.85766,19.67
2020-01-21 14:36:22,2458870.10859,19.67
2020-01-21 18:50:03,2458870.28476,19.68
2020-01-21 20:36:48,2458870.35889,null
2020-01-22 00:50:18,2458870.53493,19.46
2020-01-22 02:36:53,2458870.60895,19.60
2020-01-22 06:50:34,2458870.78512,19.52
2020-01-22 08:37:08,2458870.85912,19.61
2020-01-22 12:50:49,2458871.03529,19.60
2020-01-22 14:37:23,2458871.10929,19.60
2020-01-22 18:51:04,2458871.28546,19.51
2020-04-29 19:07:03,2458969.29656,19.41
2020-04-29 20:53:37,2458969.37057,19.48
2020-05-24 13:58:12,2458994.08208,19.49
2020-05-24 15:44:55,2458994.15619,null
2020-06-23 15:05:36,2459024.12889,19.66
2020-06-23 16:52:10,2459024.20289,19.57
2020-10-23 07:29:12,2459145.81194,19.54
2020-11-11 23:44:32,2459165.48926,19.32
2020-11-12 01:31:07,2459165.56328,19.55
2020-12-13 17:19:56,2459197.22218,19.36
2021-04-13 11:17:36,2459317.97056,19.45
2021-04-13 13:04:10,2459318.04456,19.43
2021-05-06 13:04:13,2459341.04459,19.50
2021-05-06 17:17:52,2459341.22074,19.63

