Gaia19bkh
#Date,JD(TCB),averagemag
2014-10-29 20:12:28,2456960.34199,null
2014-10-29 21:58:56,2456960.41593,untrusted
2014-11-23 02:00:56,2456984.58398,19.25
2015-04-26 14:08:18,2457139.08910,null
2015-04-26 15:55:04,2457139.16324,null
2015-05-24 08:00:52,2457166.83394,19.28
2015-05-24 09:47:27,2457166.90795,19.26
2015-06-18 19:57:38,2457192.33169,null
2015-11-08 23:05:18,2457335.46201,19.34
2015-12-07 14:55:42,2457364.12201,19.17
2015-12-07 16:42:16,2457364.19602,19.17
2015-12-29 08:52:51,2457385.87003,19.27
2016-05-06 09:19:26,2457514.88850,19.17
2016-05-06 11:06:01,2457514.96251,null
2016-06-07 14:59:52,2457547.12491,19.24
2016-06-07 16:46:48,2457547.19917,null
2016-06-27 21:04:33,2457567.37816,null
2016-06-27 22:51:18,2457567.45229,null
2016-11-18 10:26:22,2457710.93498,19.24
2016-11-18 12:13:04,2457711.00907,null
2016-12-21 23:39:03,2457744.48545,19.10
2016-12-22 03:52:42,2457744.66160,19.20
2017-01-05 21:58:30,2457759.41563,untrusted
2017-01-05 23:45:04,2457759.48963,19.43
2017-05-17 07:40:07,2457890.81953,18.92
2017-05-17 11:53:48,2457890.99569,untrusted
2017-06-23 11:22:15,2457927.97378,null
2017-06-23 13:08:25,2457928.04751,19.19
2017-07-06 19:17:04,2457941.30352,19.07
2017-07-06 23:30:45,2457941.47969,19.31
2017-10-11 19:35:27,2458038.31628,null
2017-10-11 21:21:31,2458038.38994,19.09
2017-10-24 13:40:50,2458051.07002,null
2017-10-24 15:26:52,2458051.14366,19.00
2017-11-29 00:57:05,2458086.53964,19.19
2018-04-07 15:04:51,2458216.12837,null
2018-04-07 19:18:29,2458216.30450,19.08
2018-04-07 21:05:03,2458216.37851,19.21
2018-04-23 01:28:38,2458231.56155,null
2018-04-23 03:14:49,2458231.63529,null
2018-05-28 13:05:45,2458267.04566,null
2018-10-20 08:36:41,2458411.85881,null
2018-10-20 10:22:50,2458411.93252,19.27
2018-11-08 16:21:42,2458431.18174,untrusted
2018-12-09 09:51:54,2458461.91104,19.35
2019-04-16 14:26:08,2458590.10148,18.22
2019-04-16 16:12:43,2458590.17550,18.29
2019-06-08 10:02:40,2458642.91852,18.85
2019-10-20 17:19:02,2458777.22155,19.12
2019-10-20 19:05:36,2458777.29556,18.93
2019-11-12 01:45:31,2458799.57328,untrusted
2020-04-26 17:56:25,2458966.24751,19.24
2020-04-26 22:10:06,2458966.42368,19.49
2020-06-19 00:15:39,2459019.51087,19.21
2020-06-19 02:02:16,2459019.58491,null
2020-10-20 20:34:39,2459143.35740,19.19
2020-11-09 14:32:40,2459163.10602,19.18
2020-12-09 20:04:24,2459193.33639,null
2020-12-09 21:51:08,2459193.41051,null
2021-04-17 02:25:03,2459321.60073,19.11
2021-05-10 02:27:43,2459344.60258,19.39

